locus_tag	GeneID	transcript_id	protein_id	product
BBA_00001	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00005	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00006	19883018	XM_008595103.1	XP_008593325.1	uncharacterized protein
BBA_00013	19883025	XM_008595110.1	XP_008593332.1	cellobiose dehydrogenase, putative
BBA_00017	19883029	XM_008595114.1	XP_008593336.1	ABC transporter
BBA_00019	19883031	XM_008595116.1	XP_008593338.1	tat pathway signal sequence
BBA_00023	19883035	XM_008595120.1	XP_008593342.1	uncharacterized protein
BBA_00027	19883039	XM_008595124.1	XP_008593346.1	Mitochondrial glycoprotein
BBA_00030	19883042	XM_008595127.1	XP_008593349.1	AMP-binding enzyme, putative
BBA_00032	19883044	XM_008595129.1	XP_008593351.1	uncharacterized protein
BBA_00033	19883045	XM_008595130.1	XP_008593352.1	uncharacterized protein
BBA_00043	19883055	XM_008595140.1	XP_008593362.1	uncharacterized protein
BBA_00046	19883058	XM_008595143.1	XP_008593365.1	glucan endo-1,3-beta-glucosidase A1-like protein
BBA_00047	19883059	XM_008595144.1	XP_008593366.1	Cel5b-like protein
BBA_00057	19883069	XM_008595154.1	XP_008593376.1	uncharacterized protein
BBA_00061	19883073	XM_008595158.1	XP_008593380.1	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain, putative
BBA_00064	19883076	XM_008595161.1	XP_008593383.1	uncharacterized protein
BBA_00066	19883078	XM_008595163.1	XP_008593385.1	Phosphotransferase enzyme family domain protein
BBA_00068	19883080	XM_008595165.1	XP_008593387.1	vitamin H transporter
BBA_00070	19883082	XM_008595167.1	XP_008593389.1	uncharacterized protein
BBA_00071	19883083	XM_008595168.1	XP_008593390.1	nitrate assimilation regulatory protein nirA
BBA_00073	19883085	XM_008595170.1	XP_008593392.1	methylitaconate delta2-delta3-isomerase
BBA_00074	19883086	XM_008595171.1	XP_008593393.1	von Willebrand domain-containing protein
BBA_00075	19883087	XM_008595172.1	XP_008593394.1	uncharacterized protein
BBA_00081	19883093	XM_008595178.1	XP_008593400.1	uncharacterized protein
BBA_00082	19883094	XM_008595179.1	XP_008593401.1	uncharacterized protein
BBA_00089	19883101	XM_008595186.1	XP_008593408.1	uncharacterized protein
BBA_00090	19883102	XM_008595187.1	XP_008593409.1	aryl-alcohol oxidase/vanillyl-alcohol oxidase
BBA_00094	19883106	XM_008595191.1	XP_008593413.1	major facilitator superfamily transporter
BBA_00097	19883109	XM_008595194.1	XP_008593416.1	3-hydroxyacyl-CoA dehyrogenase
BBA_00098	19883110	XM_008595195.1	XP_008593417.1	major facilitator superfamily transporter
BBA_00101	19883113	XM_008595198.1	XP_008593420.1	carbohydrate esterase family 4
BBA_00103	19883115	XM_008595200.1	XP_008593422.1	uncharacterized protein
BBA_00110	19883122	XM_008595207.1	XP_008593429.1	uncharacterized protein
BBA_00111	19883123	XM_008595208.1	XP_008593430.1	uncharacterized protein
BBA_00116	19883128	XM_008595213.1	XP_008593435.1	ChaC-like protein
BBA_00118	19883130	XM_008595215.1	XP_008593437.1	HpcH/HpaI aldolase/citrate lyase family protein
BBA_00119	19883131	XM_008595216.1	XP_008593438.1	golgi apparatus membrane protein TVP23
BBA_00120	19883132	XM_008595217.1	XP_008593439.1	uncharacterized protein
BBA_00121	19883133	XM_008595218.1	XP_008593440.1	transmembrane and coiled-coil domain-containing protein
BBA_00122	19883134	XM_008595219.1	XP_008593441.1	rRNA-processing protein UTP23
BBA_00125	19883137	XM_008595222.1	XP_008593444.1	PH domain-containing protein
BBA_00126	19883138	XM_008595223.1	XP_008593445.1	protein kinase, putative
BBA_00127	19883139	XM_008595224.1	XP_008593446.1	uncharacterized protein
BBA_00128	19883140	XM_008595225.1	XP_008593447.1	oligosaccharyl transferase STT3 subunit
BBA_00132	19883144	XM_008595229.1	XP_008593451.1	uncharacterized protein
BBA_00137	19883149	XM_008595234.1	XP_008593456.1	mitochondrial ATPase inhibitor, putative
BBA_00139	19883151	XM_008595236.1	XP_008593458.1	uncharacterized protein
BBA_00142	19883154	XM_008595239.1	XP_008593461.1	glycosyltransferase family 62
BBA_00147	19883159	XM_008595244.1	XP_008593466.1	cutinase-2 protein
BBA_00150	19883162	XM_008595247.1	XP_008593469.1	exosome complex subunit Rrp46
BBA_00151	19883163	XM_008595248.1	XP_008593470.1	phosphotyrosyl phosphate activator protein
BBA_00152	19883164	XM_008595249.1	XP_008593471.1	uncharacterized protein
BBA_00153	19883165	XM_008595250.1	XP_008593472.1	carbohydrate kinase
BBA_00155	19883167	XM_008595252.1	XP_008593474.1	60S ribosomal protein L11
BBA_00157	19883169	XM_008595254.1	XP_008593476.1	DnaJ domain-containing protein
BBA_00160	19883172	XM_008595257.1	XP_008593479.1	uncharacterized protein
BBA_00161	19883173	XM_008595258.1	XP_008593480.1	RhoGAP domain-containing protein
BBA_00163	19883175	XM_008595260.1	XP_008593482.1	uncharacterized protein
BBA_00164	19883176	XM_008595261.1	XP_008593483.1	WLM domain-containing protein
BBA_00165	19883177	XM_008595262.1	XP_008593484.1	sulfate permease
BBA_00166	19883178	XM_008595263.1	XP_008593485.1	TBC domain-containing protein
BBA_00169	19883181	XM_008595266.1	XP_008593488.1	FKBP-type peptidyl-prolyl cis-trans isomerase
BBA_00170	19883182	XM_008595267.1	XP_008593489.1	serine/threonine-protein kinase cbk1
