#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-2F58F925ABF26FCF-24B386AFA52CACDD
#datatype	hitsStandard Results
#status	0
#Start time	2025-03-05T07:50:07	Run time	0:00:00:26
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	non-specific	441213	67	132	1.13952e-08	51.6898	COG1605	PheA	C	cl43464
Q#1 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	superfamily	441213	67	132	1.13952e-08	51.6898	cl43464	PheA superfamily	C	 - 
Q#1 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	specific	214841	76	137	7.20928e-07	44.8769	smart00830	CM_2	C	cl00693
Q#1 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	superfamily	469881	76	137	7.20928e-07	44.8769	cl00693	CM_2 superfamily	C	 - 
Q#1 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	specific	460345	76	120	7.72831e-07	44.7915	pfam01817	CM_2	C	cl47697
Q#1 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	superfamily	460345	76	120	7.72831e-07	44.7915	cl47697	CM_2 superfamily	C	 - 
Q#1 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	non-specific	130851	72	122	0.00062839	37.0215	TIGR01791	CM_archaeal	C	cl00693
Q#1 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	non-specific	180509	65	122	0.00196211	35.7822	PRK06285	PRK06285	C	cl00693
Q#3 - >XP_008593554.1 peptidase A4 family protein [Beauveria bassiana ARSEF 2860]	specific	240449	45	240	1.90263e-60	189.078	cd13426	Peptidase_G1	 - 	cl03371
Q#3 - >XP_008593554.1 peptidase A4 family protein [Beauveria bassiana ARSEF 2860]	superfamily	446078	45	240	1.90263e-60	189.078	cl03371	Peptidase_G1_like superfamily	 - 	 - 
Q#3 - >XP_008593554.1 peptidase A4 family protein [Beauveria bassiana ARSEF 2860]	specific	426460	46	239	1.13572e-59	187.085	pfam01828	Peptidase_A4	 - 	cl03371
Q#4 - >XP_008593574.1 putative aspartyl protease [Beauveria bassiana ARSEF 2860]	non-specific	133161	71	337	1.25663e-18	85.4302	cd06097	Aspergillopepsin_like	 - 	cl11403
Q#4 - >XP_008593574.1 putative aspartyl protease [Beauveria bassiana ARSEF 2860]	superfamily	472175	71	337	1.25663e-18	85.4302	cl11403	pepsin_retropepsin_like superfamily	 - 	 - 
Q#4 - >XP_008593574.1 putative aspartyl protease [Beauveria bassiana ARSEF 2860]	non-specific	394983	74	415	1.03164e-11	65.3732	pfam00026	Asp	 - 	cl11403
Q#5 - >XP_008593626.1 Protein of unknown function DUF2401, secretory [Beauveria bassiana ARSEF 2860]	specific	431198	217	430	8.71861e-120	349.203	pfam10287	YJL171C_Tos1_C	 - 	cl10966
