locus_tag	seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	distanceToTSS	GeneID	transcript_id	protein_id	product
BBA_00004	NW_007930836.1	13102	13109	8	+	6.45455	3.62e-05	1	Promoter (<=1kb)	1	12136	13042	907	1	966	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00010	NW_007930836.1	30008	30015	8	+	6.42614	4.82e-05	1	Promoter (<=1kb)	1	30265	32130	1866	1	-250	19883022	XM_008595107.1	XP_008593329.1	uncharacterized protein
BBA_00013	NW_007930836.1	39435	39442	8	-	6.42614	4.82e-05	1	Promoter (<=1kb)	1	38580	39928	1349	2	493	19883025	XM_008595110.1	XP_008593332.1	cellobiose dehydrogenase, putative
BBA_00018	NW_007930836.1	56190	56197	8	-	6.45455	3.62e-05	1	Promoter (<=1kb)	1	55812	56743	932	2	553	19883030	XM_008595115.1	XP_008593337.1	2OG-Fe(II) oxygenase family Oxidoreductase
BBA_00018	NW_007930836.1	57325	57332	8	-	6.52841	1.21e-05	1	Promoter (<=1kb)	1	55812	56743	932	2	-589	19883030	XM_008595115.1	XP_008593337.1	2OG-Fe(II) oxygenase family Oxidoreductase
BBA_00020	NW_007930836.1	64063	64070	8	-	6.375	7.76e-05	1	Promoter (<=1kb)	1	63451	64529	1079	2	466	19883032	XM_008595117.1	XP_008593339.1	glycerate dehydrogenase
BBA_00026	NW_007930836.1	79488	79495	8	+	6.45455	3.62e-05	1	Promoter (<=1kb)	1	78801	79499	699	2	4	19883038	XM_008595123.1	XP_008593345.1	uncharacterized protein
BBA_00030	NW_007930836.1	89179	89186	8	+	6.45455	3.62e-05	1	Promoter (<=1kb)	1	88075	90170	2096	2	984	19883042	XM_008595127.1	XP_008593349.1	AMP-binding enzyme, putative
BBA_00032	NW_007930836.1	98164	98171	8	-	6.375	7.76e-05	1	Promoter (2-3kb)	1	94827	95943	1117	2	-2228	19883044	XM_008595129.1	XP_008593351.1	uncharacterized protein
BBA_00034	NW_007930836.1	105148	105155	8	+	6.42614	4.82e-05	1	Promoter (2-3kb)	1	106279	108060	1782	2	2905	19883046	XM_008595131.1	XP_008593353.1	group II pyridoxal-5-phosphate decarboxylase
BBA_00036	NW_007930836.1	112422	112429	8	+	6.52841	1.21e-05	1	Promoter (1-2kb)	1	110439	111308	870	2	-1114	19883048	XM_008595133.1	XP_008593355.1	Ras family protein
BBA_00037	NW_007930836.1	115077	115084	8	-	6.375	7.76e-05	1	Promoter (<=1kb)	1	113425	114147	723	2	-937	19883049	XM_008595134.1	XP_008593356.1	gp24-like protein
BBA_00041	NW_007930836.1	122794	122801	8	+	6.42614	4.82e-05	1	Promoter (<=1kb)	1	123417	124953	1537	1	-616	19883053	XM_008595138.1	XP_008593360.1	WD domain-containing protein
BBA_00044	NW_007930836.1	130169	130176	8	+	6.36932	9.22e-05	1	Promoter (<=1kb)	1	129300	130070	771	2	-99	19883056	XM_008595141.1	XP_008593363.1	uncharacterized protein
BBA_00046	NW_007930836.1	132941	132948	8	+	6.52841	1.21e-05	1	Promoter (<=1kb)	1	133249	134214	966	1	-301	19883058	XM_008595143.1	XP_008593365.1	glucan endo-1,3-beta-glucosidase A1-like protein
BBA_00054	NW_007930836.1	157094	157101	8	-	6.45455	3.62e-05	1	Promoter (<=1kb)	1	157526	158122	597	1	-432	19883066	XM_008595151.1	XP_008593373.1	endoribonuclease L-PSP
BBA_00055	NW_007930836.1	159499	159506	8	+	6.45455	3.62e-05	1	Promoter (<=1kb)	1	158251	159473	1223	2	-26	19883067	XM_008595152.1	XP_008593374.1	ARP2/3 actin-organizing complex subunit Sop2
BBA_00058	NW_007930836.1	165596	165603	8	-	6.45455	3.62e-05	1	Promoter (<=1kb)	1	163802	165388	1587	2	-215	19883070	XM_008595155.1	XP_008593377.1	diphthamide biosynthesis protein 2
BBA_00062	NW_007930836.1	175536	175543	8	+	6.375	7.76e-05	1	Promoter (1-2kb)	1	175409	177189	1781	2	1646	19883074	XM_008595159.1	XP_008593381.1	cellobiose dehydrogenase
BBA_00062	NW_007930836.1	177664	177671	8	+	6.36932	9.22e-05	1	Promoter (<=1kb)	1	175409	177189	1781	2	-475	19883074	XM_008595159.1	XP_008593381.1	cellobiose dehydrogenase
BBA_00067	NW_007930836.1	194004	194011	8	-	6.5	2.41e-05	1	Promoter (2-3kb)	1	190905	192006	1102	2	-2005	19883079	XM_008595164.1	XP_008593386.1	2-nitropropane dioxygenase
BBA_00067	NW_007930836.1	192295	192302	8	-	6.375	7.76e-05	1	Promoter (<=1kb)	1	190905	192006	1102	2	-296	19883079	XM_008595164.1	XP_008593386.1	2-nitropropane dioxygenase
BBA_00081	NW_007930836.1	239647	239654	8	+	6.5	2.41e-05	1	Promoter (<=1kb)	1	238868	240350	1483	2	696	19883093	XM_008595178.1	XP_008593400.1	uncharacterized protein
BBA_00083	NW_007930836.1	244452	244459	8	+	6.52841	1.21e-05	1	Promoter (<=1kb)	1	244052	244462	411	1	400	19883095	XM_008595180.1	XP_008593402.1	uncharacterized protein
BBA_00088	NW_007930836.1	256967	256974	8	+	6.42614	4.82e-05	1	Promoter (<=1kb)	1	254907	257196	2290	2	222	19883100	XM_008595185.1	XP_008593407.1	C6 finger domain protein
BBA_00088	NW_007930836.1	258076	258083	8	-	6.5	2.41e-05	1	Promoter (<=1kb)	1	254907	257196	2290	2	-887	19883100	XM_008595185.1	XP_008593407.1	C6 finger domain protein
BBA_00089	NW_007930836.1	263017	263024	8	-	6.40341	6.29e-05	1	Promoter (2-3kb)	1	260154	260459	306	2	-2565	19883101	XM_008595186.1	XP_008593408.1	uncharacterized protein
BBA_00090	NW_007930836.1	266655	266662	8	-	6.5	2.41e-05	1	Promoter (<=1kb)	1	264531	266367	1837	2	-295	19883102	XM_008595187.1	XP_008593409.1	aryl-alcohol oxidase/vanillyl-alcohol oxidase
BBA_00090	NW_007930836.1	264599	264606	8	+	6.45455	3.62e-05	1	Promoter (1-2kb)	1	264531	266367	1837	2	1761	19883102	XM_008595187.1	XP_008593409.1	aryl-alcohol oxidase/vanillyl-alcohol oxidase
BBA_00090	NW_007930836.1	264297	264304	8	-	6.42614	4.82e-05	1	Promoter (2-3kb)	1	264531	266367	1837	2	2070	19883102	XM_008595187.1	XP_008593409.1	aryl-alcohol oxidase/vanillyl-alcohol oxidase
BBA_00097	NW_007930836.1	282068	282075	8	+	6.375	7.76e-05	1	Promoter (<=1kb)	1	282613	283755	1143	1	-538	19883109	XM_008595194.1	XP_008593416.1	3-hydroxyacyl-CoA dehyrogenase
BBA_00097	NW_007930836.1	282634	282641	8	-	6.375	7.76e-05	1	Promoter (<=1kb)	1	282613	283755	1143	1	28	19883109	XM_008595194.1	XP_008593416.1	3-hydroxyacyl-CoA dehyrogenase
BBA_00098	NW_007930836.1	288065	288072	8	+	6.42614	4.82e-05	1	Promoter (<=1kb)	1	286081	287781	1701	2	-284	19883110	XM_008595195.1	XP_008593417.1	major facilitator superfamily transporter
BBA_00099	NW_007930836.1	292252	292259	8	-	6.5	2.41e-05	1	Promoter (<=1kb)	1	291414	292137	724	2	-122	19883111	XM_008595196.1	XP_008593418.1	uncharacterized protein
