locus_tag	GeneID	transcript_id	protein_id	product
BBA_00001	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00002	19883014	XM_008595099.1	XP_008593321.1	ABC transporter
BBA_00005	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00007	19883019	XM_008595104.1	XP_008593326.1	iron only hydrogenase large subunit domain-containing protein
BBA_00008	19883020	XM_008595105.1	XP_008593327.1	uncharacterized protein
BBA_00010	19883022	XM_008595107.1	XP_008593329.1	uncharacterized protein
BBA_00012	19883024	XM_008595109.1	XP_008593331.1	ATP synthase H chain
BBA_00013	19883025	XM_008595110.1	XP_008593332.1	cellobiose dehydrogenase, putative
BBA_00014	19883026	XM_008595111.1	XP_008593333.1	serine/threonine-protein kinase psk1
BBA_00016	19883028	XM_008595113.1	XP_008593335.1	U4/U6 small nuclear ribonucleoprotein Prp4
BBA_00018	19883030	XM_008595115.1	XP_008593337.1	2OG-Fe(II) oxygenase family Oxidoreductase
BBA_00019	19883031	XM_008595116.1	XP_008593338.1	tat pathway signal sequence
BBA_00022	19883034	XM_008595119.1	XP_008593341.1	inosine-uridine preferring nucleoside hydrolase
BBA_00023	19883035	XM_008595120.1	XP_008593342.1	uncharacterized protein
BBA_00024	19883036	XM_008595121.1	XP_008593343.1	uncharacterized protein
BBA_00027	19883039	XM_008595124.1	XP_008593346.1	Mitochondrial glycoprotein
BBA_00029	19883041	XM_008595126.1	XP_008593348.1	pumilio-family RNA binding repeat domain-containing protein
BBA_00030	19883042	XM_008595127.1	XP_008593349.1	AMP-binding enzyme, putative
BBA_00031	19883043	XM_008595128.1	XP_008593350.1	uncharacterized protein
BBA_00032	19883044	XM_008595129.1	XP_008593351.1	uncharacterized protein
BBA_00033	19883045	XM_008595130.1	XP_008593352.1	uncharacterized protein
BBA_00035	19883047	XM_008595132.1	XP_008593354.1	uncharacterized protein
BBA_00036	19883048	XM_008595133.1	XP_008593355.1	Ras family protein
BBA_00038	19883050	XM_008595135.1	XP_008593357.1	AMME syndrome protein
BBA_00039	19883051	XM_008595136.1	XP_008593358.1	uncharacterized protein
BBA_00044	19883056	XM_008595141.1	XP_008593363.1	uncharacterized protein
BBA_00046	19883058	XM_008595143.1	XP_008593365.1	glucan endo-1,3-beta-glucosidase A1-like protein
BBA_00047	19883059	XM_008595144.1	XP_008593366.1	Cel5b-like protein
BBA_00048	19883060	XM_008595145.1	XP_008593367.1	uncharacterized protein
BBA_00049	19883061	XM_008595146.1	XP_008593368.1	transporter-like protein
BBA_00050	19883062	XM_008595147.1	XP_008593369.1	Cys2-His2 zinc finger transcription factor ACEI
BBA_00052	19883064	XM_008595149.1	XP_008593371.1	polysaccharide export protein (CAP59)
BBA_00053	19883065	XM_008595150.1	XP_008593372.1	glycosyltransferase family 39
BBA_00055	19883067	XM_008595152.1	XP_008593374.1	ARP2/3 actin-organizing complex subunit Sop2
BBA_00056	19883068	XM_008595153.1	XP_008593375.1	uncharacterized protein
BBA_00057	19883069	XM_008595154.1	XP_008593376.1	uncharacterized protein
BBA_00058	19883070	XM_008595155.1	XP_008593377.1	diphthamide biosynthesis protein 2
BBA_00060	19883072	XM_008595157.1	XP_008593379.1	MutS domain V
BBA_00061	19883073	XM_008595158.1	XP_008593380.1	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain, putative
BBA_00063	19883075	XM_008595160.1	XP_008593382.1	AMP-binding enzyme, putative
BBA_00064	19883076	XM_008595161.1	XP_008593383.1	uncharacterized protein
BBA_00065	19883077	XM_008595162.1	XP_008593384.1	major facilitator superfamily transporter
BBA_00072	19883084	XM_008595169.1	XP_008593391.1	C6 transcription factor
BBA_00078	19883090	XM_008595175.1	XP_008593397.1	uncharacterized protein
BBA_00079	19883091	XM_008595176.1	XP_008593398.1	LysR family regulatory protein
BBA_00080	19883092	XM_008595177.1	XP_008593399.1	uncharacterized protein
BBA_00083	19883095	XM_008595180.1	XP_008593402.1	uncharacterized protein
BBA_00084	19883096	XM_008595181.1	XP_008593403.1	Peptidase M64, IgA
BBA_00086	19883098	XM_008595183.1	XP_008593405.1	uncharacterized protein
BBA_00087	19883099	XM_008595184.1	XP_008593406.1	uncharacterized protein
BBA_00089	19883101	XM_008595186.1	XP_008593408.1	uncharacterized protein
BBA_00091	19883103	XM_008595188.1	XP_008593410.1	15-hydroxyprostaglandin dehydrogenase (NAD(+))
BBA_00092	19883104	XM_008595189.1	XP_008593411.1	uncharacterized protein
BBA_00095	19883107	XM_008595192.1	XP_008593414.1	oxidoreductase molybdopterin binding domain-containing protein
BBA_00098	19883110	XM_008595195.1	XP_008593417.1	major facilitator superfamily transporter
BBA_00100	19883112	XM_008595197.1	XP_008593419.1	uncharacterized protein
BBA_00101	19883113	XM_008595198.1	XP_008593420.1	carbohydrate esterase family 4
BBA_00104	19883116	XM_008595201.1	XP_008593423.1	uncharacterized protein
BBA_00105	19883117	XM_008595202.1	XP_008593424.1	Putative Zn(II)2Cys6 transcription factor
BBA_00106	19883118	XM_008595203.1	XP_008593425.1	WD domain-containing protein
BBA_00107	19883119	XM_008595204.1	XP_008593426.1	helicase associated domain-containing protein
BBA_00108	19883120	XM_008595205.1	XP_008593427.1	uncharacterized protein
BBA_00109	19883121	XM_008595206.1	XP_008593428.1	RfeD protein
BBA_00111	19883123	XM_008595208.1	XP_008593430.1	uncharacterized protein
BBA_00113	19883125	XM_008595210.1	XP_008593432.1	uncharacterized protein
BBA_00114	19883126	XM_008595211.1	XP_008593433.1	uncharacterized protein
BBA_00115	19883127	XM_008595212.1	XP_008593434.1	peflin-like protein
BBA_00116	19883128	XM_008595213.1	XP_008593435.1	ChaC-like protein
BBA_00117	19883129	XM_008595214.1	XP_008593436.1	RNA recognition domain-containing protein
BBA_00118	19883130	XM_008595215.1	XP_008593437.1	HpcH/HpaI aldolase/citrate lyase family protein
BBA_00119	19883131	XM_008595216.1	XP_008593438.1	golgi apparatus membrane protein TVP23
BBA_00121	19883133	XM_008595218.1	XP_008593440.1	transmembrane and coiled-coil domain-containing protein
BBA_00123	19883135	XM_008595220.1	XP_008593442.1	geranylgeranyl pyrophosphate synthetase
BBA_00124	19883136	XM_008595221.1	XP_008593443.1	rRNA-processing protein UTP23
BBA_00125	19883137	XM_008595222.1	XP_008593444.1	PH domain-containing protein
BBA_00126	19883138	XM_008595223.1	XP_008593445.1	protein kinase, putative
BBA_00127	19883139	XM_008595224.1	XP_008593446.1	uncharacterized protein
BBA_00128	19883140	XM_008595225.1	XP_008593447.1	oligosaccharyl transferase STT3 subunit
BBA_00129	19883141	XM_008595226.1	XP_008593448.1	ATP synthase subunit E
BBA_00130	19883142	XM_008595227.1	XP_008593449.1	WD domain-containing protein
BBA_00131	19883143	XM_008595228.1	XP_008593450.1	RNA recognition domain-containing protein
BBA_00133	19883145	XM_008595230.1	XP_008593452.1	DEAD/DEAH box helicase
BBA_00135	19883147	XM_008595232.1	XP_008593454.1	CSL zinc finger protein
BBA_00136	19883148	XM_008595233.1	XP_008593455.1	TH14-3-3 protein
BBA_00137	19883149	XM_008595234.1	XP_008593456.1	mitochondrial ATPase inhibitor, putative
BBA_00138	19883150	XM_008595235.1	XP_008593457.1	nuclear pore glycoprotein p62
BBA_00140	19883152	XM_008595237.1	XP_008593459.1	eukaryotic translation initiation factor 2 subunit gamma
BBA_00141	19883153	XM_008595238.1	XP_008593460.1	uncharacterized protein
BBA_00143	19883155	XM_008595240.1	XP_008593462.1	ubiquitin-conjugating enzyme
BBA_00144	19883156	XM_008595241.1	XP_008593463.1	uncharacterized protein
BBA_00145	19883157	XM_008595242.1	XP_008593464.1	prenylated Rab acceptor 1
BBA_00146	19883158	XM_008595243.1	XP_008593465.1	ELMO/CED-12 family protein
BBA_00147	19883159	XM_008595244.1	XP_008593466.1	cutinase-2 protein
BBA_00148	19883160	XM_008595245.1	XP_008593467.1	homeobox domain-containing protein
BBA_00149	19883161	XM_008595246.1	XP_008593468.1	ATP-NAD kinase
BBA_00150	19883162	XM_008595247.1	XP_008593469.1	exosome complex subunit Rrp46
BBA_00151	19883163	XM_008595248.1	XP_008593470.1	phosphotyrosyl phosphate activator protein
BBA_00152	19883164	XM_008595249.1	XP_008593471.1	uncharacterized protein
BBA_00154	19883166	XM_008595251.1	XP_008593473.1	ATP synthase alpha chain
BBA_00155	19883167	XM_008595252.1	XP_008593474.1	60S ribosomal protein L11
BBA_00156	19883168	XM_008595253.1	XP_008593475.1	LSM domain-containing protein
BBA_00159	19883171	XM_008595256.1	XP_008593478.1	uncharacterized protein
BBA_00160	19883172	XM_008595257.1	XP_008593479.1	uncharacterized protein
BBA_00161	19883173	XM_008595258.1	XP_008593480.1	RhoGAP domain-containing protein
BBA_00162	19883174	XM_008595259.1	XP_008593481.1	C6 transcription factor
BBA_00163	19883175	XM_008595260.1	XP_008593482.1	uncharacterized protein
BBA_00164	19883176	XM_008595261.1	XP_008593483.1	WLM domain-containing protein
BBA_00165	19883177	XM_008595262.1	XP_008593484.1	sulfate permease
BBA_00166	19883178	XM_008595263.1	XP_008593485.1	TBC domain-containing protein
BBA_00167	19883179	XM_008595264.1	XP_008593486.1	hemolysin-III family protein
BBA_00170	19883182	XM_008595267.1	XP_008593489.1	serine/threonine-protein kinase cbk1
BBA_00171	19883183	XM_008595268.1	XP_008593490.1	serine/threonine protein kinase, putative
BBA_00172	19883184	XM_008595269.1	XP_008593491.1	glycoside hydrolase family 38
BBA_00176	19883188	XM_008595273.1	XP_008593495.1	DnaJ domain-containing protein
BBA_00177	19883189	XM_008595274.1	XP_008593496.1	CAP-Gly domain-containing protein
BBA_00178	19883190	XM_008595275.1	XP_008593497.1	valyl-tRNA synthetase
BBA_00179	19883191	XM_008595276.1	XP_008593498.1	uncharacterized protein
BBA_00180	19883192	XM_008595277.1	XP_008593499.1	DEAD/DEAH box helicase
BBA_00182	19883194	XM_008595279.1	XP_008593501.1	uncharacterized protein
BBA_00183	19883195	XM_008595280.1	XP_008593502.1	major facilitator superfamily transporter
BBA_00184	19883196	XM_008595281.1	XP_008593503.1	Nop14-like family protein
BBA_00185	19883197	XM_008595282.1	XP_008593504.1	arsenite resistance protein Ars2
BBA_00186	19883198	XM_008595283.1	XP_008593505.1	uncharacterized protein
BBA_00188	19883200	XM_008595285.1	XP_008593507.1	T-complex protein 1
BBA_00191	19883203	XM_008595288.1	XP_008593510.1	uncharacterized protein
BBA_00192	19883204	XM_008595289.1	XP_008593511.1	Ribonuclease H1
BBA_00193	19883205	XM_008595290.1	XP_008593512.1	galactose oxidase precursor
BBA_00194	19883206	XM_008595291.1	XP_008593513.1	uncharacterized protein
BBA_00195	19883207	XM_008595292.1	XP_008593514.1	mannitol 1-phosphate dehydrogenase
BBA_00203	19883215	XM_008595300.1	XP_008593522.1	prolyl oligopeptidase family
BBA_00206	19883218	XM_008595303.1	XP_008593525.1	uncharacterized protein
BBA_00207	19883219	XM_008595304.1	XP_008593526.1	cation diffusion facilitator family transporter
BBA_00210	19883222	XM_008595307.1	XP_008593529.1	anaphase-promoting complex subunit 11
BBA_00211	19883223	XM_008595308.1	XP_008593530.1	integral membrane protein, putative
BBA_00212	19883224	XM_008595309.1	XP_008593531.1	proline dehydrogenase
BBA_00213	19883225	XM_008595310.1	XP_008593532.1	nitrilotriacetate monooxygenase component B
BBA_00214	19883226	XM_008595311.1	XP_008593533.1	fungal specific transcription factor
