locus_tag	GeneID	transcript_id	protein_id	product
BBA_00005	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00018	19883030	XM_008595115.1	XP_008593337.1	2OG-Fe(II) oxygenase family Oxidoreductase
BBA_00029	19883041	XM_008595126.1	XP_008593348.1	pumilio-family RNA binding repeat domain-containing protein
BBA_00032	19883044	XM_008595129.1	XP_008593351.1	uncharacterized protein
BBA_00049	19883061	XM_008595146.1	XP_008593368.1	transporter-like protein
BBA_00062	19883074	XM_008595159.1	XP_008593381.1	cellobiose dehydrogenase
BBA_00071	19883083	XM_008595168.1	XP_008593390.1	nitrate assimilation regulatory protein nirA
BBA_00083	19883095	XM_008595180.1	XP_008593402.1	uncharacterized protein
BBA_00089	19883101	XM_008595186.1	XP_008593408.1	uncharacterized protein
BBA_00091	19883103	XM_008595188.1	XP_008593410.1	15-hydroxyprostaglandin dehydrogenase (NAD(+))
BBA_00097	19883109	XM_008595194.1	XP_008593416.1	3-hydroxyacyl-CoA dehyrogenase
BBA_00117	19883129	XM_008595214.1	XP_008593436.1	RNA recognition domain-containing protein
BBA_00127	19883139	XM_008595224.1	XP_008593446.1	uncharacterized protein
BBA_00145	19883157	XM_008595242.1	XP_008593464.1	prenylated Rab acceptor 1
BBA_00146	19883158	XM_008595243.1	XP_008593465.1	ELMO/CED-12 family protein
BBA_00149	19883161	XM_008595246.1	XP_008593468.1	ATP-NAD kinase
BBA_00161	19883173	XM_008595258.1	XP_008593480.1	RhoGAP domain-containing protein
BBA_00169	19883181	XM_008595266.1	XP_008593488.1	FKBP-type peptidyl-prolyl cis-trans isomerase
BBA_00181	19883193	XM_008595278.1	XP_008593500.1	BAH/PHD-containing protein
BBA_00191	19883203	XM_008595288.1	XP_008593510.1	uncharacterized protein
BBA_00207	19883219	XM_008595304.1	XP_008593526.1	cation diffusion facilitator family transporter
BBA_00252	19883264	XM_008595349.1	XP_008593571.1	F-box domain-containing protein
BBA_00259	19883271	XM_008595356.1	XP_008593578.1	uncharacterized protein
BBA_00300	19883312	XM_008595397.1	XP_008593619.1	FoabaA-like protein
BBA_00498	19883510	XM_008595595.1	XP_008593817.1	RTA1 domain protein, putative
BBA_00512	19883524	XM_008595609.1	XP_008593831.1	trascription factor
BBA_00513	19883525	XM_008595610.1	XP_008593832.1	uncharacterized protein
BBA_00521	19883533	XM_008595618.1	XP_008593840.1	nonhistone chromosomal protein
BBA_00534	19883546	XM_008595631.1	XP_008593853.1	uncharacterized protein
BBA_00541	19883553	XM_008595638.1	XP_008593860.1	phosphatidylserine decarboxylase family protein
BBA_00544	19883556	XM_008595641.1	XP_008593863.1	Major Facilitator Superfamily protein
BBA_00548	19883560	XM_008595645.1	XP_008593867.1	calcium-translocating P-type ATPase
BBA_00551	19883563	XM_008595648.1	XP_008593870.1	major facilitator superfamily transporter
BBA_00573	19883585	XM_008595670.1	XP_008593892.1	uncharacterized protein
BBA_00590	19883602	XM_008595687.1	XP_008593909.1	uncharacterized protein
BBA_00599	19883611	XM_008595696.1	XP_008593918.1	hisactophilin C49S mutant/phototropin PHY3 fusion protein
BBA_00602	19883614	XM_008595699.1	XP_008593921.1	kelch domain-containing protein
BBA_00635	19883647	XM_008595732.1	XP_008593954.1	Secretory lipase family protein
BBA_00644	19883656	XM_008595741.1	XP_008593963.1	uncharacterized protein
BBA_00654	19883666	XM_008595751.1	XP_008593973.1	uncharacterized protein
BBA_00663	19883675	XM_008595760.1	XP_008593982.1	beta-lactamase family protein
BBA_00691	19883703	XM_008595788.1	XP_008594010.1	uncharacterized protein
BBA_00702	19883714	XM_008595799.1	XP_008594021.1	lipase, putative
BBA_00704	19883716	XM_008595801.1	XP_008594023.1	ferric-chelate reductase
BBA_00726	19883738	XM_008595823.1	XP_008594045.1	glutamine synthetase
BBA_00755	19883767	XM_008595852.1	XP_008594074.1	asparaginyl-tRNA synthetase
BBA_00756	19883768	XM_008595853.1	XP_008594075.1	cAMP-independent regulatory protein pac2
BBA_00757	19883769	XM_008595854.1	XP_008594076.1	RNA-metabolising metallo-beta-lactamase
BBA_00775	19883787	XM_008595872.1	XP_008594094.1	glutamate/Leucine/Phenylalanine/Valine dehydrogenase
BBA_00778	19883790	XM_008595875.1	XP_008594097.1	WD domain-containing protein
BBA_00779	19883791	XM_008595876.1	XP_008594098.1	uncharacterized protein
BBA_00799	19883811	XM_008595896.1	XP_008594118.1	phosphate transporter
BBA_00811	19883823	XM_008595908.1	XP_008594130.1	uncharacterized protein
BBA_00813	19883825	XM_008595910.1	XP_008594132.1	hydroxyacylglutathione hydrolase
BBA_00844	19883856	XM_008595941.1	XP_008594163.1	fungal specific transcription factor
BBA_00845	19883857	XM_008595942.1	XP_008594164.1	LCCL domain-containing protein
BBA_00857	19883869	XM_008595954.1	XP_008594176.1	endonuclease/Exonuclease/phosphatase protein
BBA_00861	19883873	XM_008595958.1	XP_008594180.1	C6 transcription factor
BBA_00862	19883874	XM_008595959.1	XP_008594181.1	uncharacterized protein
BBA_00868	19883880	XM_008595965.1	XP_008594187.1	G-protein coupled receptor
BBA_00869	19883881	XM_008595966.1	XP_008594188.1	uncharacterized protein
BBA_00878	19883890	XM_008595975.1	XP_008594197.1	proline dehydrogenase
BBA_01294	19884306	XM_008596391.1	XP_008594613.1	zinc/iron transporter protein
BBA_01295	19884307	XM_008596392.1	XP_008594614.1	uncharacterized protein
BBA_01304	19884316	XM_008596401.1	XP_008594623.1	metallothionein expression activator
BBA_01313	19884325	XM_008596410.1	XP_008594632.1	amidase-like protein
BBA_01334	19884346	XM_008596431.1	XP_008594653.1	large conductance mechanosensitive channel protein
BBA_01338	19884350	XM_008596435.1	XP_008594657.1	glycosyl hydrolase family 76
BBA_01434	19884446	XM_008596531.1	XP_008594753.1	rhomboid family protein
BBA_01437	19884449	XM_008596534.1	XP_008594756.1	methyl transferase
BBA_01438	19884450	XM_008596535.1	XP_008594757.1	transcription factor IIA
BBA_01442	19884454	XM_008596539.1	XP_008594761.1	hypoxia induced family protein
BBA_01459	19884471	XM_008596556.1	XP_008594778.1	DEAD/DEAH box helicase
BBA_01471	19884483	XM_008596568.1	XP_008594790.1	uncharacterized protein
BBA_01486	19884498	XM_008596583.1	XP_008594805.1	C6 finger domain protein, putative
BBA_01487	19884499	XM_008596584.1	XP_008594806.1	MOSC domain-containing protein
BBA_01502	19884514	XM_008596599.1	XP_008594821.1	fungal specific transcription factor
BBA_01506	19884518	XM_008596603.1	XP_008594825.1	FAD dependent oxidoreductase
BBA_01513	19884525	XM_008596610.1	XP_008594832.1	proteasome A-type and B-type
BBA_01514	19884526	XM_008596611.1	XP_008594833.1	C6 finger domain protein
BBA_01527	19884539	XM_008596624.1	XP_008594846.1	uncharacterized protein
BBA_01529	19884541	XM_008596626.1	XP_008594848.1	prenylcysteine oxidase
BBA_01550	19884562	XM_008596647.1	XP_008594869.1	Glycosyl transferase, family 28
BBA_01551	19884563	XM_008596648.1	XP_008594870.1	rhodopsin family protein
BBA_01586	19884598	XM_008596683.1	XP_008594905.1	DEAD/DEAH box helicase
BBA_01604	19884616	XM_008596701.1	XP_008594923.1	uncharacterized protein
BBA_02263	19885275	XM_008597360.1	XP_008595582.1	DNA polymerase epsilon subunit C
BBA_02287	19885299	XM_008597384.1	XP_008595606.1	uncharacterized protein
BBA_02305	19885317	XM_008597402.1	XP_008595624.1	proteasome regulatory subunit 12
BBA_02313	19885325	XM_008597410.1	XP_008595632.1	tudor domain-containing protein
BBA_02321	19885333	XM_008597418.1	XP_008595640.1	uncharacterized protein
BBA_02793	19885805	XM_008597890.1	XP_008596112.1	ankyrin repeat domain-containing protein 28
BBA_02796	19885808	XM_008597893.1	XP_008596115.1	GNAT family acetyltransferase, putative
BBA_02816	19885828	XM_008597913.1	XP_008596135.1	putative phytochrome-like histidine kinase PHY1p
BBA_02817	19885829	XM_008597914.1	XP_008596136.1	copper fist DNA binding domain-containing protein
BBA_02834	19885846	XM_008597931.1	XP_008596153.1	allantoate permease
BBA_02842	19885854	XM_008597939.1	XP_008596161.1	nucleoporin autopeptidase
BBA_02847	19885859	XM_008597944.1	XP_008596166.1	uncharacterized protein
BBA_02849	19885861	XM_008597946.1	XP_008596168.1	VHS domain-containing protein
BBA_02863	19885875	XM_008597960.1	XP_008596182.1	cyclin domain-containing protein
BBA_02869	19885881	XM_008597966.1	XP_008596188.1	methylthioadenosine phosphorylase
BBA_02870	19885882	XM_008597967.1	XP_008596189.1	DUF323 domain-containing protein
BBA_02873	19885885	XM_008597970.1	XP_008596192.1	sarcosine oxidase
BBA_02882	19885894	XM_008597979.1	XP_008596201.1	zinc knuckle protein
BBA_02910	19885922	XM_008598007.1	XP_008596229.1	methionine aminopeptidase
BBA_02916	19885928	XM_008598013.1	XP_008596235.1	MFS transporter, putative
BBA_02968	19885980	XM_008598065.1	XP_008596287.1	regulator of G protein signaling
BBA_02969	19885981	XM_008598066.1	XP_008596288.1	uncharacterized protein
BBA_02987	19885999	XM_008598084.1	XP_008596306.1	suppressor of Mek1
BBA_03014	19886026	XM_008598111.1	XP_008596333.1	bZIP transcription factor
BBA_03036	19886048	XM_008598133.1	XP_008596355.1	methyltransferase domain-containing protein
BBA_03050	19886062	XM_008598147.1	XP_008596369.1	ECM29 protein
BBA_03055	19886067	XM_008598152.1	XP_008596374.1	HPP family protein
BBA_03077	19886089	XM_008598174.1	XP_008596396.1	cefP protein
BBA_03088	19886100	XM_008598185.1	XP_008596407.1	Ankyrin repeat protein
BBA_03099	19886111	XM_008598196.1	XP_008596418.1	uncharacterized protein
BBA_03111	19886123	XM_008598208.1	XP_008596430.1	uncharacterized protein
BBA_03114	19886126	XM_008598211.1	XP_008596433.1	ubiquitin-conjugating enzyme
BBA_03117	19886129	XM_008598214.1	XP_008596436.1	Acyl-CoA N-acyltransferase
BBA_03137	19886149	XM_008598234.1	XP_008596456.1	putative metacaspase
BBA_03144	19886156	XM_008598241.1	XP_008596463.1	short chain dehydrogenase
BBA_03148	19886160	XM_008598245.1	XP_008596467.1	glycoside hydrolase family 63
BBA_03181	19886193	XM_008598278.1	XP_008596500.1	putative zinc finger protein
BBA_03182	19886194	XM_008598279.1	XP_008596501.1	uncharacterized protein
BBA_03194	19886206	XM_008598291.1	XP_008596513.1	RasGEF domain-containing protein
BBA_03214	19886226	XM_008598311.1	XP_008596533.1	uncharacterized protein
BBA_03223	19886235	XM_008598320.1	XP_008596542.1	capsular associated protein
BBA_03246	19886258	XM_008598343.1	XP_008596565.1	cell wall protein
BBA_03262	19886274	XM_008598359.1	XP_008596581.1	MYB DNA-binding domain-containing protein
BBA_03263	19886275	XM_008598360.1	XP_008596582.1	pre-mRNA processing splicing factor 8
BBA_03280	19886292	XM_008598377.1	XP_008596599.1	peroxin 11C
BBA_03320	19886332	XM_008598417.1	XP_008596639.1	uncharacterized protein
BBA_03336	19886348	XM_008598433.1	XP_008596655.1	uncharacterized protein
BBA_03354	19886366	XM_008598451.1	XP_008596673.1	uncharacterized protein
BBA_03366	19886378	XM_008598463.1	XP_008596685.1	periplasmic binding protein
BBA_03371	19886383	XM_008598468.1	XP_008596690.1	C2H2 transcription factor
BBA_03390	19886402	XM_008598487.1	XP_008596709.1	protein kinase kin1
BBA_03393	19886405	XM_008598490.1	XP_008596712.1	uncharacterized protein
BBA_03394	19886406	XM_008598491.1	XP_008596713.1	fructose-1-6-bisphosphatase
BBA_03400	19886412	XM_008598497.1	XP_008596719.1	Cytochrome P450 CYP503B1
BBA_03407	19886419	XM_008598504.1	XP_008596726.1	phospholipid metabolism enzyme regulator
BBA_03411	19886423	XM_008598508.1	XP_008596730.1	uncharacterized protein
BBA_03442	19886454	XM_008598539.1	XP_008596761.1	uncharacterized protein
BBA_03446	19886458	XM_008598543.1	XP_008596765.1	MFS transporter
BBA_03460	19886472	XM_008598557.1	XP_008596779.1	phosphatidylinositol transfer protein CSR1
BBA_03512	19886524	XM_008598609.1	XP_008596831.1	transcription initiation factor IIF subunit alpha
BBA_03518	19886530	XM_008598615.1	XP_008596837.1	major facilitator superfamily transporter
BBA_04199	19887211	XM_008599296.1	XP_008597518.1	mitosis protein DIM1
BBA_04205	19887217	XM_008599302.1	XP_008597524.1	major facilitator superfamily transporter
BBA_04277	19887289	XM_008599374.1	XP_008597596.1	hydroxyethylthiazole kinase
