#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-1E0736737CF2C7F7-BDBCF82A54018E8
#datatype	hitsStandard Results
#status	0
#Start time	2025-03-05T08:14:05	Run time	0:00:00:45
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#3 - >XP_008593388.1 metalloprotease MEP1 [Beauveria bassiana ARSEF 2860]	non-specific	239802	54	274	8.41771e-45	150.953	cd04275	ZnMc_pappalysin_like	 - 	cl00064
Q#3 - >XP_008593388.1 metalloprotease MEP1 [Beauveria bassiana ARSEF 2860]	superfamily	469599	54	274	8.41771e-45	150.953	cl00064	ZnMc superfamily	 - 	 - 
Q#3 - >XP_008593388.1 metalloprotease MEP1 [Beauveria bassiana ARSEF 2860]	non-specific	368506	186	269	0.00164053	37.9786	pfam05572	Peptidase_M43	N	cl00064
Q#4 - >XP_008593395.1 thiamine biosynthesis protein (Thi-4) [Beauveria bassiana ARSEF 2860]	non-specific	430062	178	438	5.19782e-14	71.7437	pfam08543	Phos_pyr_kin	 - 	cl00192
Q#4 - >XP_008593395.1 thiamine biosynthesis protein (Thi-4) [Beauveria bassiana ARSEF 2860]	superfamily	469648	178	438	5.19782e-14	71.7437	cl00192	ribokinase_pfkB_like superfamily	 - 	 - 
Q#4 - >XP_008593395.1 thiamine biosynthesis protein (Thi-4) [Beauveria bassiana ARSEF 2860]	non-specific	215486	163	435	3.33619e-12	68.6415	PLN02898	PLN02898	C	cl33593
Q#4 - >XP_008593395.1 thiamine biosynthesis protein (Thi-4) [Beauveria bassiana ARSEF 2860]	superfamily	215486	163	435	3.33619e-12	68.6415	cl33593	PLN02898 superfamily	C	 - 
Q#5 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	non-specific	441213	67	132	1.13952e-08	51.6898	COG1605	PheA	C	cl43464
Q#5 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	superfamily	441213	67	132	1.13952e-08	51.6898	cl43464	PheA superfamily	C	 - 
Q#5 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	specific	214841	76	137	7.20928e-07	44.8769	smart00830	CM_2	C	cl00693
Q#5 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	superfamily	469881	76	137	7.20928e-07	44.8769	cl00693	CM_2 superfamily	C	 - 
Q#5 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	specific	460345	76	120	7.72831e-07	44.7915	pfam01817	CM_2	C	cl47697
Q#5 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	superfamily	460345	76	120	7.72831e-07	44.7915	cl47697	CM_2 superfamily	C	 - 
Q#5 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	non-specific	130851	72	122	0.00062839	37.0215	TIGR01791	CM_archaeal	C	cl00693
Q#5 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	non-specific	180509	65	122	0.00196211	35.7822	PRK06285	PRK06285	C	cl00693
Q#8 - >XP_008593512.1 galactose oxidase precursor [Beauveria bassiana ARSEF 2860]	specific	199882	585	682	6.76489e-29	110.791	cd02851	E_set_GO_C	 - 	cl28984
Q#8 - >XP_008593512.1 galactose oxidase precursor [Beauveria bassiana ARSEF 2860]	superfamily	475140	585	682	6.76489e-29	110.791	cl28984	E_set superfamily	 - 	 - 
Q#8 - >XP_008593512.1 galactose oxidase precursor [Beauveria bassiana ARSEF 2860]	specific	462683	603	682	3.7874e-25	99.5623	pfam09118	GO-like_E_set	 - 	cl38296
Q#8 - >XP_008593512.1 galactose oxidase precursor [Beauveria bassiana ARSEF 2860]	superfamily	462683	603	682	3.7874e-25	99.5623	cl38296	GO-like_E_set superfamily	 - 	 - 
Q#8 - >XP_008593512.1 galactose oxidase precursor [Beauveria bassiana ARSEF 2860]	specific	459925	77	189	1.07936e-19	85.1918	pfam00754	F5_F8_type_C	 - 	cl47591
Q#8 - >XP_008593512.1 galactose oxidase precursor [Beauveria bassiana ARSEF 2860]	superfamily	459925	77	189	1.07936e-19	85.1918	cl47591	F5_F8_type_C superfamily	 - 	 - 
Q#8 - >XP_008593512.1 galactose oxidase precursor [Beauveria bassiana ARSEF 2860]	non-specific	238014	59	180	5.68105e-15	72.3849	cd00057	FA58C	 - 	cl25480
Q#8 - >XP_008593512.1 galactose oxidase precursor [Beauveria bassiana ARSEF 2860]	superfamily	330301	59	180	5.68105e-15	72.3849	cl25480	FA58C superfamily	 - 	 - 
Q#8 - >XP_008593512.1 galactose oxidase precursor [Beauveria bassiana ARSEF 2860]	non-specific	442289	279	560	1.24148e-07	53.6213	COG3055	NanM	 - 	cl34543
Q#8 - >XP_008593512.1 galactose oxidase precursor [Beauveria bassiana ARSEF 2860]	superfamily	442289	279	560	1.24148e-07	53.6213	cl34543	NanM superfamily	 - 	 - 
Q#8 - >XP_008593512.1 galactose oxidase precursor [Beauveria bassiana ARSEF 2860]	non-specific	442289	178	360	5.95083e-07	51.6953	COG3055	NanM	N	cl34543
Q#8 - >XP_008593512.1 galactose oxidase precursor [Beauveria bassiana ARSEF 2860]	superfamily	442289	178	360	5.95083e-07	51.6953	cl34543	NanM superfamily	N	 - 
Q#8 - >XP_008593512.1 galactose oxidase precursor [Beauveria bassiana ARSEF 2860]	non-specific	439743	70	162	7.17462e-06	49.5688	NF040533	endo_SpGH101	N	cl45865
Q#8 - >XP_008593512.1 galactose oxidase precursor [Beauveria bassiana ARSEF 2860]	superfamily	439743	70	162	7.17462e-06	49.5688	cl45865	endo_SpGH101 superfamily	N	 - 
Q#8 - >XP_008593512.1 galactose oxidase precursor [Beauveria bassiana ARSEF 2860]	non-specific	214572	76	172	1.2561e-05	45.5779	smart00231	FA58C	 - 	cl25480
Q#8 - >XP_008593512.1 galactose oxidase precursor [Beauveria bassiana ARSEF 2860]	specific	128874	284	326	0.000629083	37.9231	smart00612	Kelch	 - 	cl02701
Q#8 - >XP_008593512.1 galactose oxidase precursor [Beauveria bassiana ARSEF 2860]	superfamily	470655	284	326	0.000629083	37.9231	cl02701	Kelch_1 superfamily	 - 	 - 
Q#8 - >XP_008593512.1 galactose oxidase precursor [Beauveria bassiana ARSEF 2860]	specific	396078	316	360	0.000930769	37.5918	pfam01344	Kelch_1	 - 	cl02701
Q#9 - >XP_008593573.1 uncharacterized protein BBA_00254 [Beauveria bassiana ARSEF 2860]	non-specific	437103	20	130	5.64509e-16	68.7558	pfam19271	Nis1	 - 	cl44706
Q#9 - >XP_008593573.1 uncharacterized protein BBA_00254 [Beauveria bassiana ARSEF 2860]	superfamily	437103	20	130	5.64509e-16	68.7558	cl44706	Nis1 superfamily	 - 	 - 
Q#10 - >XP_008593574.1 putative aspartyl protease [Beauveria bassiana ARSEF 2860]	non-specific	133161	71	337	1.25663e-18	85.4302	cd06097	Aspergillopepsin_like	 - 	cl11403
Q#10 - >XP_008593574.1 putative aspartyl protease [Beauveria bassiana ARSEF 2860]	superfamily	472175	71	337	1.25663e-18	85.4302	cl11403	pepsin_retropepsin_like superfamily	 - 	 - 
Q#10 - >XP_008593574.1 putative aspartyl protease [Beauveria bassiana ARSEF 2860]	non-specific	394983	74	415	1.03164e-11	65.3732	pfam00026	Asp	 - 	cl11403
Q#11 - >XP_008593586.1 ubiquitin-protein ligase Sel1/Ubx2 [Beauveria bassiana ARSEF 2860]	specific	440553	273	511	1.0057e-33	129.663	COG0790	TPR	 - 	cl34042
Q#11 - >XP_008593586.1 ubiquitin-protein ligase Sel1/Ubx2 [Beauveria bassiana ARSEF 2860]	superfamily	440553	273	511	1.0057e-33	129.663	cl34042	TPR superfamily	 - 	 - 
Q#11 - >XP_008593586.1 ubiquitin-protein ligase Sel1/Ubx2 [Beauveria bassiana ARSEF 2860]	specific	440553	119	244	6.13572e-21	92.6839	COG0790	TPR	N	cl34042
Q#11 - >XP_008593586.1 ubiquitin-protein ligase Sel1/Ubx2 [Beauveria bassiana ARSEF 2860]	superfamily	440553	119	244	6.13572e-21	92.6839	cl34042	TPR superfamily	N	 - 
Q#11 - >XP_008593586.1 ubiquitin-protein ligase Sel1/Ubx2 [Beauveria bassiana ARSEF 2860]	specific	214772	174	209	7.495e-06	43.3164	smart00671	SEL1	 - 	cl29229
Q#11 - >XP_008593586.1 ubiquitin-protein ligase Sel1/Ubx2 [Beauveria bassiana ARSEF 2860]	superfamily	452945	174	209	7.495e-06	43.3164	cl29229	Sel1 superfamily	 - 	 - 
Q#11 - >XP_008593586.1 ubiquitin-protein ligase Sel1/Ubx2 [Beauveria bassiana ARSEF 2860]	specific	429881	174	208	6.72939e-05	40.5827	pfam08238	Sel1	 - 	cl29229
Q#11 - >XP_008593586.1 ubiquitin-protein ligase Sel1/Ubx2 [Beauveria bassiana ARSEF 2860]	specific	214772	636	666	0.000113739	39.8496	smart00671	SEL1	 - 	cl29229
Q#11 - >XP_008593586.1 ubiquitin-protein ligase Sel1/Ubx2 [Beauveria bassiana ARSEF 2860]	superfamily	452945	636	666	0.000113739	39.8496	cl29229	Sel1 superfamily	 - 	 - 
