seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS
NW_007930987.1	708	716	9	+	11.5714	3.31e-06	1	Promoter (<=1kb)	146	1305	3035	1731	1	BBA_10354	-589
NW_007930974.1	2008	2016	9	+	11.5714	3.31e-06	1	Promoter (2-3kb)	136	3463	4804	1342	2	BBA_10338	2788
NW_007930883.1	3468	3476	9	+	11.5714	3.31e-06	1	Promoter (<=1kb)	48	482	4338	3857	2	BBA_09217	862
NW_007930927.1	3947	3955	9	-	11.5714	3.31e-06	1	Promoter (<=1kb)	92	3164	3554	391	2	BBA_10135	-401
NW_007930904.1	14067	14075	9	+	11.5714	3.31e-06	1	Promoter (3-4kb)	69	10313	15008	4696	1	BBA_09811	3754
NW_007930845.1	14947	14955	9	+	11.5714	3.31e-06	1	Promoter (1-2kb)	10	13132	15036	1905	1	BBA_04352	1815
NW_007930889.1	17950	17958	9	+	11.5714	3.31e-06	1	Promoter (1-2kb)	54	16783	19893	3111	1	BBA_09435	1167
NW_007930850.1	19988	19996	9	+	11.5714	3.31e-06	1	Promoter (<=1kb)	15	18826	20828	2003	2	BBA_05589	832
NW_007930936.1	20624	20632	9	-	11.5714	3.31e-06	1	Promoter (<=1kb)	101	19638	20846	1209	2	BBA_10222	222
NW_007930922.1	21925	21933	9	+	11.5714	3.31e-06	1	Promoter (1-2kb)	87	18308	20624	2317	2	BBA_10096	-1301
NW_007930921.1	24848	24856	9	+	11.5714	3.31e-06	1	Promoter (<=1kb)	86	22112	25325	3214	2	BBA_10089	469
NW_007930927.1	27385	27393	9	-	11.5714	3.31e-06	1	Promoter (1-2kb)	92	25947	27534	1588	1	BBA_10141	1446
NW_007930904.1	32115	32123	9	-	11.5714	3.31e-06	1	Promoter (1-2kb)	69	32407	33302	896	2	BBA_09815	1187
NW_007930918.1	36876	36884	9	-	11.5714	3.31e-06	1	Promoter (2-3kb)	83	36820	39211	2392	2	BBA_10047	2335
NW_007930910.1	37142	37150	9	+	11.5714	3.31e-06	1	Promoter (1-2kb)	75	36229	38580	2352	2	BBA_09932	1430
NW_007930889.1	40782	40790	9	-	11.5714	3.31e-06	1	Promoter (<=1kb)	54	41051	41734	684	2	BBA_09444	952
NW_007930911.1	40813	40821	9	+	11.5714	3.31e-06	1	Promoter (<=1kb)	76	40870	41420	551	1	BBA_09950	-49
NW_007930897.1	41215	41223	9	+	11.5714	3.31e-06	1	Promoter (2-3kb)	62	44114	46514	2401	1	BBA_09676	-2891
NW_007930867.1	44410	44418	9	+	11.5714	3.31e-06	1	Promoter (<=1kb)	32	44430	45147	718	2	BBA_08184	729
NW_007930898.1	44887	44895	9	-	11.5714	3.31e-06	1	Promoter (1-2kb)	63	43353	45917	2565	1	BBA_09698	1542
NW_007930873.1	45772	45780	9	+	11.5714	3.31e-06	1	Distal Intergenic	38	54807	58854	4048	1	BBA_08668	-9027
NW_007930905.1	48184	48192	9	-	11.5714	3.31e-06	1	Promoter (1-2kb)	70	46559	47014	456	2	BBA_09841	-1178
NW_007930861.1	53622	53630	9	+	11.5714	3.31e-06	1	Promoter (1-2kb)	26	51058	51848	791	2	BBA_07574	-1774
NW_007930894.1	55192	55200	9	-	11.5714	3.31e-06	1	Promoter (1-2kb)	59	56702	57331	630	1	BBA_09595	-1510
NW_007930863.1	56660	56668	9	-	11.5714	3.31e-06	1	Promoter (<=1kb)	28	56273	58003	1731	1	BBA_07790	395
NW_007930857.1	59316	59324	9	-	11.5714	3.31e-06	1	Promoter (<=1kb)	22	59799	60875	1077	1	BBA_06972	-483
NW_007930840.1	61651	61659	9	+	11.5714	3.31e-06	1	Promoter (2-3kb)	5	62931	63741	811	2	BBA_02323	2082
NW_007930895.1	62801	62809	9	-	11.5714	3.31e-06	1	Promoter (1-2kb)	60	60779	63976	3198	2	BBA_09628	1175
NW_007930893.1	63345	63353	9	-	11.5714	3.31e-06	1	Promoter (<=1kb)	58	63289	64084	796	2	BBA_09571	739
NW_007930865.1	63902	63910	9	-	11.5714	3.31e-06	1	Promoter (<=1kb)	30	62141	63717	1577	2	BBA_07998	-193
NW_007930844.1	66833	66841	9	-	11.5714	3.31e-06	1	Promoter (<=1kb)	9	64900	66590	1691	2	BBA_04016	-251
NW_007930837.1	70303	70311	9	+	11.5714	3.31e-06	1	Promoter (1-2kb)	2	69247	71166	1920	1	BBA_00701	1056
NW_007930872.1	71154	71162	9	+	11.5714	3.31e-06	1	Promoter (<=1kb)	37	66612	71046	4435	2	BBA_08625	-108
NW_007930861.1	73440	73448	9	-	11.5714	3.31e-06	1	Promoter (1-2kb)	26	68714	71452	2739	2	BBA_07578	-1996
NW_007930836.1	74069	74077	9	+	11.5714	3.31e-06	1	Promoter (1-2kb)	1	75584	76846	1263	1	BBA_00024	-1507
NW_007930850.1	91096	91104	9	-	11.5714	3.31e-06	1	Promoter (1-2kb)	15	90317	92560	2244	2	BBA_05608	1464
NW_007930846.1	95404	95412	9	+	11.5714	3.31e-06	1	Promoter (1-2kb)	11	93466	97516	4051	1	BBA_04679	1938
NW_007930871.1	100494	100502	9	-	11.5714	3.31e-06	1	Promoter (2-3kb)	36	102413	102751	339	2	BBA_08559	2257
NW_007930844.1	115048	115056	9	+	11.5714	3.31e-06	1	Promoter (<=1kb)	9	114402	115454	1053	1	BBA_04031	646
NW_007930878.1	117465	117473	9	-	11.5714	3.31e-06	1	Promoter (<=1kb)	43	116735	117292	558	2	BBA_09000	-181
NW_007930879.1	120935	120943	9	+	11.5714	3.31e-06	1	Promoter (2-3kb)	44	118037	120999	2963	1	BBA_09058	2898
NW_007930864.1	124158	124166	9	-	11.5714	3.31e-06	1	Promoter (1-2kb)	29	125584	127425	1842	1	BBA_07915	-1426
NW_007930862.1	132202	132210	9	+	11.5714	3.31e-06	1	Promoter (1-2kb)	27	131008	135986	4979	1	BBA_07718	1194
NW_007930879.1	137582	137590	9	-	11.5714	3.31e-06	1	Promoter (<=1kb)	44	136264	136599	336	2	BBA_09064	-991
NW_007930866.1	139568	139576	9	-	11.5714	3.31e-06	1	Promoter (1-2kb)	31	137967	140633	2667	2	BBA_08129	1065
NW_007930866.1	153045	153053	9	+	11.5714	3.31e-06	1	Promoter (1-2kb)	31	153533	154531	999	2	BBA_08133	1478
NW_007930878.1	160663	160671	9	+	11.5714	3.31e-06	1	Promoter (1-2kb)	43	161082	162130	1049	2	BBA_09016	1459
NW_007930846.1	163874	163882	9	+	11.5714	3.31e-06	1	Promoter (1-2kb)	11	161647	162666	1020	2	BBA_04699	-1208
NW_007930852.1	187160	187168	9	+	11.5714	3.31e-06	1	Promoter (<=1kb)	17	183208	187388	4181	2	BBA_06072	220
NW_007930844.1	197023	197031	9	-	11.5714	3.31e-06	1	Promoter (1-2kb)	9	195943	196686	744	1	BBA_04059	1088
NW_007930851.1	200366	200374	9	-	11.5714	3.31e-06	1	Promoter (<=1kb)	16	197583	199448	1866	2	BBA_05868	-926
NW_007930863.1	202777	202785	9	+	11.5714	3.31e-06	1	Promoter (1-2kb)	28	201681	205223	3543	1	BBA_07837	1096
NW_007930866.1	239438	239446	9	-	11.5714	3.31e-06	1	Promoter (1-2kb)	31	239494	241365	1872	2	BBA_08158	1927
NW_007930851.1	240398	240406	9	+	11.5714	3.31e-06	1	Promoter (<=1kb)	16	239772	240836	1065	2	BBA_05883	430
NW_007930848.1	269425	269433	9	-	11.5714	3.31e-06	1	Promoter (<=1kb)	13	268828	269759	932	2	BBA_05202	334
NW_007930842.1	269434	269442	9	+	11.5714	3.31e-06	1	Promoter (1-2kb)	7	269680	271335	1656	2	BBA_03304	1893
NW_007930841.1	276913	276921	9	+	11.5714	3.31e-06	1	Promoter (2-3kb)	6	274845	276027	1183	1	BBA_02835	2068
NW_007930865.1	289506	289514	9	-	11.5714	3.31e-06	1	Promoter (1-2kb)	30	288050	289285	1236	1	BBA_08080	1464
NW_007930855.1	308609	308617	9	-	11.5714	3.31e-06	1	Promoter (<=1kb)	20	308643	310422	1780	1	BBA_06729	-34
NW_007930860.1	309609	309617	9	-	11.5714	3.31e-06	1	Promoter (<=1kb)	25	309077	310212	1136	1	BBA_07529	540
NW_007930850.1	314626	314634	9	-	11.5714	3.31e-06	1	Promoter (1-2kb)	15	311348	313272	1925	2	BBA_05677	-1362
NW_007930849.1	339406	339414	9	-	11.5714	3.31e-06	1	Promoter (2-3kb)	14	339195	341603	2409	2	BBA_05453	2197
NW_007930851.1	351640	351648	9	-	11.5714	3.31e-06	1	Promoter (2-3kb)	16	349541	353716	4176	2	BBA_05926	2076
NW_007930860.1	390991	390999	9	+	11.5714	3.31e-06	1	Promoter (3-4kb)	25	387267	390357	3091	1	BBA_07547	3724
NW_007930849.1	416270	416278	9	-	11.5714	3.31e-06	1	Promoter (2-3kb)	14	411672	414036	2365	2	BBA_05481	-2242
NW_007930847.1	468105	468113	9	-	11.5714	3.31e-06	1	Promoter (2-3kb)	12	467379	470558	3180	2	BBA_05035	2453
NW_007930841.1	472162	472170	9	-	11.5714	3.31e-06	1	Promoter (<=1kb)	6	471439	471687	249	2	BBA_02892	-483
NW_007930856.1	481971	481979	9	-	11.5714	3.31e-06	1	Promoter (2-3kb)	21	484916	486732	1817	1	BBA_06944	-2945
NW_007930858.1	486972	486980	9	+	11.5714	3.31e-06	1	Promoter (<=1kb)	23	485875	486870	996	2	BBA_07264	-102
NW_007930839.1	487087	487095	9	+	11.5714	3.31e-06	1	Promoter (2-3kb)	4	484181	486871	2691	1	BBA_01943	2906
NW_007930853.1	493754	493762	9	+	11.5714	3.31e-06	1	Promoter (<=1kb)	18	492556	492889	334	2	BBA_06368	-865
NW_007930840.1	558637	558645	9	+	11.5714	3.31e-06	1	Promoter (2-3kb)	5	560800	561366	567	2	BBA_02470	2721
NW_007930845.1	558841	558849	9	-	11.5714	3.31e-06	1	Promoter (3-4kb)	10	562327	564872	2546	1	BBA_04511	-3486
NW_007930845.1	582599	582607	9	-	11.5714	3.31e-06	1	Promoter (<=1kb)	10	583407	584039	633	1	BBA_04518	-808
NW_007930851.1	639191	639199	9	+	11.5714	3.31e-06	1	Promoter (<=1kb)	16	637338	638732	1395	2	BBA_06015	-459
NW_007930837.1	654318	654326	9	-	11.5714	3.31e-06	1	Promoter (2-3kb)	2	656394	657984	1591	1	BBA_00868	-2076
