locus_tag	seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	distanceToTSS	GeneID	transcript_id	protein_id	product
BBA_00001	NW_007930836.1	2361	2368	8	-	9.5102	5.35e-05	1	Promoter (<=1kb)	1	3335	3683	349	1	-974	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00004	NW_007930836.1	13665	13672	8	+	9.45918	6.55e-05	1	Promoter (1-2kb)	1	12136	13042	907	1	1529	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00004	NW_007930836.1	13229	13236	8	+	9.5102	5.35e-05	1	Promoter (1-2kb)	1	12136	13042	907	1	1093	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00004	NW_007930836.1	12701	12708	8	-	9.5102	5.35e-05	1	Promoter (<=1kb)	1	12136	13042	907	1	572	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00011	NW_007930836.1	32173	32180	8	-	9.44898	9.22e-05	1	Promoter (<=1kb)	1	33013	35806	2794	1	-840	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00012	NW_007930836.1	36591	36598	8	+	9.64286	1.21e-05	0.963	Promoter (<=1kb)	1	37116	37424	309	2	826	19883024	XM_008595109.1	XP_008593331.1	ATP synthase H chain
BBA_00013	NW_007930836.1	40374	40381	8	+	9.5102	5.35e-05	1	Promoter (<=1kb)	1	38580	39928	1349	2	-446	19883025	XM_008595110.1	XP_008593332.1	cellobiose dehydrogenase, putative
BBA_00014	NW_007930836.1	45598	45605	8	-	9.5102	5.35e-05	1	Promoter (1-2kb)	1	42774	44348	1575	2	-1257	19883026	XM_008595111.1	XP_008593333.1	serine/threonine-protein kinase psk1
BBA_00014	NW_007930836.1	44007	44014	8	+	9.64286	1.21e-05	0.963	Promoter (<=1kb)	1	42774	44348	1575	2	334	19883026	XM_008595111.1	XP_008593333.1	serine/threonine-protein kinase psk1
BBA_00015	NW_007930836.1	45843	45850	8	+	9.64286	1.21e-05	0.963	Promoter (1-2kb)	1	45678	47093	1416	2	1243	19883027	XM_008595112.1	XP_008593334.1	Transcription regulator cyclin
BBA_00018	NW_007930836.1	56962	56969	8	-	9.45918	6.55e-05	1	Promoter (<=1kb)	1	55812	56743	932	2	-226	19883030	XM_008595115.1	XP_008593337.1	2OG-Fe(II) oxygenase family Oxidoreductase
