locus_tag	seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	distanceToTSS	GeneID	transcript_id	protein_id	product
BBA_00002	NW_007930836.1	5915	5922	8	+	10.2245	6.92e-05	0.598	Promoter (1-2kb)	1	5664	7104	1441	2	1182	19883014	XM_008595099.1	XP_008593321.1	ABC transporter
BBA_00004	NW_007930836.1	13239	13246	8	-	10.4796	2.29e-05	0.48	Promoter (1-2kb)	1	12136	13042	907	1	1110	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00004	NW_007930836.1	10528	10535	8	+	10.2143	7.73e-05	0.598	Promoter (1-2kb)	1	12136	13042	907	1	-1601	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00004	NW_007930836.1	13452	13459	8	+	10.0306	9.36e-05	0.598	Promoter (1-2kb)	1	12136	13042	907	1	1316	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00006	NW_007930836.1	19629	19636	8	-	10.1531	8.54e-05	0.598	Promoter (1-2kb)	1	21184	22451	1268	1	-1555	19883018	XM_008595103.1	XP_008593325.1	uncharacterized protein
BBA_00007	NW_007930836.1	23521	23528	8	+	10.2245	6.92e-05	0.598	Promoter (<=1kb)	1	23340	25184	1845	1	181	19883019	XM_008595104.1	XP_008593326.1	iron only hydrogenase large subunit domain-containing protein
BBA_00009	NW_007930836.1	28395	28402	8	-	10.2857	5.26e-05	0.598	Promoter (1-2kb)	1	26627	26932	306	1	1775	19883021	XM_008595106.1	XP_008593328.1	uncharacterized protein
BBA_00011	NW_007930836.1	33928	33935	8	+	10.1531	8.54e-05	0.598	Promoter (<=1kb)	1	33013	35806	2794	1	915	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00011	NW_007930836.1	32868	32875	8	+	11	1.48e-05	0.48	Promoter (<=1kb)	1	33013	35806	2794	1	-138	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00011	NW_007930836.1	33085	33092	8	+	10.4082	4.27e-05	0.598	Promoter (<=1kb)	1	33013	35806	2794	1	72	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00013	NW_007930836.1	40984	40991	8	-	11	1.48e-05	0.48	Promoter (1-2kb)	1	38580	39928	1349	2	-1063	19883025	XM_008595110.1	XP_008593332.1	cellobiose dehydrogenase, putative
BBA_00014	NW_007930836.1	42280	42287	8	+	10.2245	6.92e-05	0.598	Promoter (2-3kb)	1	42774	44348	1575	2	2061	19883026	XM_008595111.1	XP_008593333.1	serine/threonine-protein kinase psk1
BBA_00015	NW_007930836.1	47569	47576	8	+	10.2653	6.25e-05	0.598	Promoter (<=1kb)	1	45678	47093	1416	2	-476	19883027	XM_008595112.1	XP_008593334.1	Transcription regulator cyclin
BBA_00015	NW_007930836.1	46936	46943	8	-	10.2245	6.92e-05	0.598	Promoter (<=1kb)	1	45678	47093	1416	2	157	19883027	XM_008595112.1	XP_008593334.1	Transcription regulator cyclin
BBA_00017	NW_007930836.1	50779	50786	8	-	11	1.48e-05	0.48	Promoter (<=1kb)	1	50976	55391	4416	1	-197	19883029	XM_008595114.1	XP_008593336.1	ABC transporter
BBA_00017	NW_007930836.1	51582	51589	8	+	10.2857	5.26e-05	0.598	Promoter (<=1kb)	1	50976	55391	4416	1	606	19883029	XM_008595114.1	XP_008593336.1	ABC transporter
BBA_00019	NW_007930836.1	59504	59511	8	+	10.4082	4.27e-05	0.598	Promoter (<=1kb)	1	57711	58663	953	2	-841	19883031	XM_008595116.1	XP_008593338.1	tat pathway signal sequence
BBA_00020	NW_007930836.1	61702	61709	8	+	10.0306	9.36e-05	0.598	Promoter (2-3kb)	1	63451	64529	1079	2	2820	19883032	XM_008595117.1	XP_008593339.1	glycerate dehydrogenase
BBA_00020	NW_007930836.1	63210	63217	8	-	10.1531	8.54e-05	0.598	Promoter (1-2kb)	1	63451	64529	1079	2	1319	19883032	XM_008595117.1	XP_008593339.1	glycerate dehydrogenase
BBA_00021	NW_007930836.1	66823	66830	8	-	10.0306	9.36e-05	0.598	Promoter (<=1kb)	1	66572	67074	503	1	258	19883033	XM_008595118.1	XP_008593340.1	LSM domain-containing protein
BBA_00021	NW_007930836.1	66469	66476	8	+	10.4694	3.28e-05	0.583	Promoter (<=1kb)	1	66572	67074	503	1	-96	19883033	XM_008595118.1	XP_008593340.1	LSM domain-containing protein
BBA_00021	NW_007930836.1	66619	66626	8	+	10.0306	9.36e-05	0.598	Promoter (<=1kb)	1	66572	67074	503	1	47	19883033	XM_008595118.1	XP_008593340.1	LSM domain-containing protein
BBA_00021	NW_007930836.1	66771	66778	8	+	10.4082	4.27e-05	0.598	Promoter (<=1kb)	1	66572	67074	503	1	199	19883033	XM_008595118.1	XP_008593340.1	LSM domain-containing protein
BBA_00022	NW_007930836.1	68027	68034	8	-	10.2245	6.92e-05	0.598	Promoter (<=1kb)	1	67095	68927	1833	2	900	19883034	XM_008595119.1	XP_008593341.1	inosine-uridine preferring nucleoside hydrolase
BBA_00023	NW_007930836.1	71529	71536	8	+	10.0306	9.36e-05	0.598	Promoter (<=1kb)	1	71296	72546	1251	1	233	19883035	XM_008595120.1	XP_008593342.1	uncharacterized protein
BBA_00023	NW_007930836.1	71882	71889	8	+	10.4694	3.28e-05	0.583	Promoter (<=1kb)	1	71296	72546	1251	1	586	19883035	XM_008595120.1	XP_008593342.1	uncharacterized protein
