locus_tag	seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	distanceToTSS	GeneID	transcript_id	protein_id	product
BBA_00001	NW_007930836.1	981	990	10	+	11.4752	2.19e-05	1	Promoter (2-3kb)	1	3335	3683	349	1	-2345	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00003	NW_007930836.1	10154	10163	10	-	11.8812	9.91e-06	1	Promoter (1-2kb)	1	8108	8869	762	2	-1294	19883015	XM_008595100.1	XP_008593322.1	uncharacterized protein
BBA_00003	NW_007930836.1	10069	10078	10	+	10.9307	6.91e-05	1	Promoter (1-2kb)	1	8108	8869	762	2	-1200	19883015	XM_008595100.1	XP_008593322.1	uncharacterized protein
BBA_00005	NW_007930836.1	18012	18021	10	+	11.495	2.02e-05	1	Promoter (2-3kb)	1	15330	20029	4700	1	2682	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00010	NW_007930836.1	28674	28683	10	-	12.396	1.64e-06	1	Promoter (1-2kb)	1	30265	32130	1866	1	-1591	19883022	XM_008595107.1	XP_008593329.1	uncharacterized protein
BBA_00010	NW_007930836.1	28670	28679	10	+	11.8812	9.91e-06	1	Promoter (1-2kb)	1	30265	32130	1866	1	-1586	19883022	XM_008595107.1	XP_008593329.1	uncharacterized protein
BBA_00011	NW_007930836.1	33483	33492	10	+	11.901	7.91e-06	1	Promoter (<=1kb)	1	33013	35806	2794	1	470	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00018	NW_007930836.1	57360	57369	10	-	10.9802	6.07e-05	1	Promoter (<=1kb)	1	55812	56743	932	2	-626	19883030	XM_008595115.1	XP_008593337.1	2OG-Fe(II) oxygenase family Oxidoreductase
BBA_00019	NW_007930836.1	59490	59499	10	+	11.1188	5.16e-05	1	Promoter (<=1kb)	1	57711	58663	953	2	-827	19883031	XM_008595116.1	XP_008593338.1	tat pathway signal sequence
BBA_00020	NW_007930836.1	63131	63140	10	-	11.1683	5.03e-05	1	Promoter (1-2kb)	1	63451	64529	1079	2	1398	19883032	XM_008595117.1	XP_008593339.1	glycerate dehydrogenase
BBA_00021	NW_007930836.1	65722	65731	10	-	10.8713	7.88e-05	1	Promoter (<=1kb)	1	66572	67074	503	1	-850	19883033	XM_008595118.1	XP_008593340.1	LSM domain-containing protein
BBA_00027	NW_007930836.1	81624	81633	10	-	11.8713	1.16e-05	1	Promoter (1-2kb)	1	80124	81112	989	1	1509	19883039	XM_008595124.1	XP_008593346.1	Mitochondrial glycoprotein
BBA_00029	NW_007930836.1	85723	85732	10	-	12.2673	2.99e-06	1	Promoter (<=1kb)	1	85654	87786	2133	1	78	19883041	XM_008595126.1	XP_008593348.1	pumilio-family RNA binding repeat domain-containing protein
