seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS
NW_007930945.1	3914	3923	10	+	11.5229	7.46e-07	0.429	Promoter (2-3kb)	110	1557	6823	5267	1	BBA_10258	2357
NW_007930941.1	4031	4040	10	-	11.5229	7.46e-07	0.429	Promoter (2-3kb)	106	1893	3356	1464	1	BBA_10242	2147
NW_007930855.1	8029	8038	10	-	11.5229	7.46e-07	0.429	Promoter (<=1kb)	20	7189	8618	1430	1	BBA_06635	849
NW_007930879.1	15109	15118	10	-	11.5229	7.46e-07	0.429	Promoter (<=1kb)	44	14524	17136	2613	1	BBA_09030	594
NW_007930851.1	18235	18244	10	-	11.5229	7.46e-07	0.429	Promoter (<=1kb)	16	18913	19716	804	1	BBA_05808	-678
NW_007930862.1	18476	18485	10	-	11.5229	7.46e-07	0.429	Promoter (<=1kb)	27	17441	18460	1020	2	BBA_07681	-25
NW_007930844.1	20554	20563	10	-	11.5229	7.46e-07	0.429	Promoter (2-3kb)	9	21503	23083	1581	2	BBA_04001	2529
NW_007930866.1	24635	24644	10	+	11.5229	7.46e-07	0.429	Promoter (1-2kb)	31	24216	26116	1901	2	BBA_08092	1472
NW_007930837.1	30325	30334	10	-	11.5229	7.46e-07	0.429	Promoter (2-3kb)	2	27195	28218	1024	2	BBA_00692	-2116
NW_007930877.1	32862	32871	10	+	11.5229	7.46e-07	0.429	Promoter (4-5kb)	42	27940	30398	2459	1	BBA_08906	4922
NW_007930899.1	39618	39627	10	+	11.5229	7.46e-07	0.429	Promoter (<=1kb)	64	38651	40319	1669	2	BBA_09726	692
NW_007930872.1	74820	74829	10	-	11.5229	7.46e-07	0.429	Promoter (1-2kb)	37	75077	76605	1529	2	BBA_08627	1785
NW_007930837.1	83540	83549	10	-	11.5229	7.46e-07	0.429	Promoter (<=1kb)	2	83550	84981	1432	1	BBA_00704	-10
NW_007930887.1	97943	97952	10	-	11.5229	7.46e-07	0.429	Promoter (<=1kb)	52	97360	100015	2656	1	BBA_09395	592
NW_007930858.1	106306	106315	10	-	11.5229	7.46e-07	0.429	Promoter (<=1kb)	23	104035	106331	2297	2	BBA_07135	25
NW_007930847.1	106480	106489	10	+	11.5229	7.46e-07	0.429	Promoter (1-2kb)	12	104222	108276	4055	2	BBA_04936	1787
NW_007930870.1	115207	115216	10	-	11.5229	7.46e-07	0.429	Promoter (<=1kb)	35	114399	115644	1246	1	BBA_08484	817
NW_007930851.1	132708	132717	10	-	11.5229	7.46e-07	0.429	Promoter (2-3kb)	16	130309	134453	4145	1	BBA_05846	2408
NW_007930841.1	154333	154342	10	-	11.5229	7.46e-07	0.429	Promoter (<=1kb)	6	152679	153357	679	2	BBA_02800	-985
NW_007930847.1	154344	154353	10	-	11.5229	7.46e-07	0.429	Promoter (<=1kb)	12	155046	156173	1128	1	BBA_04951	-702
NW_007930860.1	170096	170105	10	+	11.5229	7.46e-07	0.429	Promoter (<=1kb)	25	163658	170691	7034	2	BBA_07480	586
NW_007930842.1	186929	186938	10	-	11.5229	7.46e-07	0.429	Promoter (2-3kb)	7	189577	190254	678	1	BBA_03270	-2648
NW_007930841.1	201453	201462	10	+	11.5229	7.46e-07	0.429	Promoter (1-2kb)	6	198812	203068	4257	2	BBA_02816	1606
NW_007930869.1	228295	228304	10	-	11.5229	7.46e-07	0.429	Promoter (<=1kb)	34	228962	230609	1648	1	BBA_08419	-667
NW_007930865.1	245037	245046	10	+	11.5229	7.46e-07	0.429	Promoter (<=1kb)	30	244525	245977	1453	1	BBA_08068	512
NW_007930861.1	246350	246359	10	-	11.5229	7.46e-07	0.429	Promoter (<=1kb)	26	246036	246767	732	1	BBA_07630	323
NW_007930836.1	266597	266606	10	+	11.5229	7.46e-07	0.429	Promoter (<=1kb)	1	264531	266367	1837	2	BBA_00090	-230
