locus_tag	seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	distanceToTSS	GeneID	transcript_id	protein_id	product
BBA_00003	NW_007930836.1	8237	8246	10	-	9.74312	7.84e-05	0.485	Promoter (<=1kb)	1	8108	8869	762	2	632	19883015	XM_008595100.1	XP_008593322.1	uncharacterized protein
BBA_00004	NW_007930836.1	11443	11452	10	+	9.69725	8.42e-05	0.488	Promoter (<=1kb)	1	12136	13042	907	1	-684	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00004	NW_007930836.1	13412	13421	10	-	10.8073	1.01e-05	0.429	Promoter (1-2kb)	1	12136	13042	907	1	1285	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00004	NW_007930836.1	13478	13487	10	-	9.83486	6.25e-05	0.485	Promoter (1-2kb)	1	12136	13042	907	1	1351	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00004	NW_007930836.1	13063	13072	10	-	9.97248	5.29e-05	0.485	Promoter (<=1kb)	1	12136	13042	907	1	936	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00004	NW_007930836.1	10498	10507	10	-	9.65138	8.97e-05	0.489	Promoter (1-2kb)	1	12136	13042	907	1	-1638	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00005	NW_007930836.1	17700	17709	10	-	9.98165	5.15e-05	0.485	Promoter (2-3kb)	1	15330	20029	4700	1	2379	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00011	NW_007930836.1	33985	33994	10	-	11.2385	3.46e-06	0.429	Promoter (<=1kb)	1	33013	35806	2794	1	981	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00011	NW_007930836.1	34907	34916	10	-	9.63303	9.1e-05	0.489	Promoter (1-2kb)	1	33013	35806	2794	1	1903	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00012	NW_007930836.1	37619	37628	10	-	10.6881	1.44e-05	0.44	Promoter (<=1kb)	1	37116	37424	309	2	-204	19883024	XM_008595109.1	XP_008593331.1	ATP synthase H chain
BBA_00013	NW_007930836.1	40164	40173	10	+	9.6422	9.02e-05	0.489	Promoter (<=1kb)	1	38580	39928	1349	2	-236	19883025	XM_008595110.1	XP_008593332.1	cellobiose dehydrogenase, putative
BBA_00014	NW_007930836.1	43882	43891	10	-	9.58716	9.61e-05	0.493	Promoter (<=1kb)	1	42774	44348	1575	2	466	19883026	XM_008595111.1	XP_008593333.1	serine/threonine-protein kinase psk1
BBA_00014	NW_007930836.1	43364	43373	10	+	10.5505	1.89e-05	0.442	Promoter (<=1kb)	1	42774	44348	1575	2	975	19883026	XM_008595111.1	XP_008593333.1	serine/threonine-protein kinase psk1
BBA_00014	NW_007930836.1	43526	43535	10	+	9.89908	5.79e-05	0.485	Promoter (<=1kb)	1	42774	44348	1575	2	813	19883026	XM_008595111.1	XP_008593333.1	serine/threonine-protein kinase psk1
