seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS
NW_007930888.1	12530	12541	12	-	13.97	8.34e-08	1	Promoter (<=1kb)	53	12678	13364	687	2	BBA_09400	834
NW_007930858.1	72642	72653	12	-	13.97	8.34e-08	1	Promoter (1-2kb)	23	70851	74818	3968	1	BBA_07124	1802
NW_007930842.1	1004023	1004034	12	+	13.97	8.34e-08	1	Promoter (<=1kb)	7	1000844	1003832	2989	2	BBA_03553	-191
NW_007930893.1	80062	80073	12	+	13.82	2.2e-07	1	Promoter (1-2kb)	58	81161	82188	1028	1	BBA_09575	-1088
NW_007930875.1	80660	80671	12	-	13.82	2.2e-07	1	Promoter (<=1kb)	40	78960	81092	2133	2	BBA_08791	432
NW_007930846.1	131955	131966	12	-	13.82	2.2e-07	1	Promoter (<=1kb)	11	132200	133417	1218	1	BBA_04689	-245
NW_007930837.1	1548096	1548107	12	+	13.82	2.2e-07	1	Promoter (<=1kb)	2	1548072	1550216	2145	1	BBA_01114	24
NW_007930836.1	1819980	1819991	12	+	13.82	2.2e-07	1	Promoter (<=1kb)	1	1820597	1822534	1938	1	BBA_00591	-606
NW_007931035.1	347	358	12	+	13.67	4.14e-07	1	Promoter (<=1kb)	154	106	1300	1195	1	BBA_10365	241
NW_007930929.1	18045	18056	12	+	13.67	4.14e-07	1	Promoter (<=1kb)	94	16238	17185	948	2	BBA_10160	-860
NW_007930863.1	23779	23790	12	-	13.67	4.14e-07	1	Promoter (<=1kb)	28	22286	23608	1323	2	BBA_07781	-182
NW_007930904.1	27953	27964	12	+	13.67	4.14e-07	1	Promoter (1-2kb)	69	25783	26859	1077	2	BBA_09813	-1094
NW_007930855.1	28177	28188	12	+	13.67	4.14e-07	1	Promoter (<=1kb)	20	26932	27990	1059	2	BBA_06641	-187
NW_007930872.1	73753	73764	12	-	13.67	4.14e-07	1	Promoter (1-2kb)	37	71950	73353	1404	1	BBA_08626	1814
NW_007930897.1	82331	82342	12	-	13.67	4.14e-07	1	Promoter (2-3kb)	62	78353	80249	1897	2	BBA_09685	-2093
NW_007930885.1	91413	91424	12	+	13.67	4.14e-07	1	Promoter (2-3kb)	50	93403	94221	819	2	BBA_09318	2797
NW_007930857.1	258153	258164	12	+	13.67	4.14e-07	1	Promoter (1-2kb)	22	256807	258765	1959	1	BBA_07027	1346
NW_007930847.1	578723	578734	12	-	13.67	4.14e-07	1	Promoter (2-3kb)	12	575608	576412	805	2	BBA_05070	-2322
NW_007930851.1	589301	589312	12	+	13.67	4.14e-07	1	Promoter (1-2kb)	16	590609	591484	876	1	BBA_06000	-1297
NW_007930839.1	799147	799158	12	-	13.67	4.14e-07	1	Promoter (1-2kb)	4	797285	798490	1206	1	BBA_02045	1873
NW_007930845.1	817111	817122	12	-	13.67	4.14e-07	1	Promoter (1-2kb)	10	815960	817099	1140	1	BBA_04599	1162
NW_007930841.1	824086	824097	12	+	13.67	4.14e-07	1	Promoter (1-2kb)	6	822190	822714	525	1	BBA_03014	1896
NW_007930845.1	854418	854429	12	+	13.67	4.14e-07	1	Promoter (3-4kb)	10	856405	858256	1852	2	BBA_04607	3827
NW_007930901.1	3205	3216	12	-	13.52	7.4e-07	1	Promoter (3-4kb)	66	6586	7038	453	1	BBA_09753	-3381
NW_007930857.1	6917	6928	12	-	13.52	7.4e-07	1	Promoter (<=1kb)	22	5972	6855	884	2	BBA_06956	-73
NW_007930901.1	14258	14269	12	-	13.52	7.4e-07	1	Promoter (<=1kb)	66	13476	14845	1370	2	BBA_09756	587
NW_007930851.1	18444	18455	12	+	13.52	7.4e-07	1	Promoter (<=1kb)	16	18913	19716	804	1	BBA_05808	-458
NW_007930841.1	47405	47416	12	+	13.52	7.4e-07	1	Promoter (<=1kb)	6	46815	48303	1489	1	BBA_02761	590
NW_007930859.1	210629	210640	12	+	13.52	7.4e-07	1	Promoter (<=1kb)	24	209794	210868	1075	2	BBA_07348	228
NW_007930849.1	403148	403159	12	-	13.52	7.4e-07	1	Promoter (<=1kb)	14	403396	404945	1550	1	BBA_05478	-248
NW_007930838.1	755537	755548	12	+	13.52	7.4e-07	1	Promoter (<=1kb)	3	755050	756609	1560	1	BBA_01466	487
NW_007930841.1	1385561	1385572	12	+	13.52	7.4e-07	1	Promoter (2-3kb)	6	1383358	1387698	4341	2	BBA_03194	2126
NW_007930918.1	3715	3726	12	-	13.45	9.07e-07	1	Promoter (<=1kb)	83	2173	3970	1798	2	BBA_10040	255
NW_007930878.1	121671	121682	12	+	13.45	9.07e-07	1	Promoter (<=1kb)	43	121305	122086	782	2	BBA_09003	404
NW_007930839.1	350398	350409	12	+	13.45	9.07e-07	1	Promoter (2-3kb)	4	352646	353137	492	2	BBA_01900	2728
NW_007930873.1	43283	43294	12	-	13.39	1.07e-06	1	Distal Intergenic	38	54807	58854	4048	1	BBA_08668	-11524
NW_007930841.1	129778	129789	12	-	13.39	1.07e-06	1	Promoter (<=1kb)	6	130275	131662	1388	1	BBA_02791	-497
NW_007930870.1	226144	226155	12	-	13.39	1.07e-06	1	Promoter (<=1kb)	35	224781	226351	1571	2	BBA_08522	207
NW_007930849.1	354155	354166	12	-	13.39	1.07e-06	1	Promoter (<=1kb)	14	354925	357566	2642	1	BBA_05459	-770
NW_007930838.1	371207	371218	12	+	13.39	1.07e-06	1	Promoter (<=1kb)	3	369666	370911	1246	2	BBA_01354	-296
NW_007930843.1	640722	640733	12	+	13.39	1.07e-06	1	Promoter (1-2kb)	8	641783	642743	961	1	BBA_03835	-1050
NW_007930846.1	827968	827979	12	-	13.39	1.07e-06	1	Promoter (1-2kb)	11	825736	826657	922	2	BBA_04887	-1322
NW_007930837.1	1015545	1015556	12	-	13.39	1.07e-06	1	Promoter (<=1kb)	2	1016543	1018915	2373	1	BBA_00960	-998
NW_007930925.1	29435	29446	12	+	13.37	1.17e-06	1	Promoter (<=1kb)	90	29290	32463	3174	1	BBA_10124	145
NW_007930882.1	89253	89264	12	+	13.37	1.17e-06	1	Promoter (<=1kb)	47	89297	90922	1626	1	BBA_09201	-33
NW_007930869.1	238636	238647	12	+	13.37	1.17e-06	1	Promoter (2-3kb)	34	239349	240678	1330	2	BBA_08423	2031
NW_007930865.1	277303	277314	12	-	13.37	1.17e-06	1	Promoter (1-2kb)	30	275819	277849	2031	1	BBA_08076	1495
NW_007930849.1	475885	475896	12	+	13.37	1.17e-06	1	Promoter (1-2kb)	14	476724	477467	744	2	BBA_05502	1571
NW_007930850.1	633650	633661	12	+	13.37	1.17e-06	1	Promoter (1-2kb)	15	632027	632511	485	2	BBA_05787	-1139
NW_007930837.1	748658	748669	12	-	13.37	1.17e-06	1	Promoter (1-2kb)	2	745327	747549	2223	2	BBA_00894	-1120
NW_007930839.1	1452393	1452404	12	+	13.37	1.17e-06	1	Promoter (2-3kb)	4	1454441	1456394	1954	1	BBA_02245	-2037
NW_007930857.1	102126	102137	12	+	13.33	1.25e-06	1	Promoter (<=1kb)	22	102382	104914	2533	1	BBA_06985	-245
NW_007930840.1	171994	172005	12	+	13.33	1.25e-06	1	Promoter (<=1kb)	5	172743	173999	1257	1	BBA_02356	-738
NW_007930851.1	205820	205831	12	-	13.33	1.25e-06	1	Promoter (<=1kb)	16	200204	206213	6010	2	BBA_05869	393
NW_007930862.1	4243	4254	12	+	13.3	1.48e-06	1	Promoter (<=1kb)	27	4491	5183	693	1	BBA_07675	-237
NW_007930862.1	42409	42420	12	-	13.3	1.48e-06	1	Promoter (1-2kb)	27	39166	40852	1687	2	BBA_07685	-1568
NW_007930873.1	158400	158411	12	+	13.3	1.48e-06	1	Promoter (<=1kb)	38	158634	159866	1233	1	BBA_08700	-223
NW_007930838.1	954711	954722	12	+	13.3	1.48e-06	1	Promoter (<=1kb)	3	954908	956923	2016	1	BBA_01526	-186
NW_007930839.1	1117966	1117977	12	+	13.3	1.48e-06	1	Promoter (1-2kb)	4	1114972	1116782	1811	2	BBA_02142	-1184
NW_007930889.1	9489	9500	12	+	13.26	1.62e-06	1	Promoter (<=1kb)	54	5501	9877	4377	2	BBA_09431	377
NW_007930926.1	10871	10882	12	+	13.26	1.62e-06	1	Promoter (1-2kb)	91	9822	11461	1640	1	BBA_10127	1049
NW_007930936.1	11677	11688	12	-	13.26	1.62e-06	1	Promoter (2-3kb)	101	9502	10835	1334	1	BBA_10219	2186
NW_007930944.1	18557	18568	12	-	13.26	1.62e-06	1	Promoter (3-4kb)	109	14865	15441	577	2	BBA_10257	-3127
NW_007930895.1	73493	73504	12	-	13.26	1.62e-06	1	Promoter (2-3kb)	60	75751	76293	543	1	BBA_09631	-2258
NW_007930857.1	107035	107046	12	-	13.26	1.62e-06	1	Promoter (<=1kb)	22	105873	106460	588	2	BBA_06986	-586
NW_007930866.1	240775	240786	12	+	13.26	1.62e-06	1	Promoter (<=1kb)	31	239494	241365	1872	2	BBA_08158	579
NW_007930856.1	277486	277497	12	-	13.26	1.62e-06	1	Promoter (1-2kb)	21	273157	279468	6312	2	BBA_06886	1982
NW_007930838.1	322357	322368	12	-	13.26	1.62e-06	1	Promoter (1-2kb)	3	322285	323594	1310	2	BBA_01339	1237
NW_007930858.1	497152	497163	12	-	13.26	1.62e-06	1	Promoter (<=1kb)	23	496035	497734	1700	2	BBA_07269	582
NW_007930845.1	918366	918377	12	-	13.26	1.62e-06	1	Promoter (<=1kb)	10	918081	921051	2971	1	BBA_04629	296
NW_007930858.1	29500	29511	12	+	13.25	1.69e-06	1	Promoter (1-2kb)	23	27853	30910	3058	1	BBA_07113	1647
NW_007930839.1	872098	872109	12	+	13.25	1.69e-06	1	Promoter (<=1kb)	4	872486	874127	1642	1	BBA_02066	-377
NW_007930845.1	891685	891696	12	+	13.25	1.69e-06	1	Promoter (<=1kb)	10	889841	891553	1713	2	BBA_04619	-132
NW_007930855.1	30864	30875	12	-	13.24	1.96e-06	1	Promoter (<=1kb)	20	30628	31148	521	2	BBA_06644	284
NW_007930852.1	177616	177627	12	-	13.24	1.96e-06	1	Promoter (2-3kb)	17	175256	180229	4974	2	BBA_06070	2613
NW_007930836.1	202615	202626	12	-	13.24	1.96e-06	1	Promoter (<=1kb)	1	201650	202113	464	1	BBA_00070	976
NW_007930837.1	202630	202641	12	-	13.24	1.96e-06	1	Promoter (1-2kb)	2	200849	201395	547	2	BBA_00742	-1246
NW_007930857.1	513212	513223	12	-	13.24	1.96e-06	1	Promoter (<=1kb)	22	512018	513947	1930	2	BBA_07099	735
NW_007930839.1	795132	795143	12	+	13.24	1.96e-06	1	Promoter (1-2kb)	4	793535	794954	1420	1	BBA_02044	1597
NW_007930836.1	1692304	1692315	12	-	13.24	1.96e-06	1	Promoter (1-2kb)	1	1688803	1690683	1881	2	BBA_00551	-1632
NW_007930874.1	56590	56601	12	-	13.18	2.1e-06	1	Promoter (3-4kb)	39	51672	53501	1830	2	BBA_08729	-3100
NW_007930878.1	86117	86128	12	+	13.18	2.1e-06	1	Promoter (1-2kb)	43	86840	87833	994	2	BBA_08985	1705
NW_007930855.1	231869	231880	12	-	13.18	2.1e-06	1	Promoter (1-2kb)	20	230564	231682	1119	1	BBA_06712	1316
NW_007930853.1	492377	492388	12	+	13.18	2.1e-06	1	Promoter (<=1kb)	18	490826	492019	1194	2	BBA_06367	-358
NW_007930853.1	551691	551702	12	-	13.18	2.1e-06	1	Promoter (3-4kb)	18	552957	555107	2151	2	BBA_06385	3416
NW_007930838.1	564947	564958	12	+	13.18	2.1e-06	1	Promoter (1-2kb)	3	565138	566621	1484	2	BBA_01410	1663
NW_007930837.1	1033143	1033154	12	+	13.18	2.1e-06	1	Promoter (<=1kb)	2	1032387	1033036	650	2	BBA_00964	-107
NW_007930905.1	6913	6924	12	+	13.15	2.38e-06	1	Promoter (<=1kb)	70	7241	7675	435	2	BBA_09826	751
NW_007930897.1	21392	21403	12	-	13.15	2.38e-06	1	Promoter (1-2kb)	62	21926	22405	480	2	BBA_09669	1013
NW_007930868.1	44046	44057	12	+	13.15	2.38e-06	1	Distal Intergenic	33	35752	38827	3076	2	BBA_08276	-5219
NW_007930877.1	50154	50165	12	+	13.15	2.38e-06	1	Promoter (<=1kb)	42	47096	49373	2278	2	BBA_08909	-781
NW_007930892.1	60210	60221	12	+	13.15	2.38e-06	1	Promoter (1-2kb)	57	61612	63394	1783	1	BBA_09540	-1391
NW_007930863.1	231111	231122	12	+	13.15	2.38e-06	1	Promoter (<=1kb)	28	231645	235130	3486	1	BBA_07846	-523
NW_007930850.1	316853	316864	12	+	13.15	2.38e-06	1	Promoter (<=1kb)	15	313747	317243	3497	2	BBA_05678	379
NW_007930837.1	321271	321282	12	-	13.15	2.38e-06	1	Promoter (3-4kb)	2	324464	326351	1888	1	BBA_00779	-3193
NW_007930857.1	440614	440625	12	+	13.15	2.38e-06	1	Promoter (<=1kb)	22	438192	440271	2080	2	BBA_07078	-343
NW_007930854.1	465808	465819	12	+	13.15	2.38e-06	1	Promoter (<=1kb)	19	464992	467352	2361	1	BBA_06572	816
NW_007930846.1	711903	711914	12	+	13.15	2.38e-06	1	Promoter (4-5kb)	11	706369	707879	1511	2	BBA_04854	-4024
NW_007930859.1	4265	4276	12	+	13.11	2.8e-06	1	Promoter (1-2kb)	24	2296	3787	1492	1	BBA_07275	1969
NW_007930894.1	9492	9503	12	-	13.11	2.8e-06	1	Promoter (<=1kb)	59	9648	10652	1005	1	BBA_09582	-156
NW_007930860.1	196607	196618	12	+	13.11	2.8e-06	1	Promoter (<=1kb)	25	197301	199189	1889	1	BBA_07489	-683
NW_007930844.1	273147	273158	12	+	13.11	2.8e-06	1	Promoter (<=1kb)	9	273285	273828	544	2	BBA_04085	670
NW_007930843.1	732626	732637	12	-	13.11	2.8e-06	1	Promoter (1-2kb)	8	731086	732490	1405	1	BBA_03867	1551
NW_007930841.1	1046445	1046456	12	+	13.11	2.8e-06	1	Promoter (<=1kb)	6	1046499	1048005	1507	1	BBA_03089	-43
NW_007930837.1	1337373	1337384	12	-	13.11	2.8e-06	1	Promoter (<=1kb)	2	1334079	1337771	3693	2	BBA_01041	398
NW_007930836.1	1442969	1442980	12	+	13.11	2.8e-06	1	Promoter (<=1kb)	1	1442067	1442939	873	1	BBA_00474	902
NW_007930838.1	1616903	1616914	12	-	13.11	2.8e-06	1	Promoter (2-3kb)	3	1612132	1618945	6814	2	BBA_01733	2042
NW_007930911.1	22986	22997	12	+	13.1	2.92e-06	1	Promoter (<=1kb)	76	22307	22825	519	1	BBA_09945	679
NW_007930848.1	570837	570848	12	-	13.1	2.92e-06	1	Promoter (1-2kb)	13	569274	570723	1450	1	BBA_05291	1574
NW_007930950.1	8372	8383	12	-	13.09	3.17e-06	1	Promoter (<=1kb)	115	8611	9467	857	1	BBA_10282	-239
NW_007930922.1	13669	13680	12	-	13.09	3.17e-06	1	Distal Intergenic	87	18308	20624	2317	2	BBA_10096	6955
NW_007930893.1	70213	70224	12	+	13.09	3.17e-06	1	Promoter (3-4kb)	58	71399	73325	1927	2	BBA_09573	3101
NW_007930868.1	73516	73527	12	+	13.09	3.17e-06	1	Promoter (<=1kb)	33	73142	73414	273	1	BBA_08277	374
NW_007930842.1	85314	85325	12	+	13.09	3.17e-06	1	Promoter (<=1kb)	7	83190	84986	1797	2	BBA_03235	-328
NW_007930856.1	134969	134980	12	-	13.09	3.17e-06	1	Promoter (<=1kb)	21	131489	134689	3201	2	BBA_06848	-291
NW_007930856.1	499371	499382	12	+	13.09	3.17e-06	1	Promoter (2-3kb)	21	496731	498033	1303	1	BBA_06949	2640
NW_007930838.1	561322	561333	12	-	13.09	3.17e-06	1	Promoter (1-2kb)	3	562733	564168	1436	1	BBA_01409	-1411
NW_007930844.1	1134275	1134286	12	+	13.09	3.17e-06	1	Promoter (<=1kb)	9	1133946	1137187	3242	1	BBA_04343	329
NW_007930837.1	1766807	1766818	12	-	13.09	3.17e-06	1	Promoter (2-3kb)	2	1764322	1766562	2241	1	BBA_01181	2496
NW_007930837.1	1160620	1160631	12	+	13.05	3.27e-06	1	Promoter (1-2kb)	2	1162060	1164428	2369	1	BBA_00996	-1429
NW_007930874.1	30614	30625	12	-	13.03	3.46e-06	1	Promoter (2-3kb)	39	28665	32617	3953	2	BBA_08722	2003
NW_007930880.1	72898	72909	12	+	13.03	3.46e-06	1	Promoter (3-4kb)	45	67961	69829	1869	2	BBA_09098	-3069
NW_007930870.1	165494	165505	12	+	13.03	3.46e-06	1	Promoter (1-2kb)	35	163747	164487	741	2	BBA_08503	-1007
NW_007930856.1	209043	209054	12	-	13.03	3.46e-06	1	Promoter (1-2kb)	21	210371	211227	857	1	BBA_06870	-1328
NW_007930856.1	407447	407458	12	-	13.03	3.46e-06	1	Promoter (<=1kb)	21	403444	407459	4016	2	BBA_06924	12
NW_007930842.1	458857	458868	12	-	13.03	3.46e-06	1	Promoter (1-2kb)	7	454798	456906	2109	2	BBA_03369	-1962
NW_007930843.1	459229	459240	12	-	13.03	3.46e-06	1	Promoter (1-2kb)	8	457924	459447	1524	1	BBA_03778	1316
NW_007930844.1	525397	525408	12	-	13.03	3.46e-06	1	Promoter (1-2kb)	9	522752	523837	1086	2	BBA_04162	-1571
NW_007930846.1	670534	670545	12	+	13.03	3.46e-06	1	Promoter (1-2kb)	11	671210	672334	1125	2	BBA_04845	1789
NW_007930838.1	1484924	1484935	12	-	13.03	3.46e-06	1	Promoter (<=1kb)	3	1483404	1484876	1473	2	BBA_01696	-59
NW_007930889.1	53687	53698	12	-	13.02	3.66e-06	1	Promoter (<=1kb)	54	53014	54075	1062	1	BBA_09449	684
