#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-2C6704CED89B49A-2D203F2803AA4352
#datatype	hitsStandard Results
#status	0
#Start time	2025-03-05T18:50:39	Run time	0:00:01:04
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#3 - >XP_008593365.1 glucan endo-1,3-beta-glucosidase A1-like protein [Beauveria bassiana ARSEF 2860]	non-specific	185691	35	317	4.54106e-92	274.576	cd02182	GH16_Strep_laminarinase_like	 - 	cl22861
Q#3 - >XP_008593365.1 glucan endo-1,3-beta-glucosidase A1-like protein [Beauveria bassiana ARSEF 2860]	superfamily	473984	35	317	4.54106e-92	274.576	cl22861	LamG superfamily	 - 	 - 
Q#3 - >XP_008593365.1 glucan endo-1,3-beta-glucosidase A1-like protein [Beauveria bassiana ARSEF 2860]	specific	441874	1	317	8.10846e-42	145.517	COG2273	BglS	 - 	cl34454
Q#3 - >XP_008593365.1 glucan endo-1,3-beta-glucosidase A1-like protein [Beauveria bassiana ARSEF 2860]	superfamily	441874	1	317	8.10846e-42	145.517	cl34454	BglS superfamily	 - 	 - 
Q#3 - >XP_008593365.1 glucan endo-1,3-beta-glucosidase A1-like protein [Beauveria bassiana ARSEF 2860]	non-specific	395585	106	263	0.0079777	36.4166	pfam00722	Glyco_hydro_16	 - 	cl22861
Q#5 - >XP_008593381.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	non-specific	441878	26	562	9.80162e-55	193.506	COG2303	BetA	 - 	cl34456
Q#5 - >XP_008593381.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	superfamily	441878	26	562	9.80162e-55	193.506	cl34456	BetA superfamily	 - 	 - 
Q#5 - >XP_008593381.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	non-specific	366272	113	296	9.82873e-21	90.8044	pfam00732	GMC_oxred_N	 - 	cl21454
Q#5 - >XP_008593381.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	superfamily	473865	113	296	9.82873e-21	90.8044	cl21454	NADB_Rossmann superfamily	 - 	 - 
Q#5 - >XP_008593381.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	non-specific	235000	23	561	9.55909e-20	92.5871	PRK02106	PRK02106	 - 	cl21454
Q#5 - >XP_008593381.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	non-specific	130444	27	63	0.00520458	39.4278	TIGR01377	soxA_mon	C	cl31099
Q#5 - >XP_008593381.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	superfamily	130444	27	63	0.00520458	39.4278	cl31099	soxA_mon superfamily	C	 - 
Q#6 - >XP_008593395.1 thiamine biosynthesis protein (Thi-4) [Beauveria bassiana ARSEF 2860]	non-specific	430062	178	438	5.19782e-14	71.7437	pfam08543	Phos_pyr_kin	 - 	cl00192
Q#6 - >XP_008593395.1 thiamine biosynthesis protein (Thi-4) [Beauveria bassiana ARSEF 2860]	superfamily	469648	178	438	5.19782e-14	71.7437	cl00192	ribokinase_pfkB_like superfamily	 - 	 - 
Q#6 - >XP_008593395.1 thiamine biosynthesis protein (Thi-4) [Beauveria bassiana ARSEF 2860]	non-specific	215486	163	435	3.33619e-12	68.6415	PLN02898	PLN02898	C	cl33593
Q#6 - >XP_008593395.1 thiamine biosynthesis protein (Thi-4) [Beauveria bassiana ARSEF 2860]	superfamily	215486	163	435	3.33619e-12	68.6415	cl33593	PLN02898 superfamily	C	 - 
Q#7 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	non-specific	441213	67	132	1.13952e-08	51.6898	COG1605	PheA	C	cl43464
Q#7 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	superfamily	441213	67	132	1.13952e-08	51.6898	cl43464	PheA superfamily	C	 - 
Q#7 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	specific	214841	76	137	7.20928e-07	44.8769	smart00830	CM_2	C	cl00693
Q#7 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	superfamily	469881	76	137	7.20928e-07	44.8769	cl00693	CM_2 superfamily	C	 - 
Q#7 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	specific	460345	76	120	7.72831e-07	44.7915	pfam01817	CM_2	C	cl47697
Q#7 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	superfamily	460345	76	120	7.72831e-07	44.7915	cl47697	CM_2 superfamily	C	 - 
Q#7 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	non-specific	130851	72	122	0.00062839	37.0215	TIGR01791	CM_archaeal	C	cl00693
Q#7 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	non-specific	180509	65	122	0.00196211	35.7822	PRK06285	PRK06285	C	cl00693
Q#9 - >XP_008593466.1 cutinase-2 protein [Beauveria bassiana ARSEF 2860]	non-specific	395860	37	212	9.09703e-43	141.72	pfam01083	Cutinase	 - 	cl21494
Q#9 - >XP_008593466.1 cutinase-2 protein [Beauveria bassiana ARSEF 2860]	superfamily	473884	37	212	9.09703e-43	141.72	cl21494	Abhydrolase superfamily	 - 	 - 
