locus_tag	GeneID	transcript_id	protein_id	product
BBA_00001	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00002	19883014	XM_008595099.1	XP_008593321.1	ABC transporter
BBA_00003	19883015	XM_008595100.1	XP_008593322.1	uncharacterized protein
BBA_00004	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00007	19883019	XM_008595104.1	XP_008593326.1	iron only hydrogenase large subunit domain-containing protein
BBA_00011	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00023	19883035	XM_008595120.1	XP_008593342.1	uncharacterized protein
BBA_00024	19883036	XM_008595121.1	XP_008593343.1	uncharacterized protein
BBA_00027	19883039	XM_008595124.1	XP_008593346.1	Mitochondrial glycoprotein
BBA_00030	19883042	XM_008595127.1	XP_008593349.1	AMP-binding enzyme, putative
BBA_00031	19883043	XM_008595128.1	XP_008593350.1	uncharacterized protein
BBA_00032	19883044	XM_008595129.1	XP_008593351.1	uncharacterized protein
BBA_00036	19883048	XM_008595133.1	XP_008593355.1	Ras family protein
BBA_00041	19883053	XM_008595138.1	XP_008593360.1	WD domain-containing protein
BBA_00046	19883058	XM_008595143.1	XP_008593365.1	glucan endo-1,3-beta-glucosidase A1-like protein
BBA_00050	19883062	XM_008595147.1	XP_008593369.1	Cys2-His2 zinc finger transcription factor ACEI
BBA_00052	19883064	XM_008595149.1	XP_008593371.1	polysaccharide export protein (CAP59)
BBA_00059	19883071	XM_008595156.1	XP_008593378.1	FAD binding domain containing protein
BBA_00064	19883076	XM_008595161.1	XP_008593383.1	uncharacterized protein
BBA_00065	19883077	XM_008595162.1	XP_008593384.1	major facilitator superfamily transporter
BBA_00066	19883078	XM_008595163.1	XP_008593385.1	Phosphotransferase enzyme family domain protein
BBA_00068	19883080	XM_008595165.1	XP_008593387.1	vitamin H transporter
BBA_00071	19883083	XM_008595168.1	XP_008593390.1	nitrate assimilation regulatory protein nirA
BBA_00077	19883089	XM_008595174.1	XP_008593396.1	tat pathway signal sequence
BBA_00078	19883090	XM_008595175.1	XP_008593397.1	uncharacterized protein
BBA_00080	19883092	XM_008595177.1	XP_008593399.1	uncharacterized protein
BBA_00088	19883100	XM_008595185.1	XP_008593407.1	C6 finger domain protein
BBA_00089	19883101	XM_008595186.1	XP_008593408.1	uncharacterized protein
BBA_00097	19883109	XM_008595194.1	XP_008593416.1	3-hydroxyacyl-CoA dehyrogenase
BBA_00099	19883111	XM_008595196.1	XP_008593418.1	uncharacterized protein
BBA_00102	19883114	XM_008595199.1	XP_008593421.1	ATP-binding protein
BBA_00112	19883124	XM_008595209.1	XP_008593431.1	uncharacterized protein
BBA_00117	19883129	XM_008595214.1	XP_008593436.1	RNA recognition domain-containing protein
BBA_00123	19883135	XM_008595220.1	XP_008593442.1	geranylgeranyl pyrophosphate synthetase
BBA_00126	19883138	XM_008595223.1	XP_008593445.1	protein kinase, putative
BBA_00127	19883139	XM_008595224.1	XP_008593446.1	uncharacterized protein
BBA_00130	19883142	XM_008595227.1	XP_008593449.1	WD domain-containing protein
BBA_00136	19883148	XM_008595233.1	XP_008593455.1	TH14-3-3 protein
BBA_00140	19883152	XM_008595237.1	XP_008593459.1	eukaryotic translation initiation factor 2 subunit gamma
BBA_00144	19883156	XM_008595241.1	XP_008593463.1	uncharacterized protein
BBA_00145	19883157	XM_008595242.1	XP_008593464.1	prenylated Rab acceptor 1
BBA_00146	19883158	XM_008595243.1	XP_008593465.1	ELMO/CED-12 family protein
BBA_00149	19883161	XM_008595246.1	XP_008593468.1	ATP-NAD kinase
BBA_00152	19883164	XM_008595249.1	XP_008593471.1	uncharacterized protein
BBA_00153	19883165	XM_008595250.1	XP_008593472.1	carbohydrate kinase
BBA_00156	19883168	XM_008595253.1	XP_008593475.1	LSM domain-containing protein
BBA_00159	19883171	XM_008595256.1	XP_008593478.1	uncharacterized protein
BBA_00160	19883172	XM_008595257.1	XP_008593479.1	uncharacterized protein
BBA_00161	19883173	XM_008595258.1	XP_008593480.1	RhoGAP domain-containing protein
BBA_00163	19883175	XM_008595260.1	XP_008593482.1	uncharacterized protein
BBA_00164	19883176	XM_008595261.1	XP_008593483.1	WLM domain-containing protein
BBA_00171	19883183	XM_008595268.1	XP_008593490.1	serine/threonine protein kinase, putative
BBA_00172	19883184	XM_008595269.1	XP_008593491.1	glycoside hydrolase family 38
BBA_00173	19883185	XM_008595270.1	XP_008593492.1	MutS domain V
BBA_00175	19883187	XM_008595272.1	XP_008593494.1	WD repeat domain-containing protein
BBA_00177	19883189	XM_008595274.1	XP_008593496.1	CAP-Gly domain-containing protein
BBA_00181	19883193	XM_008595278.1	XP_008593500.1	BAH/PHD-containing protein
BBA_00188	19883200	XM_008595285.1	XP_008593507.1	T-complex protein 1
BBA_00193	19883205	XM_008595290.1	XP_008593512.1	galactose oxidase precursor
BBA_00195	19883207	XM_008595292.1	XP_008593514.1	mannitol 1-phosphate dehydrogenase
BBA_00198	19883210	XM_008595295.1	XP_008593517.1	cellobiose dehydrogenase
BBA_00199	19883211	XM_008595296.1	XP_008593518.1	uncharacterized protein
BBA_00204	19883216	XM_008595301.1	XP_008593523.1	cyclin domain-containing protein
BBA_00205	19883217	XM_008595302.1	XP_008593524.1	uncharacterized protein
BBA_00206	19883218	XM_008595303.1	XP_008593525.1	uncharacterized protein
BBA_00207	19883219	XM_008595304.1	XP_008593526.1	cation diffusion facilitator family transporter
BBA_00208	19883220	XM_008595305.1	XP_008593527.1	40S ribosomal protein S2
BBA_00211	19883223	XM_008595308.1	XP_008593530.1	integral membrane protein, putative
BBA_00213	19883225	XM_008595310.1	XP_008593532.1	nitrilotriacetate monooxygenase component B
BBA_00218	19883230	XM_008595315.1	XP_008593537.1	regulator of G-protein signaling domain-containing protein
BBA_00221	19883233	XM_008595318.1	XP_008593540.1	Cytochrome P450 CYP51F1
BBA_00222	19883234	XM_008595319.1	XP_008593541.1	uncharacterized protein
BBA_00229	19883241	XM_008595326.1	XP_008593548.1	mitochondrial ribosomal protein subunit L37
BBA_00230	19883242	XM_008595327.1	XP_008593549.1	WASP-interacting protein-like protein vrp1p
BBA_00233	19883245	XM_008595330.1	XP_008593552.1	uncharacterized protein
BBA_00235	19883247	XM_008595332.1	XP_008593554.1	peptidase A4 family protein
BBA_00240	19883252	XM_008595337.1	XP_008593559.1	Spa2-like protein
BBA_00241	19883253	XM_008595338.1	XP_008593560.1	Ssu72-like protein
BBA_00244	19883256	XM_008595341.1	XP_008593563.1	BOUP1-like protein
BBA_00255	19883267	XM_008595352.1	XP_008593574.1	putative aspartyl protease
BBA_00260	19883272	XM_008595357.1	XP_008593579.1	RNA polymerase Rpb1
BBA_00265	19883277	XM_008595362.1	XP_008593584.1	morphogenesis protein
BBA_00274	19883286	XM_008595371.1	XP_008593593.1	DNA excision repair protein
BBA_00291	19883303	XM_008595388.1	XP_008593610.1	COM1 protein
BBA_00292	19883304	XM_008595389.1	XP_008593611.1	WD domain-containing protein
BBA_00293	19883305	XM_008595390.1	XP_008593612.1	PIG-P domain-containing protein
BBA_00297	19883309	XM_008595394.1	XP_008593616.1	class V chitinase, putative
BBA_00299	19883311	XM_008595396.1	XP_008593618.1	uncharacterized protein
BBA_00303	19883315	XM_008595400.1	XP_008593622.1	endoglucanase, putative
BBA_00306	19883318	XM_008595403.1	XP_008593625.1	DEAD/DEAH box helicase
BBA_00307	19883319	XM_008595404.1	XP_008593626.1	Protein of unknown function DUF2401, secretory
BBA_00311	19883323	XM_008595408.1	XP_008593630.1	UTP-glucose-1-phosphate uridylyltransferase
BBA_00322	19883334	XM_008595419.1	XP_008593641.1	metalloprotease-like protein
BBA_00323	19883335	XM_008595420.1	XP_008593642.1	inosine-5-monophosphate dehydrogenase
BBA_00476	19883488	XM_008595573.1	XP_008593795.1	SH3 domain-containing protein
BBA_00483	19883495	XM_008595580.1	XP_008593802.1	cysteine dioxygenase
BBA_00488	19883500	XM_008595585.1	XP_008593807.1	bZIP transcription factor
BBA_00492	19883504	XM_008595589.1	XP_008593811.1	Got1 family protein
BBA_00495	19883507	XM_008595592.1	XP_008593814.1	SNARE protein, putative
BBA_00498	19883510	XM_008595595.1	XP_008593817.1	RTA1 domain protein, putative
BBA_00501	19883513	XM_008595598.1	XP_008593820.1	negative acting factor
BBA_00504	19883516	XM_008595601.1	XP_008593823.1	Serine hydroxymethyltransferase
BBA_00505	19883517	XM_008595602.1	XP_008593824.1	ferric reductase like transmembrane component
BBA_00509	19883521	XM_008595606.1	XP_008593828.1	PAP2 superfamily protein
BBA_00510	19883522	XM_008595607.1	XP_008593829.1	DNA-directed RNA polymerase I subunit
BBA_00512	19883524	XM_008595609.1	XP_008593831.1	trascription factor
BBA_00514	19883526	XM_008595611.1	XP_008593833.1	uncharacterized protein
BBA_00515	19883527	XM_008595612.1	XP_008593834.1	Concanavalin A-like lectin/glucanase
BBA_00519	19883531	XM_008595616.1	XP_008593838.1	RING finger domain protein, putative
BBA_00520	19883532	XM_008595617.1	XP_008593839.1	heterokaryon incompatibility protein Het-C
BBA_00521	19883533	XM_008595618.1	XP_008593840.1	nonhistone chromosomal protein
BBA_00522	19883534	XM_008595619.1	XP_008593841.1	Urease, alpha subunit
BBA_00529	19883541	XM_008595626.1	XP_008593848.1	amino acid transporter
BBA_00530	19883542	XM_008595627.1	XP_008593849.1	Hydrophobin 2
BBA_00531	19883543	XM_008595628.1	XP_008593850.1	uncharacterized protein
BBA_00534	19883546	XM_008595631.1	XP_008593853.1	uncharacterized protein
BBA_00536	19883548	XM_008595633.1	XP_008593855.1	Alcohol dehydrogenase superfamily, zinc-containing
BBA_00543	19883555	XM_008595640.1	XP_008593862.1	pyruvate kinase
BBA_00544	19883556	XM_008595641.1	XP_008593863.1	Major Facilitator Superfamily protein
BBA_00547	19883559	XM_008595644.1	XP_008593866.1	purine nucleoside permease
BBA_00548	19883560	XM_008595645.1	XP_008593867.1	calcium-translocating P-type ATPase
BBA_00551	19883563	XM_008595648.1	XP_008593870.1	major facilitator superfamily transporter
BBA_00552	19883564	XM_008595649.1	XP_008593871.1	Bax-like protein
BBA_00555	19883567	XM_008595652.1	XP_008593874.1	F-box domain-containing protein
BBA_00558	19883570	XM_008595655.1	XP_008593877.1	uncharacterized protein
BBA_00561	19883573	XM_008595658.1	XP_008593880.1	mRNA capping enzyme
BBA_00567	19883579	XM_008595664.1	XP_008593886.1	uncharacterized protein
BBA_00568	19883580	XM_008595665.1	XP_008593887.1	uncharacterized protein
BBA_00569	19883581	XM_008595666.1	XP_008593888.1	uncharacterized protein
BBA_00570	19883582	XM_008595667.1	XP_008593889.1	retrograde regulation protein
BBA_00571	19883583	XM_008595668.1	XP_008593890.1	uncharacterized protein
BBA_00574	19883586	XM_008595671.1	XP_008593893.1	choriogenin Hminor
BBA_00581	19883593	XM_008595678.1	XP_008593900.1	uncharacterized protein
BBA_00587	19883599	XM_008595684.1	XP_008593906.1	intracellular protein transport protein
BBA_00588	19883600	XM_008595685.1	XP_008593907.1	RNA polymerase II Mediator complex subunit Sin4
BBA_00589	19883601	XM_008595686.1	XP_008593908.1	pyruvate dehydrogenase
BBA_00591	19883603	XM_008595688.1	XP_008593910.1	mucin-like protein
BBA_00593	19883605	XM_008595690.1	XP_008593912.1	uncharacterized protein
BBA_00594	19883606	XM_008595691.1	XP_008593913.1	amino acid permease
