locus_tag	seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	distanceToTSS	GeneID	transcript_id	protein_id	product
BBA_00001	NW_007930836.1	4400	4408	9	+	11.2857	2.47e-05	0.279	Promoter (1-2kb)	1	3335	3683	349	1	1065	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00001	NW_007930836.1	879	887	9	+	12.1837	2.23e-06	0.257	Promoter (2-3kb)	1	3335	3683	349	1	-2448	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00004	NW_007930836.1	10751	10759	9	-	11.4592	1.71e-05	0.279	Promoter (1-2kb)	1	12136	13042	907	1	-1385	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00004	NW_007930836.1	10610	10618	9	+	11.2857	2.47e-05	0.279	Promoter (1-2kb)	1	12136	13042	907	1	-1518	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00005	NW_007930836.1	13860	13868	9	+	10.4388	7.5e-05	0.342	Promoter (1-2kb)	1	15330	20029	4700	1	-1462	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00005	NW_007930836.1	14554	14562	9	+	10.5204	6.68e-05	0.342	Promoter (<=1kb)	1	15330	20029	4700	1	-768	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00005	NW_007930836.1	16817	16825	9	+	10.6122	6.41e-05	0.342	Promoter (1-2kb)	1	15330	20029	4700	1	1487	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00007	NW_007930836.1	23440	23448	9	+	10.6327	6.13e-05	0.342	Promoter (<=1kb)	1	23340	25184	1845	1	100	19883019	XM_008595104.1	XP_008593326.1	iron only hydrogenase large subunit domain-containing protein
BBA_00007	NW_007930836.1	24558	24566	9	-	10.1939	8.84e-05	0.342	Promoter (1-2kb)	1	23340	25184	1845	1	1226	19883019	XM_008595104.1	XP_008593326.1	iron only hydrogenase large subunit domain-containing protein
BBA_00007	NW_007930836.1	22573	22581	9	+	10.7551	4.34e-05	0.318	Promoter (<=1kb)	1	23340	25184	1845	1	-759	19883019	XM_008595104.1	XP_008593326.1	iron only hydrogenase large subunit domain-containing protein
