locus_tag	GeneID	transcript_id	protein_id	product
BBA_00001	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00004	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00007	19883019	XM_008595104.1	XP_008593326.1	iron only hydrogenase large subunit domain-containing protein
BBA_00011	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00012	19883024	XM_008595109.1	XP_008593331.1	ATP synthase H chain
BBA_00014	19883026	XM_008595111.1	XP_008593333.1	serine/threonine-protein kinase psk1
BBA_00015	19883027	XM_008595112.1	XP_008593334.1	Transcription regulator cyclin
BBA_00019	19883031	XM_008595116.1	XP_008593338.1	tat pathway signal sequence
BBA_00020	19883032	XM_008595117.1	XP_008593339.1	glycerate dehydrogenase
BBA_00022	19883034	XM_008595119.1	XP_008593341.1	inosine-uridine preferring nucleoside hydrolase
BBA_00029	19883041	XM_008595126.1	XP_008593348.1	pumilio-family RNA binding repeat domain-containing protein
BBA_00030	19883042	XM_008595127.1	XP_008593349.1	AMP-binding enzyme, putative
BBA_00031	19883043	XM_008595128.1	XP_008593350.1	uncharacterized protein
BBA_00033	19883045	XM_008595130.1	XP_008593352.1	uncharacterized protein
BBA_00034	19883046	XM_008595131.1	XP_008593353.1	group II pyridoxal-5-phosphate decarboxylase
BBA_00038	19883050	XM_008595135.1	XP_008593357.1	AMME syndrome protein
BBA_00041	19883053	XM_008595138.1	XP_008593360.1	WD domain-containing protein
BBA_00042	19883054	XM_008595139.1	XP_008593361.1	homoserine acetyltransferase family protein
BBA_00048	19883060	XM_008595145.1	XP_008593367.1	uncharacterized protein
BBA_00049	19883061	XM_008595146.1	XP_008593368.1	transporter-like protein
BBA_00050	19883062	XM_008595147.1	XP_008593369.1	Cys2-His2 zinc finger transcription factor ACEI
BBA_00051	19883063	XM_008595148.1	XP_008593370.1	uncharacterized protein
BBA_00052	19883064	XM_008595149.1	XP_008593371.1	polysaccharide export protein (CAP59)
BBA_00053	19883065	XM_008595150.1	XP_008593372.1	glycosyltransferase family 39
BBA_00056	19883068	XM_008595153.1	XP_008593375.1	uncharacterized protein
BBA_00058	19883070	XM_008595155.1	XP_008593377.1	diphthamide biosynthesis protein 2
BBA_00060	19883072	XM_008595157.1	XP_008593379.1	MutS domain V
