"seqnames","start","end","width","strand","score","p_value","q_value","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","distanceToTSS","GeneID","transcript_id","protein_id"
"NW_007930837.1",1793287,1793299,13,"+",13.6162,2.29e-08,1,"Promoter (<=1kb)",2,1792096,1792993,898,2,"BBA_01190",-294,NA,NA,NA
"NW_007930839.1",497726,497738,13,"-",13.3535,5.08e-08,1,"Promoter (<=1kb)",4,496243,497229,987,2,"BBA_01945",-509,NA,NA,NA
"NW_007930858.1",447462,447474,13,"-",13.1313,1.29e-07,1,"Promoter (<=1kb)",23,439516,447714,8199,2,"BBA_07251",252,NA,NA,NA
"NW_007930855.1",282339,282351,13,"-",13.0909,1.75e-07,1,"Promoter (<=1kb)",20,278334,283312,4979,2,"BBA_06725",973,NA,NA,NA
"NW_007930841.1",1052057,1052069,13,"-",13.0909,1.75e-07,1,"Promoter (<=1kb)",6,1052166,1052837,672,1,"BBA_03091",-109,NA,NA,NA
"NW_007930836.1",740098,740110,13,"-",13.0505,2.43e-07,1,"Promoter (<=1kb)",1,738407,739813,1407,2,"BBA_00251",-297,NA,NA,NA
"NW_007930917.1",42453,42465,13,"-",13.0404,3.18e-07,1,"Promoter (<=1kb)",82,33396,41784,8389,2,"BBA_10038",-681,"19893050","XM_008605135.1","XP_008603357.1"
"NW_007930852.1",140349,140361,13,"+",12.8485,4.08e-07,1,"Promoter (3-4kb)",17,143735,149886,6152,1,"BBA_06065",-3374,NA,NA,NA
"NW_007930946.1",15715,15727,13,"-",12.8283,5.2e-07,1,"Promoter (<=1kb)",111,9947,14874,4928,2,"BBA_10267",-853,NA,NA,NA
"NW_007930847.1",213088,213100,13,"-",12.8283,5.2e-07,1,"Distal Intergenic",12,205731,207908,2178,2,"BBA_04959",-5192,NA,NA,NA
"NW_007930836.1",455132,455144,13,"+",12.8283,5.2e-07,1,"Promoter (1-2kb)",1,451742,454044,2303,2,"BBA_00154",-1088,NA,NA,NA
"NW_007930863.1",329798,329810,13,"+",12.7778,6.95e-07,1,"Promoter (<=1kb)",28,330444,332639,2196,1,"BBA_07877",-634,NA,NA,NA
"NW_007930837.1",1891583,1891595,13,"-",12.7778,6.95e-07,1,"Promoter (2-3kb)",2,1889246,1891252,2007,1,"BBA_01217",2349,NA,NA,NA
"NW_007930837.1",1894159,1894171,13,"-",12.7778,6.95e-07,1,"Promoter (2-3kb)",2,1892246,1896201,3956,2,"BBA_01218",2042,NA,NA,NA
"NW_007930838.1",267275,267287,13,"+",12.7475,7.82e-07,1,"Promoter (<=1kb)",3,267831,270280,2450,1,"BBA_01321",-544,NA,NA,NA
"NW_007930842.1",371845,371857,13,"-",12.7374,9.65e-07,1,"Promoter (<=1kb)",7,372027,372746,720,1,"BBA_03339",-182,NA,NA,NA
"NW_007930851.1",491940,491952,13,"+",12.7374,9.65e-07,1,"Promoter (1-2kb)",16,493125,493777,653,1,"BBA_05968",-1173,NA,NA,NA
"NW_007930841.1",1364827,1364839,13,"-",12.7374,9.65e-07,1,"Promoter (1-2kb)",6,1363226,1363768,543,2,"BBA_03184",-1071,NA,NA,NA
"NW_007930876.1",87812,87824,13,"+",12.6263,9.88e-07,1,"Promoter (1-2kb)",41,86340,87542,1203,1,"BBA_08862",1472,NA,NA,NA
"NW_007930849.1",431308,431320,13,"-",12.6061,1.01e-06,1,"Promoter (1-2kb)",14,432790,434525,1736,1,"BBA_05486",-1482,NA,NA,NA
"NW_007930842.1",96171,96183,13,"+",12.5859,1.03e-06,1,"Promoter (<=1kb)",7,90506,95394,4889,2,"BBA_03237",-777,NA,NA,NA
"NW_007930871.1",51698,51710,13,"-",12.5657,1.07e-06,1,"Promoter (1-2kb)",36,51916,53200,1285,2,"BBA_08544",1502,NA,NA,NA
"NW_007930871.1",102402,102414,13,"+",12.5556,1.14e-06,1,"Promoter (<=1kb)",36,102413,102751,339,2,"BBA_08559",337,NA,NA,NA
"NW_007930839.1",245097,245109,13,"-",12.5556,1.14e-06,1,"Promoter (1-2kb)",4,246733,248879,2147,1,"BBA_01867",-1636,NA,NA,NA
"NW_007930841.1",978443,978455,13,"-",12.5556,1.14e-06,1,"Promoter (<=1kb)",6,974528,978151,3624,2,"BBA_03064",-304,NA,NA,NA
"NW_007930869.1",212308,212320,13,"+",12.5455,1.28e-06,1,"Promoter (2-3kb)",34,210080,212008,1929,1,"BBA_08413",2228,NA,NA,NA
"NW_007930841.1",413434,413446,13,"-",12.5455,1.28e-06,1,"Promoter (2-3kb)",6,411340,412468,1129,1,"BBA_02872",2106,NA,NA,NA
"NW_007930842.1",980331,980343,13,"-",12.5455,1.28e-06,1,"Promoter (1-2kb)",7,979942,981378,1437,2,"BBA_03545",1047,NA,NA,NA
"NW_007930857.1",443780,443792,13,"-",12.5253,1.46e-06,1,"Promoter (3-4kb)",22,438192,440271,2080,2,"BBA_07078",-3521,NA,NA,NA
"NW_007930839.1",644079,644091,13,"+",12.5253,1.46e-06,1,"Promoter (<=1kb)",4,642356,643576,1221,2,"BBA_01993",-503,NA,NA,NA
"NW_007930851.1",377702,377714,13,"-",12.5152,1.53e-06,1,"Promoter (<=1kb)",16,376332,377423,1092,2,"BBA_05934",-291,NA,NA,NA
"NW_007930846.1",394225,394237,13,"+",12.5152,1.53e-06,1,"Promoter (1-2kb)",11,394453,396219,1767,2,"BBA_04764",1982,NA,NA,NA
"NW_007930854.1",446488,446500,13,"-",12.5152,1.53e-06,1,"Promoter (<=1kb)",19,447243,447600,358,1,"BBA_06564",-755,NA,NA,NA
"NW_007930848.1",466995,467007,13,"-",12.5152,1.53e-06,1,"Promoter (1-2kb)",13,463406,465038,1633,2,"BBA_05260",-1969,NA,NA,NA
"NW_007930844.1",999271,999283,13,"+",12.5152,1.53e-06,1,"Promoter (2-3kb)",9,1001767,1002496,730,1,"BBA_04310",-2484,NA,NA,NA
"NW_007930843.1",4205,4217,13,"-",12.5051,1.57e-06,1,"Promoter (<=1kb)",8,4559,5308,750,1,"BBA_03630",-354,NA,NA,NA
