seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS
NW_007930934.1	946	955	10	+	12.396	1.64e-06	1	Promoter (<=1kb)	99	292	1874	1583	1	BBA_10204	654
NW_007930918.1	8396	8405	10	-	12.396	1.64e-06	1	Promoter (2-3kb)	83	9082	10649	1568	2	BBA_10041	2253
NW_007930838.1	15167	15176	10	+	12.396	1.64e-06	1	Promoter (2-3kb)	3	11755	13021	1267	2	BBA_01244	-2146
NW_007930848.1	17887	17896	10	-	12.396	1.64e-06	1	Promoter (<=1kb)	13	18441	25028	6588	1	BBA_05125	-554
NW_007930840.1	27120	27129	10	+	12.396	1.64e-06	1	Promoter (1-2kb)	5	28820	30462	1643	1	BBA_02314	-1691
NW_007930836.1	28674	28683	10	-	12.396	1.64e-06	1	Promoter (1-2kb)	1	30265	32130	1866	1	BBA_00010	-1591
NW_007930885.1	32742	32751	10	-	12.396	1.64e-06	1	Promoter (<=1kb)	50	31358	31847	490	2	BBA_09294	-904
NW_007930867.1	35455	35464	10	+	12.396	1.64e-06	1	Promoter (1-2kb)	32	36584	38809	2226	1	BBA_08181	-1120
NW_007930854.1	46606	46615	10	+	12.396	1.64e-06	1	Promoter (<=1kb)	19	44497	46173	1677	2	BBA_06426	-433
NW_007930900.1	50950	50959	10	+	12.396	1.64e-06	1	Promoter (1-2kb)	65	49803	51832	2030	1	BBA_09746	1147
NW_007930840.1	51944	51953	10	+	12.396	1.64e-06	1	Promoter (<=1kb)	5	49540	52541	3002	2	BBA_02321	588
NW_007930855.1	54973	54982	10	-	12.396	1.64e-06	1	Promoter (<=1kb)	20	53302	54502	1201	2	BBA_06653	-480
NW_007930871.1	63288	63297	10	+	12.396	1.64e-06	1	Promoter (<=1kb)	36	62941	63248	308	1	BBA_08548	347
NW_007930887.1	74544	74553	10	-	12.396	1.64e-06	1	Promoter (4-5kb)	52	76374	78753	2380	2	BBA_09388	4209
NW_007930862.1	116427	116436	10	+	12.396	1.64e-06	1	Promoter (1-2kb)	27	115421	119148	3728	1	BBA_07711	1006
NW_007930840.1	116713	116722	10	-	12.396	1.64e-06	1	Promoter (<=1kb)	5	117270	118857	1588	1	BBA_02340	-557
NW_007930872.1	137867	137876	10	-	12.396	1.64e-06	1	Distal Intergenic	37	132370	135540	3171	1	BBA_08647	5506
NW_007930840.1	148826	148835	10	+	12.396	1.64e-06	1	Promoter (1-2kb)	5	145893	147320	1428	2	BBA_02351	-1506
NW_007930841.1	223749	223758	10	+	12.396	1.64e-06	1	Promoter (<=1kb)	6	223834	224289	456	2	BBA_02819	531
NW_007930836.1	225768	225777	10	-	12.396	1.64e-06	1	Promoter (<=1kb)	1	225168	226320	1153	1	BBA_00077	609
