locus_tag	seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	distanceToTSS	GeneID	transcript_id	protein_id	product
BBA_00001	NW_007930836.1	2363	2372	10	+	13.3163	2.72e-05	0.514	Promoter (<=1kb)	1	3335	3683	349	1	-963	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00004	NW_007930836.1	13453	13462	10	+	11.8776	4.7e-05	0.554	Promoter (1-2kb)	1	12136	13042	907	1	1317	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00004	NW_007930836.1	13453	13462	10	-	14.9184	6.1e-06	0.514	Promoter (1-2kb)	1	12136	13042	907	1	1326	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00005	NW_007930836.1	15057	15066	10	+	11.3163	7.4e-05	0.554	Promoter (<=1kb)	1	15330	20029	4700	1	-264	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00005	NW_007930836.1	17923	17932	10	+	11.4694	6.56e-05	0.554	Promoter (2-3kb)	1	15330	20029	4700	1	2593	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00006	NW_007930836.1	20851	20860	10	-	11.2041	8.13e-05	0.554	Promoter (<=1kb)	1	21184	22451	1268	1	-333	19883018	XM_008595103.1	XP_008593325.1	uncharacterized protein
BBA_00006	NW_007930836.1	19626	19635	10	-	11.5918	6.15e-05	0.554	Promoter (1-2kb)	1	21184	22451	1268	1	-1558	19883018	XM_008595103.1	XP_008593325.1	uncharacterized protein
BBA_00006	NW_007930836.1	19626	19635	10	+	11.6735	5.55e-05	0.554	Promoter (1-2kb)	1	21184	22451	1268	1	-1549	19883018	XM_008595103.1	XP_008593325.1	uncharacterized protein
BBA_00007	NW_007930836.1	23749	23758	10	-	11.4592	6.67e-05	0.554	Promoter (<=1kb)	1	23340	25184	1845	1	418	19883019	XM_008595104.1	XP_008593326.1	iron only hydrogenase large subunit domain-containing protein
BBA_00008	NW_007930836.1	25573	25582	10	-	11.1327	8.66e-05	0.554	Promoter (<=1kb)	1	25244	26096	853	2	523	19883020	XM_008595105.1	XP_008593327.1	uncharacterized protein
BBA_00011	NW_007930836.1	33136	33145	10	+	12.051	4.42e-05	0.554	Promoter (<=1kb)	1	33013	35806	2794	1	123	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00011	NW_007930836.1	34463	34472	10	+	13.5612	2.54e-05	0.514	Promoter (1-2kb)	1	33013	35806	2794	1	1450	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00011	NW_007930836.1	32824	32833	10	-	11.5	6.31e-05	0.554	Promoter (<=1kb)	1	33013	35806	2794	1	-189	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00012	NW_007930836.1	35250	35259	10	+	14.5204	1.24e-05	0.514	Promoter (2-3kb)	1	37116	37424	309	2	2165	19883024	XM_008595109.1	XP_008593331.1	ATP synthase H chain
BBA_00012	NW_007930836.1	38072	38081	10	+	11.2347	7.72e-05	0.554	Promoter (<=1kb)	1	37116	37424	309	2	-648	19883024	XM_008595109.1	XP_008593331.1	ATP synthase H chain
BBA_00012	NW_007930836.1	35250	35259	10	-	11.1327	8.66e-05	0.554	Promoter (2-3kb)	1	37116	37424	309	2	2174	19883024	XM_008595109.1	XP_008593331.1	ATP synthase H chain
BBA_00013	NW_007930836.1	39135	39144	10	+	11.1327	8.66e-05	0.554	Promoter (<=1kb)	1	38580	39928	1349	2	784	19883025	XM_008595110.1	XP_008593332.1	cellobiose dehydrogenase, putative
BBA_00013	NW_007930836.1	39135	39144	10	-	11.1327	8.66e-05	0.554	Promoter (<=1kb)	1	38580	39928	1349	2	793	19883025	XM_008595110.1	XP_008593332.1	cellobiose dehydrogenase, putative
BBA_00014	NW_007930836.1	45335	45344	10	+	10.7857	9.83e-05	0.554	Promoter (<=1kb)	1	42774	44348	1575	2	-987	19883026	XM_008595111.1	XP_008593333.1	serine/threonine-protein kinase psk1
BBA_00015	NW_007930836.1	46953	46962	10	-	10.8571	9.72e-05	0.554	Promoter (<=1kb)	1	45678	47093	1416	2	140	19883027	XM_008595112.1	XP_008593334.1	Transcription regulator cyclin
BBA_00015	NW_007930836.1	45856	45865	10	+	10.8571	9.72e-05	0.554	Promoter (1-2kb)	1	45678	47093	1416	2	1228	19883027	XM_008595112.1	XP_008593334.1	Transcription regulator cyclin
BBA_00017	NW_007930836.1	51632	51641	10	+	11.2755	7.57e-05	0.554	Promoter (<=1kb)	1	50976	55391	4416	1	656	19883029	XM_008595114.1	XP_008593336.1	ABC transporter
BBA_00017	NW_007930836.1	52349	52358	10	-	14.1633	1.76e-05	0.514	Promoter (1-2kb)	1	50976	55391	4416	1	1382	19883029	XM_008595114.1	XP_008593336.1	ABC transporter
BBA_00017	NW_007930836.1	51632	51641	10	-	11.2755	7.57e-05	0.554	Promoter (<=1kb)	1	50976	55391	4416	1	665	19883029	XM_008595114.1	XP_008593336.1	ABC transporter
