seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS
NW_007930915.1	47	53	7	-	13.4268	7.93e-05	1	Promoter	80	959	1355	397	1	BBA_09999	-912
NW_007930979.1	66	72	7	+	13.4268	7.93e-05	1	Distal Intergenic	139	2130	3644	1515	1	BBA_10343	-2058
NW_007930939.1	227	233	7	-	13.4268	7.93e-05	1	Promoter	104	77	356	280	1	BBA_10231	156
NW_007930968.1	297	303	7	-	13.4268	7.93e-05	1	Distal Intergenic	131	4084	5021	938	2	BBA_10328	4724
NW_007930915.1	345	351	7	-	13.4268	7.93e-05	1	Promoter	80	959	1355	397	1	BBA_09999	-614
NW_007930847.1	505	511	7	+	13.4268	7.93e-05	1	Promoter	12	779	2408	1630	1	BBA_04901	-268
NW_007930875.1	525	531	7	-	13.4268	7.93e-05	1	Exon (XM_008603862.1/BBA_08765, exon 5 of 5)	40	155	1701	1547	2	BBA_08765	1176
NW_007930987.1	600	606	7	-	13.4268	7.93e-05	1	Promoter	146	1305	3035	1731	1	BBA_10354	-705
NW_007930879.1	672	678	7	-	13.4268	7.93e-05	1	Promoter	44	283	1218	936	1	BBA_09024	395
NW_007930859.1	738	744	7	-	13.4268	7.93e-05	1	Promoter	24	741	1523	783	2	BBA_07274	785
NW_007930930.1	1199	1205	7	-	13.4268	7.93e-05	1	Distal Intergenic	95	7235	8371	1137	2	BBA_10166	7172
NW_007930887.1	1228	1234	7	+	13.4268	7.93e-05	1	Promoter	52	1611	5174	3564	1	BBA_09367	-377
NW_007930858.1	1391	1397	7	+	13.4268	7.93e-05	1	Exon (XM_008602200.1/BBA_07103, exon 2 of 5)	23	238	4924	4687	2	BBA_07103	3527
NW_007930921.1	1396	1402	7	-	13.4268	7.93e-05	1	Promoter	86	1214	2863	1650	1	BBA_10084	188
NW_007930878.1	1488	1494	7	+	13.4268	7.93e-05	1	Promoter	43	580	1088	509	2	BBA_08953	-400
