seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS
NW_007930966.1	151	158	8	+	12.9694	9.9e-06	1	Promoter (<=1kb)	130	899	2183	1285	1	BBA_10324	-741
NW_007930895.1	319	326	8	+	12.9694	9.9e-06	1	Promoter (2-3kb)	60	2507	4129	1623	1	BBA_09609	-2181
NW_007930982.1	2195	2202	8	+	12.9694	9.9e-06	1	Promoter (1-2kb)	142	877	3095	2219	1	BBA_10347	1318
NW_007930897.1	2456	2463	8	-	12.9694	9.9e-06	1	Promoter (<=1kb)	62	2746	2974	229	2	BBA_09663	518
NW_007930923.1	2566	2573	8	-	12.9694	9.9e-06	1	Promoter (<=1kb)	88	2725	3601	877	1	BBA_10100	-159
NW_007930904.1	3135	3142	8	-	12.9694	9.9e-06	1	Promoter (<=1kb)	69	3423	4355	933	1	BBA_09808	-288
NW_007930931.1	3138	3145	8	-	12.9694	9.9e-06	1	Promoter (<=1kb)	96	2857	3811	955	1	BBA_10172	288
NW_007930904.1	3963	3970	8	+	12.9694	9.9e-06	1	Promoter (<=1kb)	69	3423	4355	933	1	BBA_09808	540
NW_007930891.1	4317	4324	8	-	12.9694	9.9e-06	1	Promoter (1-2kb)	56	2679	3667	989	1	BBA_09498	1645
NW_007930936.1	4710	4717	8	+	12.9694	9.9e-06	1	Promoter (<=1kb)	101	4431	5793	1363	1	BBA_10217	279
NW_007930904.1	5926	5933	8	-	12.9694	9.9e-06	1	Promoter (<=1kb)	69	5098	5657	560	2	BBA_09809	-276
NW_007930888.1	6789	6796	8	+	12.9694	9.9e-06	1	Promoter (1-2kb)	53	4834	5731	898	2	BBA_09397	-1058
NW_007930883.1	8424	8431	8	-	12.9694	9.9e-06	1	Promoter (1-2kb)	48	7210	9590	2381	2	BBA_09219	1166
NW_007930846.1	9026	9033	8	+	12.9694	9.9e-06	1	Promoter (1-2kb)	11	7761	9409	1649	1	BBA_04648	1265
NW_007930902.1	11180	11187	8	-	12.9694	9.9e-06	1	Promoter (<=1kb)	67	9428	10453	1026	2	BBA_09779	-734
NW_007930912.1	11375	11382	8	-	12.9694	9.9e-06	1	Promoter (<=1kb)	77	8997	11610	2614	2	BBA_09954	235
NW_007930929.1	11688	11695	8	-	12.9694	9.9e-06	1	Promoter (<=1kb)	94	10750	11799	1050	1	BBA_10157	945
NW_007930891.1	12110	12117	8	-	12.9694	9.9e-06	1	Promoter (<=1kb)	56	8275	11486	3212	2	BBA_09500	-631
NW_007930872.1	17620	17627	8	+	12.9694	9.9e-06	1	Promoter (1-2kb)	37	19158	22616	3459	1	BBA_08612	-1531
NW_007930922.1	19903	19910	8	-	12.9694	9.9e-06	1	Promoter (<=1kb)	87	18308	20624	2317	2	BBA_10096	721
NW_007930839.1	20604	20611	8	+	12.9694	9.9e-06	1	Promoter (1-2kb)	4	21889	22449	561	1	BBA_01785	-1278
NW_007930907.1	21249	21256	8	-	12.9694	9.9e-06	1	Promoter (<=1kb)	72	21800	22126	327	2	BBA_09872	877
NW_007930847.1	21704	21711	8	+	12.9694	9.9e-06	1	Promoter (<=1kb)	12	21808	23247	1440	1	BBA_04909	-97
NW_007930934.1	22122	22129	8	+	12.9694	9.9e-06	1	Promoter (<=1kb)	99	21972	22672	701	1	BBA_10210	150
NW_007930896.1	22130	22137	8	+	12.9694	9.9e-06	1	Promoter (1-2kb)	61	20995	22031	1037	1	BBA_09640	1135
NW_007930884.1	22249	22256	8	+	12.9694	9.9e-06	1	Promoter (<=1kb)	49	22490	25872	3383	1	BBA_09263	-234
NW_007930869.1	22272	22279	8	-	12.9694	9.9e-06	1	Promoter (3-4kb)	34	18452	22338	3887	1	BBA_08339	3827
NW_007930927.1	25389	25396	8	-	12.9694	9.9e-06	1	Promoter (<=1kb)	92	25947	27534	1588	1	BBA_10141	-558
NW_007930927.1	26307	26314	8	+	12.9694	9.9e-06	1	Promoter (<=1kb)	92	25947	27534	1588	1	BBA_10141	360
NW_007930866.1	28260	28267	8	-	12.9694	9.9e-06	1	Promoter (<=1kb)	31	26792	29236	2445	2	BBA_08093	976
NW_007930903.1	28887	28894	8	+	12.9694	9.9e-06	1	Promoter (<=1kb)	68	27613	28213	601	2	BBA_09791	-674
NW_007930897.1	30692	30699	8	+	12.9694	9.9e-06	1	Promoter (<=1kb)	62	30457	31438	982	2	BBA_09673	739
NW_007930905.1	30763	30770	8	+	12.9694	9.9e-06	1	Promoter (<=1kb)	70	30245	31989	1745	1	BBA_09835	518
NW_007930926.1	31306	31313	8	-	12.9694	9.9e-06	1	Promoter (<=1kb)	91	28935	30380	1446	2	BBA_10132	-933
NW_007930854.1	32088	32095	8	-	12.9694	9.9e-06	1	Promoter (1-2kb)	19	33433	36852	3420	1	BBA_06423	-1345
NW_007930917.1	33138	33145	8	+	12.9694	9.9e-06	1	Promoter (<=1kb)	82	27879	32619	4741	2	BBA_10037	-519
NW_007930897.1	34090	34097	8	-	12.9694	9.9e-06	1	Promoter (1-2kb)	62	35610	40049	4440	1	BBA_09675	-1520
NW_007930872.1	35401	35408	8	+	12.9694	9.9e-06	1	Promoter (<=1kb)	37	34667	36165	1499	1	BBA_08617	734
NW_007930905.1	35735	35742	8	+	12.9694	9.9e-06	1	Promoter (<=1kb)	70	35105	36667	1563	1	BBA_09836	630
