locus_tag	GeneID	transcript_id	protein_id	product
BBA_00002	19883014	XM_008595099.1	XP_008593321.1	ABC transporter
BBA_00003	19883015	XM_008595100.1	XP_008593322.1	uncharacterized protein
BBA_00004	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00005	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00012	19883024	XM_008595109.1	XP_008593331.1	ATP synthase H chain
BBA_00018	19883030	XM_008595115.1	XP_008593337.1	2OG-Fe(II) oxygenase family Oxidoreductase
BBA_00025	19883037	XM_008595122.1	XP_008593344.1	uncharacterized protein
BBA_00028	19883040	XM_008595125.1	XP_008593347.1	oxysterol-binding family protein
BBA_00029	19883041	XM_008595126.1	XP_008593348.1	pumilio-family RNA binding repeat domain-containing protein
BBA_00032	19883044	XM_008595129.1	XP_008593351.1	uncharacterized protein
BBA_00033	19883045	XM_008595130.1	XP_008593352.1	uncharacterized protein
BBA_00036	19883048	XM_008595133.1	XP_008593355.1	Ras family protein
BBA_00040	19883052	XM_008595137.1	XP_008593359.1	uncharacterized protein
BBA_00047	19883059	XM_008595144.1	XP_008593366.1	Cel5b-like protein
BBA_00048	19883060	XM_008595145.1	XP_008593367.1	uncharacterized protein
BBA_00049	19883061	XM_008595146.1	XP_008593368.1	transporter-like protein
BBA_00052	19883064	XM_008595149.1	XP_008593371.1	polysaccharide export protein (CAP59)
BBA_00060	19883072	XM_008595157.1	XP_008593379.1	MutS domain V
BBA_00061	19883073	XM_008595158.1	XP_008593380.1	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain, putative
BBA_00062	19883074	XM_008595159.1	XP_008593381.1	cellobiose dehydrogenase
BBA_00066	19883078	XM_008595163.1	XP_008593385.1	Phosphotransferase enzyme family domain protein
BBA_00068	19883080	XM_008595165.1	XP_008593387.1	vitamin H transporter
BBA_00069	19883081	XM_008595166.1	XP_008593388.1	metalloprotease MEP1
BBA_00071	19883083	XM_008595168.1	XP_008593390.1	nitrate assimilation regulatory protein nirA
BBA_00078	19883090	XM_008595175.1	XP_008593397.1	uncharacterized protein
BBA_00083	19883095	XM_008595180.1	XP_008593402.1	uncharacterized protein
BBA_00089	19883101	XM_008595186.1	XP_008593408.1	uncharacterized protein
BBA_00091	19883103	XM_008595188.1	XP_008593410.1	15-hydroxyprostaglandin dehydrogenase (NAD(+))
BBA_00093	19883105	XM_008595190.1	XP_008593412.1	methyltransferase domain-containing protein
BBA_00094	19883106	XM_008595191.1	XP_008593413.1	major facilitator superfamily transporter
BBA_00095	19883107	XM_008595192.1	XP_008593414.1	oxidoreductase molybdopterin binding domain-containing protein
BBA_00097	19883109	XM_008595194.1	XP_008593416.1	3-hydroxyacyl-CoA dehyrogenase
BBA_00101	19883113	XM_008595198.1	XP_008593420.1	carbohydrate esterase family 4
BBA_00103	19883115	XM_008595200.1	XP_008593422.1	uncharacterized protein
BBA_00108	19883120	XM_008595205.1	XP_008593427.1	uncharacterized protein
BBA_00109	19883121	XM_008595206.1	XP_008593428.1	RfeD protein
BBA_00114	19883126	XM_008595211.1	XP_008593433.1	uncharacterized protein
BBA_00117	19883129	XM_008595214.1	XP_008593436.1	RNA recognition domain-containing protein
BBA_00123	19883135	XM_008595220.1	XP_008593442.1	geranylgeranyl pyrophosphate synthetase
BBA_00127	19883139	XM_008595224.1	XP_008593446.1	uncharacterized protein
BBA_00141	19883153	XM_008595238.1	XP_008593460.1	uncharacterized protein
BBA_00145	19883157	XM_008595242.1	XP_008593464.1	prenylated Rab acceptor 1
BBA_00146	19883158	XM_008595243.1	XP_008593465.1	ELMO/CED-12 family protein
BBA_00149	19883161	XM_008595246.1	XP_008593468.1	ATP-NAD kinase
BBA_00151	19883163	XM_008595248.1	XP_008593470.1	phosphotyrosyl phosphate activator protein
BBA_00157	19883169	XM_008595254.1	XP_008593476.1	DnaJ domain-containing protein
BBA_00158	19883170	XM_008595255.1	XP_008593477.1	thioredoxin-like protein
BBA_00160	19883172	XM_008595257.1	XP_008593479.1	uncharacterized protein
BBA_00161	19883173	XM_008595258.1	XP_008593480.1	RhoGAP domain-containing protein
BBA_00162	19883174	XM_008595259.1	XP_008593481.1	C6 transcription factor
BBA_00165	19883177	XM_008595262.1	XP_008593484.1	sulfate permease
BBA_00168	19883180	XM_008595265.1	XP_008593487.1	fms interacting protein
BBA_00169	19883181	XM_008595266.1	XP_008593488.1	FKBP-type peptidyl-prolyl cis-trans isomerase
BBA_00170	19883182	XM_008595267.1	XP_008593489.1	serine/threonine-protein kinase cbk1
BBA_00171	19883183	XM_008595268.1	XP_008593490.1	serine/threonine protein kinase, putative
BBA_00174	19883186	XM_008595271.1	XP_008593493.1	60S acidic ribosomal protein P0
BBA_00175	19883187	XM_008595272.1	XP_008593494.1	WD repeat domain-containing protein
BBA_00181	19883193	XM_008595278.1	XP_008593500.1	BAH/PHD-containing protein
BBA_00182	19883194	XM_008595279.1	XP_008593501.1	uncharacterized protein
BBA_00183	19883195	XM_008595280.1	XP_008593502.1	major facilitator superfamily transporter
