seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS
NW_007930860.1	234	241	8	+	14.1463	9.9e-06	0.312	Promoter (<=1kb)	25	866	2673	1808	1	BBA_07423	-625
NW_007930846.1	289	296	8	+	14.1463	9.9e-06	0.312	Promoter (<=1kb)	11	413	1629	1217	1	BBA_04645	-117
NW_007930928.1	427	434	8	+	14.1463	9.9e-06	0.312	Promoter (<=1kb)	93	149	1489	1341	1	BBA_10143	278
NW_007930867.1	1236	1243	8	+	14.1463	9.9e-06	0.312	Promoter (1-2kb)	32	2700	4245	1546	1	BBA_08173	-1457
NW_007930869.1	1264	1271	8	+	14.1463	9.9e-06	0.312	Promoter (<=1kb)	34	1930	2557	628	1	BBA_08332	-659
NW_007930943.1	1313	1320	8	+	14.1463	9.9e-06	0.312	Promoter (<=1kb)	108	1015	2051	1037	1	BBA_10248	298
NW_007930909.1	1366	1373	8	-	14.1463	9.9e-06	0.312	Promoter (<=1kb)	74	659	2328	1670	1	BBA_09908	714
NW_007930861.1	1611	1618	8	-	14.1463	9.9e-06	0.312	Promoter (1-2kb)	26	2648	4957	2310	1	BBA_07557	-1037
NW_007930962.1	1708	1715	8	-	14.1463	9.9e-06	0.312	Promoter (2-3kb)	126	3325	4272	948	2	BBA_10316	2564
NW_007930848.1	1865	1872	8	+	14.1463	9.9e-06	0.312	Promoter (<=1kb)	13	256	2040	1785	2	BBA_05123	168
NW_007930848.1	1883	1890	8	+	14.1463	9.9e-06	0.312	Promoter (<=1kb)	13	256	2040	1785	2	BBA_05123	150
NW_007930883.1	1896	1903	8	-	14.1463	9.9e-06	0.312	Promoter (2-3kb)	48	482	4338	3857	2	BBA_09217	2442
NW_007930852.1	2540	2547	8	+	14.1463	9.9e-06	0.312	Promoter (1-2kb)	17	1526	2441	916	1	BBA_06020	1014
NW_007930886.1	2897	2904	8	+	14.1463	9.9e-06	0.312	Promoter (1-2kb)	51	3992	4975	984	1	BBA_09328	-1088
NW_007930882.1	2950	2957	8	+	14.1463	9.9e-06	0.312	Promoter (<=1kb)	47	2641	3003	363	2	BBA_09173	46
NW_007930957.1	3084	3091	8	-	14.1463	9.9e-06	0.312	Promoter (2-3kb)	122	589	4671	4083	1	BBA_10303	2502
NW_007930982.1	3708	3715	8	+	14.1463	9.9e-06	0.312	Promoter (2-3kb)	142	877	3095	2219	1	BBA_10347	2831
NW_007930837.1	3801	3808	8	-	14.1463	9.9e-06	0.312	Promoter (2-3kb)	2	1222	3333	2112	1	BBA_00682	2586
NW_007930951.1	3816	3823	8	+	14.1463	9.9e-06	0.312	Promoter (<=1kb)	116	3042	3728	687	1	BBA_10285	774
NW_007930956.1	3838	3845	8	+	14.1463	9.9e-06	0.312	Promoter (3-4kb)	121	643	1803	1161	1	BBA_10301	3195
NW_007930858.1	3928	3935	8	+	14.1463	9.9e-06	0.312	Promoter (<=1kb)	23	238	4924	4687	2	BBA_07103	989
NW_007930930.1	4138	4145	8	-	14.1463	9.9e-06	0.312	Promoter (4-5kb)	95	7235	8371	1137	2	BBA_10166	4233
NW_007930972.1	4153	4160	8	+	14.1463	9.9e-06	0.312	Promoter (<=1kb)	134	3822	5060	1239	2	BBA_10335	900
NW_007930852.1	4342	4349	8	+	14.1463	9.9e-06	0.312	Promoter (1-2kb)	17	3793	5493	1701	2	BBA_06021	1144
NW_007930934.1	4400	4407	8	+	14.1463	9.9e-06	0.312	Promoter (1-2kb)	99	2571	3869	1299	1	BBA_10205	1829
NW_007930854.1	4458	4465	8	+	14.1463	9.9e-06	0.312	Promoter (<=1kb)	19	3978	4484	507	2	BBA_06415	19
NW_007930861.1	4455	4462	8	-	14.1463	9.9e-06	0.312	Promoter (1-2kb)	26	2648	4957	2310	1	BBA_07557	1814
NW_007930882.1	4658	4665	8	-	14.1463	9.9e-06	0.312	Promoter (<=1kb)	47	5140	6192	1053	1	BBA_09174	-482
NW_007930847.1	4685	4692	8	+	14.1463	9.9e-06	0.312	Promoter (1-2kb)	12	2906	5432	2527	1	BBA_04902	1779
NW_007930890.1	4827	4834	8	-	14.1463	9.9e-06	0.312	Promoter (<=1kb)	55	4728	6143	1416	1	BBA_09467	106
NW_007930930.1	5133	5140	8	-	14.1463	9.9e-06	0.312	Promoter (3-4kb)	95	7235	8371	1137	2	BBA_10166	3238
NW_007930883.1	5554	5561	8	-	14.1463	9.9e-06	0.312	Promoter (<=1kb)	48	4974	6814	1841	1	BBA_09218	587
NW_007930955.1	5562	5569	8	+	14.1463	9.9e-06	0.312	Promoter (2-3kb)	120	3376	7603	4228	1	BBA_10298	2186
NW_007930956.1	5663	5670	8	+	14.1463	9.9e-06	0.312	Promoter (4-5kb)	121	2397	10507	8111	2	BBA_10302	4837
NW_007930929.1	5670	5677	8	-	14.1463	9.9e-06	0.312	Promoter (1-2kb)	94	4310	5386	1077	1	BBA_10155	1367
NW_007930894.1	5871	5878	8	-	14.1463	9.9e-06	0.312	Promoter (<=1kb)	59	6019	8839	2821	1	BBA_09581	-148
NW_007930926.1	6148	6155	8	-	14.1463	9.9e-06	0.312	Promoter (2-3kb)	91	5089	8644	3556	2	BBA_10126	2496
NW_007930940.1	6162	6169	8	-	14.1463	9.9e-06	0.312	Promoter (<=1kb)	105	5653	6429	777	2	BBA_10236	267
NW_007930974.1	6218	6225	8	-	14.1463	9.9e-06	0.312	Promoter (1-2kb)	136	3463	4804	1342	2	BBA_10338	-1421
NW_007930951.1	6467	6474	8	+	14.1463	9.9e-06	0.312	Promoter (1-2kb)	116	7990	8358	369	1	BBA_10286	-1516
NW_007930889.1	6636	6643	8	+	14.1463	9.9e-06	0.312	Promoter (1-2kb)	54	3634	5296	1663	2	BBA_09430	-1340
NW_007930939.1	6727	6734	8	+	14.1463	9.9e-06	0.312	Promoter (1-2kb)	104	5200	5713	514	1	BBA_10232	1527
NW_007930857.1	6720	6727	8	-	14.1463	9.9e-06	0.312	Promoter (<=1kb)	22	5972	6855	884	2	BBA_06956	135
NW_007930870.1	6945	6952	8	-	14.1463	9.9e-06	0.312	Promoter (<=1kb)	35	6520	7855	1336	2	BBA_08440	910
NW_007930855.1	6981	6988	8	-	14.1463	9.9e-06	0.312	Promoter (<=1kb)	20	7189	8618	1430	1	BBA_06635	-208
NW_007930867.1	7157	7164	8	+	14.1463	9.9e-06	0.312	Promoter (1-2kb)	32	8391	11303	2913	1	BBA_08174	-1227
NW_007930944.1	7345	7352	8	-	14.1463	9.9e-06	0.312	Promoter (1-2kb)	109	6289	8877	2589	2	BBA_10254	1532
NW_007930945.1	7987	7994	8	+	14.1463	9.9e-06	0.312	Promoter (<=1kb)	110	7251	7604	354	2	BBA_10259	-383
NW_007930854.1	8299	8306	8	+	14.1463	9.9e-06	0.312	Promoter (<=1kb)	19	7715	10798	3084	1	BBA_06417	584
NW_007930881.1	8346	8353	8	+	14.1463	9.9e-06	0.312	Promoter (1-2kb)	46	8042	9817	1776	2	BBA_09133	1464
NW_007930837.1	8344	8351	8	-	14.1463	9.9e-06	0.312	Promoter (<=1kb)	2	8306	8736	431	1	BBA_00685	45
NW_007930871.1	8529	8536	8	+	14.1463	9.9e-06	0.312	Promoter (<=1kb)	36	7985	8395	411	1	BBA_08530	544
NW_007930840.1	8665	8672	8	+	14.1463	9.9e-06	0.312	Distal Intergenic	5	14020	15579	1560	1	BBA_02310	-5348
NW_007930865.1	8752	8759	8	-	14.1463	9.9e-06	0.312	Promoter (1-2kb)	30	6945	9540	2596	1	BBA_07980	1814
NW_007930869.1	8862	8869	8	+	14.1463	9.9e-06	0.312	Promoter (1-2kb)	34	7367	9898	2532	2	BBA_08335	1029
NW_007930872.1	8868	8875	8	+	14.1463	9.9e-06	0.312	Promoter (1-2kb)	37	6000	10461	4462	2	BBA_08610	1586
NW_007930865.1	8989	8996	8	+	14.1463	9.9e-06	0.312	Promoter (2-3kb)	30	6945	9540	2596	1	BBA_07980	2044
NW_007930895.1	9039	9046	8	-	14.1463	9.9e-06	0.312	Promoter (1-2kb)	60	6360	7273	914	2	BBA_09612	-1773
NW_007930865.1	9053	9060	8	+	14.1463	9.9e-06	0.312	Promoter (2-3kb)	30	6945	9540	2596	1	BBA_07980	2108
NW_007930895.1	9275	9282	8	-	14.1463	9.9e-06	0.312	Promoter (2-3kb)	60	6360	7273	914	2	BBA_09612	-2009
NW_007930906.1	9324	9331	8	-	14.1463	9.9e-06	0.312	Promoter (<=1kb)	71	9003	10895	1893	1	BBA_09850	328
NW_007930871.1	9379	9386	8	+	14.1463	9.9e-06	0.312	Promoter (1-2kb)	36	7985	8395	411	1	BBA_08530	1394
NW_007930902.1	9431	9438	8	-	14.1463	9.9e-06	0.312	Promoter (1-2kb)	67	9428	10453	1026	2	BBA_09779	1022
NW_007930922.1	9467	9474	8	-	14.1463	9.9e-06	0.312	Promoter (4-5kb)	87	5188	5647	460	1	BBA_10095	4286
