"seqnames","start","end","width","strand","score","p_value","q_value","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","distanceToTSS","GeneID","transcript_id","protein_id"
"NW_007930945.1",727,734,8,"+",11.2551,8.13e-06,0.48,"Promoter (<=1kb)",110,1557,6823,5267,1,"BBA_10258",-823,NA,NA,NA
"NW_007930910.1",819,826,8,"-",11.2551,8.13e-06,0.48,"Promoter (1-2kb)",75,9,2386,2378,2,"BBA_09920",1567,NA,NA,NA
"NW_007930908.1",1453,1460,8,"+",11.2551,8.13e-06,0.48,"Promoter (<=1kb)",73,2199,2432,234,2,"BBA_09891",972,NA,NA,NA
"NW_007930987.1",2010,2017,8,"+",11.2551,8.13e-06,0.48,"Promoter (<=1kb)",146,1305,3035,1731,1,"BBA_10354",705,NA,NA,NA
"NW_007930860.1",2608,2615,8,"-",11.2551,8.13e-06,0.48,"Promoter (1-2kb)",25,866,2673,1808,1,"BBA_07423",1749,NA,NA,NA
"NW_007930946.1",2677,2684,8,"+",11.2551,8.13e-06,0.48,"Promoter (<=1kb)",111,2613,4493,1881,1,"BBA_10264",64,NA,NA,NA
"NW_007930964.1",3223,3230,8,"-",11.2551,8.13e-06,0.48,"Promoter (1-2kb)",128,1758,4280,2523,1,"BBA_10321",1472,NA,NA,NA
"NW_007930924.1",3244,3251,8,"+",11.2551,8.13e-06,0.48,"Promoter (<=1kb)",89,3155,5230,2076,1,"BBA_10107",89,NA,NA,NA
"NW_007930862.1",3804,3811,8,"+",11.2551,8.13e-06,0.48,"Promoter (<=1kb)",27,1706,3742,2037,2,"BBA_07674",-62,NA,NA,NA
"NW_007930855.1",3845,3852,8,"-",11.2551,8.13e-06,0.48,"Promoter (<=1kb)",20,3268,3570,303,2,"BBA_06634",-282,NA,NA,NA
"NW_007930918.1",4146,4153,8,"+",11.2551,8.13e-06,0.48,"Promoter (<=1kb)",83,2173,3970,1798,2,"BBA_10040",-176,NA,NA,NA
"NW_007930949.1",4297,4304,8,"+",11.2551,8.13e-06,0.48,"Promoter (<=1kb)",114,4727,5019,293,2,"BBA_10278",715,NA,NA,NA
"NW_007930927.1",4429,4436,8,"+",11.2551,8.13e-06,0.48,"Promoter (<=1kb)",92,5110,6138,1029,1,"BBA_10136",-674,NA,NA,NA
"NW_007930837.1",4909,4916,8,"+",11.2551,8.13e-06,0.48,"Promoter (1-2kb)",2,4682,6610,1929,2,"BBA_00683",1694,NA,NA,NA
"NW_007930974.1",5078,5085,8,"-",11.2551,8.13e-06,0.48,"Promoter (<=1kb)",136,3463,4804,1342,2,"BBA_10338",-281,"19893350","XM_008605435.1","XP_008603657.1"
"NW_007930908.1",5104,5111,8,"+",11.2551,8.13e-06,0.48,"Promoter (1-2kb)",73,6865,8295,1431,1,"BBA_09892",-1754,NA,NA,NA
"NW_007930922.1",5192,5199,8,"-",11.2551,8.13e-06,0.48,"Promoter (<=1kb)",87,5188,5647,460,1,"BBA_10095",11,NA,NA,NA
"NW_007930910.1",5551,5558,8,"-",11.2551,8.13e-06,0.48,"Promoter (2-3kb)",75,6081,7823,1743,2,"BBA_09922",2272,NA,NA,NA
"NW_007930871.1",5757,5764,8,"+",11.2551,8.13e-06,0.48,"Promoter (<=1kb)",36,5155,6019,865,2,"BBA_08529",255,NA,NA,NA
