locus_tag	seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	distanceToTSS	GeneID	transcript_id	protein_id	product
BBA_00002	NW_007930836.1	6158	6178	21	+	10.9716	4.95e-05	1	Promoter (<=1kb)	1	5664	7104	1441	2	926	19883014	XM_008595099.1	XP_008593321.1	ABC transporter
BBA_00005	NW_007930836.1	15950	15970	21	-	10.983	4.9e-05	1	Promoter (<=1kb)	1	15330	20029	4700	1	640	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00006	NW_007930836.1	19092	19112	21	+	11.3182	3.64e-05	1	Promoter (2-3kb)	1	21184	22451	1268	1	-2072	19883018	XM_008595103.1	XP_008593325.1	uncharacterized protein
BBA_00006	NW_007930836.1	20904	20924	21	+	11.1818	4.11e-05	1	Promoter (<=1kb)	1	21184	22451	1268	1	-260	19883018	XM_008595103.1	XP_008593325.1	uncharacterized protein
BBA_00009	NW_007930836.1	27089	27109	21	-	10.4375	7.81e-05	1	Promoter (<=1kb)	1	26627	26932	306	1	482	19883021	XM_008595106.1	XP_008593328.1	uncharacterized protein
BBA_00012	NW_007930836.1	36213	36233	21	+	12.0795	1.81e-05	1	Promoter (1-2kb)	1	37116	37424	309	2	1191	19883024	XM_008595109.1	XP_008593331.1	ATP synthase H chain
BBA_00029	NW_007930836.1	86691	86711	21	+	12.2216	1.58e-05	1	Promoter (1-2kb)	1	85654	87786	2133	1	1037	19883041	XM_008595126.1	XP_008593348.1	pumilio-family RNA binding repeat domain-containing protein
BBA_00031	NW_007930836.1	92006	92026	21	+	11.4318	3.29e-05	1	Promoter (<=1kb)	1	92358	93023	666	1	-332	19883043	XM_008595128.1	XP_008593350.1	uncharacterized protein
BBA_00042	NW_007930836.1	125206	125226	21	-	10.9318	5.12e-05	1	Promoter (<=1kb)	1	125824	127043	1220	1	-618	19883054	XM_008595139.1	XP_008593361.1	homoserine acetyltransferase family protein
BBA_00064	NW_007930836.1	182733	182753	21	+	10.625	6.67e-05	1	Promoter (1-2kb)	1	184120	184979	860	1	-1367	19883076	XM_008595161.1	XP_008593383.1	uncharacterized protein
BBA_00064	NW_007930836.1	183999	184019	21	+	10.4886	7.48e-05	1	Promoter (<=1kb)	1	184120	184979	860	1	-101	19883076	XM_008595161.1	XP_008593383.1	uncharacterized protein
BBA_00069	NW_007930836.1	199479	199499	21	-	10.4318	7.85e-05	1	Promoter (<=1kb)	1	199580	200518	939	1	-101	19883081	XM_008595166.1	XP_008593388.1	metalloprotease MEP1
BBA_00076	NW_007930836.1	222371	222391	21	-	10.767	5.91e-05	1	Promoter (2-3kb)	1	221936	224429	2494	2	2058	19883088	XM_008595173.1	XP_008593395.1	thiamine biosynthesis protein (Thi-4)
BBA_00077	NW_007930836.1	225030	225050	21	+	10.6307	6.64e-05	1	Promoter (<=1kb)	1	225168	226320	1153	1	-118	19883089	XM_008595174.1	XP_008593396.1	tat pathway signal sequence
BBA_00078	NW_007930836.1	231528	231548	21	-	10.6534	6.51e-05	1	Promoter (4-5kb)	1	226883	227794	912	1	4665	19883090	XM_008595175.1	XP_008593397.1	uncharacterized protein
BBA_00078	NW_007930836.1	228455	228475	21	-	10.3466	8.43e-05	1	Promoter (1-2kb)	1	226883	227794	912	1	1592	19883090	XM_008595175.1	XP_008593397.1	uncharacterized protein
BBA_00078	NW_007930836.1	229272	229292	21	+	10.4148	7.96e-05	1	Promoter (2-3kb)	1	226883	227794	912	1	2389	19883090	XM_008595175.1	XP_008593397.1	uncharacterized protein
BBA_00078	NW_007930836.1	228510	228530	21	-	13.1648	6.14e-06	1	Promoter (1-2kb)	1	226883	227794	912	1	1647	19883090	XM_008595175.1	XP_008593397.1	uncharacterized protein
BBA_00078	NW_007930836.1	229184	229204	21	+	11.5398	2.98e-05	1	Promoter (2-3kb)	1	226883	227794	912	1	2301	19883090	XM_008595175.1	XP_008593397.1	uncharacterized protein
BBA_00078	NW_007930836.1	229718	229738	21	+	11.0739	4.53e-05	1	Promoter (2-3kb)	1	226883	227794	912	1	2835	19883090	XM_008595175.1	XP_008593397.1	uncharacterized protein
BBA_00078	NW_007930836.1	229717	229737	21	-	10.1648	9.8e-05	1	Promoter (2-3kb)	1	226883	227794	912	1	2854	19883090	XM_008595175.1	XP_008593397.1	uncharacterized protein
BBA_00079	NW_007930836.1	232986	233006	21	-	11.9659	2.01e-05	1	Promoter (3-4kb)	1	235076	236668	1593	2	3682	19883091	XM_008595176.1	XP_008593398.1	LysR family regulatory protein
BBA_00079	NW_007930836.1	232697	232717	21	-	10.375	8.23e-05	1	Promoter (3-4kb)	1	235076	236668	1593	2	3971	19883091	XM_008595176.1	XP_008593398.1	LysR family regulatory protein
BBA_00079	NW_007930836.1	231986	232006	21	+	13.2159	5.82e-06	1	Promoter (4-5kb)	1	235076	236668	1593	2	4662	19883091	XM_008595176.1	XP_008593398.1	LysR family regulatory protein
BBA_00079	NW_007930836.1	233092	233112	21	+	11.625	2.76e-05	1	Promoter (3-4kb)	1	235076	236668	1593	2	3556	19883091	XM_008595176.1	XP_008593398.1	LysR family regulatory protein
BBA_00079	NW_007930836.1	234143	234163	21	-	11.2273	3.95e-05	1	Promoter (2-3kb)	1	235076	236668	1593	2	2525	19883091	XM_008595176.1	XP_008593398.1	LysR family regulatory protein
BBA_00088	NW_007930836.1	255165	255185	21	+	10.3352	8.51e-05	1	Promoter (2-3kb)	1	254907	257196	2290	2	2011	19883100	XM_008595185.1	XP_008593407.1	C6 finger domain protein
BBA_00088	NW_007930836.1	258527	258547	21	-	11.6932	2.59e-05	1	Promoter (1-2kb)	1	254907	257196	2290	2	-1351	19883100	XM_008595185.1	XP_008593407.1	C6 finger domain protein
BBA_00089	NW_007930836.1	258923	258943	21	+	13.0739	6.74e-06	1	Promoter (1-2kb)	1	260154	260459	306	2	1516	19883101	XM_008595186.1	XP_008593408.1	uncharacterized protein
BBA_00095	NW_007930836.1	276094	276114	21	-	12.6023	1.09e-05	1	Promoter (1-2kb)	1	277109	278999	1891	1	-1015	19883107	XM_008595192.1	XP_008593414.1	oxidoreductase molybdopterin binding domain-containing protein
BBA_00102	NW_007930836.1	300054	300074	21	-	10.9773	4.93e-05	1	Promoter (<=1kb)	1	299134	299745	612	1	940	19883114	XM_008595199.1	XP_008593421.1	ATP-binding protein
BBA_00110	NW_007930836.1	325051	325071	21	+	10.3636	8.31e-05	1	Promoter (1-2kb)	1	325534	326234	701	2	1163	19883122	XM_008595207.1	XP_008593429.1	uncharacterized protein
BBA_00111	NW_007930836.1	327370	327390	21	-	10.9034	5.25e-05	1	Promoter (<=1kb)	1	326717	327056	340	2	-334	19883123	XM_008595208.1	XP_008593430.1	uncharacterized protein
BBA_00118	NW_007930836.1	346269	346289	21	-	13.1193	6.44e-06	1	Promoter (<=1kb)	1	344673	345777	1105	2	-512	19883130	XM_008595215.1	XP_008593437.1	HpcH/HpaI aldolase/citrate lyase family protein
BBA_00120	NW_007930836.1	350059	350079	21	-	10.8239	5.63e-05	1	Promoter (<=1kb)	1	347854	349183	1330	2	-896	19883132	XM_008595217.1	XP_008593439.1	uncharacterized protein
BBA_00120	NW_007930836.1	350060	350080	21	+	10.7727	5.88e-05	1	Promoter (<=1kb)	1	347854	349183	1330	2	-877	19883132	XM_008595217.1	XP_008593439.1	uncharacterized protein
BBA_00125	NW_007930836.1	361582	361602	21	+	13.125	6.4e-06	1	Promoter (1-2kb)	1	362632	368584	5953	1	-1030	19883137	XM_008595222.1	XP_008593444.1	PH domain-containing protein
BBA_00127	NW_007930836.1	377741	377761	21	+	10.1989	9.52e-05	1	Promoter (<=1kb)	1	374371	377320	2950	2	-421	19883139	XM_008595224.1	XP_008593446.1	uncharacterized protein
BBA_00129	NW_007930836.1	381537	381557	21	-	11.108	4.39e-05	1	Promoter (<=1kb)	1	381016	381507	492	2	-50	19883141	XM_008595226.1	XP_008593448.1	ATP synthase subunit E
BBA_00147	NW_007930836.1	425074	425094	21	-	12.9148	7.94e-06	1	Promoter (1-2kb)	1	425367	426164	798	2	1090	19883159	XM_008595244.1	XP_008593466.1	cutinase-2 protein
BBA_00149	NW_007930836.1	434128	434148	21	+	11.7955	2.36e-05	1	Promoter (<=1kb)	1	431727	433778	2052	2	-350	19883161	XM_008595246.1	XP_008593468.1	ATP-NAD kinase
BBA_00152	NW_007930836.1	440851	440871	21	-	10.9205	5.18e-05	1	Promoter (1-2kb)	1	440946	442502	1557	2	1651	19883164	XM_008595249.1	XP_008593471.1	uncharacterized protein
BBA_00152	NW_007930836.1	446316	446336	21	+	13.4148	4.72e-06	1	Promoter (3-4kb)	1	440946	442502	1557	2	-3814	19883164	XM_008595249.1	XP_008593471.1	uncharacterized protein
BBA_00156	NW_007930836.1	458577	458597	21	+	10.6477	6.54e-05	1	Promoter (<=1kb)	1	457639	458577	939	1	938	19883168	XM_008595253.1	XP_008593475.1	LSM domain-containing protein
BBA_00166	NW_007930836.1	495624	495644	21	-	10.9773	4.93e-05	1	Promoter (<=1kb)	1	495826	497488	1663	1	-202	19883178	XM_008595263.1	XP_008593485.1	TBC domain-containing protein
BBA_00184	NW_007930836.1	558168	558188	21	-	13.3068	5.29e-06	1	Promoter (<=1kb)	1	555719	558519	2801	2	351	19883196	XM_008595281.1	XP_008593503.1	Nop14-like family protein
BBA_00186	NW_007930836.1	566639	566659	21	-	11.4489	3.24e-05	1	Promoter (<=1kb)	1	565917	566684	768	1	742	19883198	XM_008595283.1	XP_008593505.1	uncharacterized protein
BBA_00186	NW_007930836.1	565094	565114	21	-	10.4886	7.48e-05	1	Promoter (<=1kb)	1	565917	566684	768	1	-823	19883198	XM_008595283.1	XP_008593505.1	uncharacterized protein
