locus_tag	seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	distanceToTSS	GeneID	transcript_id	protein_id	product
BBA_00011	NW_007930836.1	34518	34527	10	+	11.4796	2.94e-05	1	Promoter (1-2kb)	1	33013	35806	2794	1	1505	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00012	NW_007930836.1	37753	37762	10	+	11.3061	4.19e-05	1	Promoter (<=1kb)	1	37116	37424	309	2	-329	19883024	XM_008595109.1	XP_008593331.1	ATP synthase H chain
BBA_00012	NW_007930836.1	35676	35685	10	+	11.8571	1.21e-05	1	Promoter (1-2kb)	1	37116	37424	309	2	1739	19883024	XM_008595109.1	XP_008593331.1	ATP synthase H chain
BBA_00014	NW_007930836.1	42252	42261	10	-	11.102	6.51e-05	1	Promoter (2-3kb)	1	42774	44348	1575	2	2096	19883026	XM_008595111.1	XP_008593333.1	serine/threonine-protein kinase psk1
BBA_00019	NW_007930836.1	60061	60070	10	-	11.1531	5.74e-05	1	Promoter (1-2kb)	1	57711	58663	953	2	-1407	19883031	XM_008595116.1	XP_008593338.1	tat pathway signal sequence
BBA_00032	NW_007930836.1	98128	98137	10	-	11.6327	2.01e-05	1	Promoter (2-3kb)	1	94827	95943	1117	2	-2194	19883044	XM_008595129.1	XP_008593351.1	uncharacterized protein
BBA_00032	NW_007930836.1	95112	95121	10	+	10.9082	9.12e-05	1	Promoter (<=1kb)	1	94827	95943	1117	2	822	19883044	XM_008595129.1	XP_008593351.1	uncharacterized protein
BBA_00033	NW_007930836.1	99203	99212	10	-	11.0816	6.82e-05	1	Promoter (2-3kb)	1	102128	105545	3418	1	-2925	19883045	XM_008595130.1	XP_008593352.1	uncharacterized protein
BBA_00034	NW_007930836.1	106182	106191	10	+	11.0918	6.71e-05	1	Promoter (1-2kb)	1	106279	108060	1782	2	1869	19883046	XM_008595131.1	XP_008593353.1	group II pyridoxal-5-phosphate decarboxylase
BBA_00037	NW_007930836.1	114996	115005	10	-	12.0918	7.01e-06	1	Promoter (<=1kb)	1	113425	114147	723	2	-858	19883049	XM_008595134.1	XP_008593356.1	gp24-like protein
BBA_00044	NW_007930836.1	129335	129344	10	+	11.3878	3.71e-05	1	Promoter (<=1kb)	1	129300	130070	771	2	726	19883056	XM_008595141.1	XP_008593363.1	uncharacterized protein
BBA_00046	NW_007930836.1	134800	134809	10	+	11.2653	4.69e-05	1	Promoter (1-2kb)	1	133249	134214	966	1	1551	19883058	XM_008595143.1	XP_008593365.1	glucan endo-1,3-beta-glucosidase A1-like protein
BBA_00051	NW_007930836.1	148591	148600	10	-	11.3061	4.19e-05	1	Promoter (1-2kb)	1	150227	151027	801	1	-1636	19883063	XM_008595148.1	XP_008593370.1	uncharacterized protein
BBA_00051	NW_007930836.1	151097	151106	10	+	10.9082	9.12e-05	1	Promoter (<=1kb)	1	150227	151027	801	1	870	19883063	XM_008595148.1	XP_008593370.1	uncharacterized protein
BBA_00052	NW_007930836.1	153825	153834	10	+	11.0918	6.71e-05	1	Promoter (1-2kb)	1	151356	152775	1420	2	-1050	19883064	XM_008595149.1	XP_008593371.1	polysaccharide export protein (CAP59)
BBA_00057	NW_007930836.1	162330	162339	10	+	10.9082	9.12e-05	1	Promoter (<=1kb)	1	162045	163104	1060	2	765	19883069	XM_008595154.1	XP_008593376.1	uncharacterized protein
BBA_00064	NW_007930836.1	184340	184349	10	+	11.4694	3.06e-05	1	Promoter (<=1kb)	1	184120	184979	860	1	220	19883076	XM_008595161.1	XP_008593383.1	uncharacterized protein
BBA_00065	NW_007930836.1	188230	188239	10	+	10.9286	8.5e-05	1	Promoter (<=1kb)	1	186123	187605	1483	2	-625	19883077	XM_008595162.1	XP_008593384.1	major facilitator superfamily transporter
BBA_00072	NW_007930836.1	211185	211194	10	-	11.6327	2.01e-05	1	Promoter (2-3kb)	1	208955	214143	5189	1	2239	19883084	XM_008595169.1	XP_008593391.1	C6 transcription factor
BBA_00089	NW_007930836.1	261600	261609	10	+	11.2143	5.04e-05	1	Promoter (1-2kb)	1	260154	260459	306	2	-1141	19883101	XM_008595186.1	XP_008593408.1	uncharacterized protein
BBA_00098	NW_007930836.1	287225	287234	10	+	11.0816	6.82e-05	1	Promoter (<=1kb)	1	286081	287781	1701	2	547	19883110	XM_008595195.1	XP_008593417.1	major facilitator superfamily transporter
BBA_00100	NW_007930836.1	294996	295005	10	-	10.9388	8.21e-05	1	Promoter (<=1kb)	1	294800	295566	767	1	205	19883112	XM_008595197.1	XP_008593419.1	uncharacterized protein
BBA_00101	NW_007930836.1	296134	296143	10	+	10.8878	9.51e-05	1	Promoter (1-2kb)	1	297288	298034	747	1	-1145	19883113	XM_008595198.1	XP_008593420.1	carbohydrate esterase family 4
BBA_00117	NW_007930836.1	340214	340223	10	+	11.1122	6.25e-05	1	Promoter (1-2kb)	1	338056	339025	970	2	-1189	19883129	XM_008595214.1	XP_008593436.1	RNA recognition domain-containing protein
BBA_00117	NW_007930836.1	339110	339119	10	-	11.1531	5.74e-05	1	Promoter (<=1kb)	1	338056	339025	970	2	-94	19883129	XM_008595214.1	XP_008593436.1	RNA recognition domain-containing protein
BBA_00118	NW_007930836.1	342947	342956	10	+	11.3163	4.04e-05	1	Promoter (2-3kb)	1	344673	345777	1105	2	2821	19883130	XM_008595215.1	XP_008593437.1	HpcH/HpaI aldolase/citrate lyase family protein
BBA_00118	NW_007930836.1	343535	343544	10	+	11.1939	5.41e-05	1	Promoter (2-3kb)	1	344673	345777	1105	2	2233	19883130	XM_008595215.1	XP_008593437.1	HpcH/HpaI aldolase/citrate lyase family protein
BBA_00126	NW_007930836.1	369288	369297	10	+	11.3163	4.04e-05	1	Promoter (<=1kb)	1	369658	373338	3681	1	-361	19883138	XM_008595223.1	XP_008593445.1	protein kinase, putative
BBA_00128	NW_007930836.1	379776	379785	10	+	11.4796	2.94e-05	1	Promoter (<=1kb)	1	377751	380186	2436	2	401	19883140	XM_008595225.1	XP_008593447.1	oligosaccharyl transferase STT3 subunit
BBA_00152	NW_007930836.1	445521	445530	10	+	11.1122	6.25e-05	1	Promoter (3-4kb)	1	440946	442502	1557	2	-3019	19883164	XM_008595249.1	XP_008593471.1	uncharacterized protein
BBA_00154	NW_007930836.1	452835	452844	10	+	11.3163	4.04e-05	1	Promoter (1-2kb)	1	451742	454044	2303	2	1200	19883166	XM_008595251.1	XP_008593473.1	ATP synthase alpha chain
BBA_00159	NW_007930836.1	463649	463658	10	-	10.9082	9.12e-05	1	Promoter (<=1kb)	1	462812	466262	3451	1	846	19883171	XM_008595256.1	XP_008593478.1	uncharacterized protein
BBA_00161	NW_007930836.1	472229	472238	10	+	11.5102	2.82e-05	1	Promoter (1-2kb)	1	474040	478974	4935	1	-1802	19883173	XM_008595258.1	XP_008593480.1	RhoGAP domain-containing protein
BBA_00162	NW_007930836.1	481881	481890	10	+	10.949	8.11e-05	1	Promoter (1-2kb)	1	480325	483012	2688	1	1556	19883174	XM_008595259.1	XP_008593481.1	C6 transcription factor
BBA_00163	NW_007930836.1	485354	485363	10	+	11.1122	6.25e-05	1	Promoter (<=1kb)	1	484066	484950	885	2	-404	19883175	XM_008595260.1	XP_008593482.1	uncharacterized protein
BBA_00164	NW_007930836.1	490346	490355	10	-	10.9388	8.21e-05	1	Promoter (<=1kb)	1	488963	490680	1718	2	334	19883176	XM_008595261.1	XP_008593483.1	WLM domain-containing protein
