locus_tag	seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	distanceToTSS	GeneID	transcript_id	protein_id	product
BBA_00001	NW_007930836.1	4758	4769	12	+	11.6	6.16e-05	1	Promoter (1-2kb)	1	3335	3683	349	1	1423	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00001	NW_007930836.1	1527	1538	12	+	11.87	4.46e-05	1	Promoter (1-2kb)	1	3335	3683	349	1	-1797	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00005	NW_007930836.1	14402	14413	12	-	11.76	4.93e-05	1	Promoter (<=1kb)	1	15330	20029	4700	1	-928	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00017	NW_007930836.1	50323	50334	12	+	11.39	7.85e-05	1	Promoter (<=1kb)	1	50976	55391	4416	1	-642	19883029	XM_008595114.1	XP_008593336.1	ABC transporter
BBA_00019	NW_007930836.1	59144	59155	12	-	11.89	4.19e-05	1	Promoter (<=1kb)	1	57711	58663	953	2	-492	19883031	XM_008595116.1	XP_008593338.1	tat pathway signal sequence
BBA_00028	NW_007930836.1	84317	84328	12	-	12.1	3.02e-05	1	Promoter (<=1kb)	1	81860	83583	1724	2	-745	19883040	XM_008595125.1	XP_008593347.1	oxysterol-binding family protein
BBA_00052	NW_007930836.1	153251	153262	12	+	11.73	5.4e-05	1	Promoter (<=1kb)	1	151356	152775	1420	2	-476	19883064	XM_008595149.1	XP_008593371.1	polysaccharide export protein (CAP59)
BBA_00055	NW_007930836.1	159727	159738	12	+	11.82	4.65e-05	1	Promoter (<=1kb)	1	158251	159473	1223	2	-254	19883067	XM_008595152.1	XP_008593374.1	ARP2/3 actin-organizing complex subunit Sop2
BBA_00056	NW_007930836.1	161939	161950	12	+	12.06	3.13e-05	1	Promoter (1-2kb)	1	160189	160839	651	2	-1100	19883068	XM_008595153.1	XP_008593375.1	uncharacterized protein
BBA_00060	NW_007930836.1	167855	167866	12	-	11.45	7.49e-05	1	Promoter (<=1kb)	1	168317	172112	3796	1	-462	19883072	XM_008595157.1	XP_008593379.1	MutS domain V
