locus_tag	seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	distanceToTSS	GeneID	transcript_id	protein_id	product
BBA_00002	NW_007930836.1	5915	5921	7	+	11.6829	2.96e-05	0.375	Exon (XM_008595099.1/BBA_00002, exon 3 of 3)	1	5664	7104	1441	2	1183	19883014	XM_008595099.1	XP_008593321.1	ABC transporter
BBA_00004	NW_007930836.1	13240	13246	7	-	11.2805	6.57e-05	0.476	Distal Intergenic	1	12136	13042	907	1	1110	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00004	NW_007930836.1	10528	10534	7	+	11.6829	2.96e-05	0.375	Distal Intergenic	1	12136	13042	907	1	-1602	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00007	NW_007930836.1	23521	23527	7	+	11.6829	2.96e-05	0.375	Promoter	1	23340	25184	1845	1	181	19883019	XM_008595104.1	XP_008593326.1	iron only hydrogenase large subunit domain-containing protein
BBA_00011	NW_007930836.1	32868	32874	7	+	11.6829	2.96e-05	0.375	Promoter	1	33013	35806	2794	1	-139	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00013	NW_007930836.1	40985	40991	7	-	11.6829	2.96e-05	0.375	Distal Intergenic	1	38580	39928	1349	2	-1063	19883025	XM_008595110.1	XP_008593332.1	cellobiose dehydrogenase, putative
BBA_00014	NW_007930836.1	44946	44952	7	-	11.6829	2.96e-05	0.375	Promoter	1	42774	44348	1575	2	-604	19883026	XM_008595111.1	XP_008593333.1	serine/threonine-protein kinase psk1
BBA_00014	NW_007930836.1	42280	42286	7	+	11.6829	2.96e-05	0.375	Distal Intergenic	1	42774	44348	1575	2	2062	19883026	XM_008595111.1	XP_008593333.1	serine/threonine-protein kinase psk1
BBA_00015	NW_007930836.1	47569	47575	7	+	11.2805	6.57e-05	0.476	Promoter	1	45678	47093	1416	2	-476	19883027	XM_008595112.1	XP_008593334.1	Transcription regulator cyclin
BBA_00015	NW_007930836.1	46937	46943	7	-	11.6829	2.96e-05	0.375	Promoter	1	45678	47093	1416	2	156	19883027	XM_008595112.1	XP_008593334.1	Transcription regulator cyclin
BBA_00017	NW_007930836.1	50780	50786	7	-	11.6829	2.96e-05	0.375	Promoter	1	50976	55391	4416	1	-196	19883029	XM_008595114.1	XP_008593336.1	ABC transporter
BBA_00021	NW_007930836.1	66469	66475	7	+	11.2805	6.57e-05	0.476	Promoter	1	66572	67074	503	1	-97	19883033	XM_008595118.1	XP_008593340.1	LSM domain-containing protein
BBA_00022	NW_007930836.1	68028	68034	7	-	11.6829	2.96e-05	0.375	Promoter	1	67095	68927	1833	2	899	19883034	XM_008595119.1	XP_008593341.1	inosine-uridine preferring nucleoside hydrolase
BBA_00023	NW_007930836.1	71882	71888	7	+	11.2805	6.57e-05	0.476	Promoter	1	71296	72546	1251	1	586	19883035	XM_008595120.1	XP_008593342.1	uncharacterized protein
BBA_00025	NW_007930836.1	78315	78321	7	-	11.2805	6.57e-05	0.476	Promoter	1	77430	78098	669	2	-223	19883037	XM_008595122.1	XP_008593344.1	uncharacterized protein
BBA_00030	NW_007930836.1	88182	88188	7	+	11.6829	2.96e-05	0.375	Exon (XM_008595127.1/BBA_00030, exon 5 of 5)	1	88075	90170	2096	2	1982	19883042	XM_008595127.1	XP_008593349.1	AMP-binding enzyme, putative
BBA_00030	NW_007930836.1	90057	90063	7	-	11.2805	6.57e-05	0.476	Promoter	1	88075	90170	2096	2	113	19883042	XM_008595127.1	XP_008593349.1	AMP-binding enzyme, putative
BBA_00030	NW_007930836.1	89849	89855	7	-	11.6829	2.96e-05	0.375	Promoter	1	88075	90170	2096	2	321	19883042	XM_008595127.1	XP_008593349.1	AMP-binding enzyme, putative
BBA_00030	NW_007930836.1	88388	88394	7	-	11.6829	2.96e-05	0.375	Exon (XM_008595127.1/BBA_00030, exon 5 of 5)	1	88075	90170	2096	2	1782	19883042	XM_008595127.1	XP_008593349.1	AMP-binding enzyme, putative
BBA_00031	NW_007930836.1	92453	92459	7	+	11.6829	2.96e-05	0.375	Promoter	1	92358	93023	666	1	95	19883043	XM_008595128.1	XP_008593350.1	uncharacterized protein
BBA_00032	NW_007930836.1	96373	96379	7	-	11.6829	2.96e-05	0.375	Promoter	1	94827	95943	1117	2	-436	19883044	XM_008595129.1	XP_008593351.1	uncharacterized protein
BBA_00033	NW_007930836.1	100332	100338	7	-	11.2805	6.57e-05	0.476	Distal Intergenic	1	102128	105545	3418	1	-1796	19883045	XM_008595130.1	XP_008593352.1	uncharacterized protein
BBA_00037	NW_007930836.1	115562	115568	7	+	11.6829	2.96e-05	0.375	Distal Intergenic	1	113425	114147	723	2	-1415	19883049	XM_008595134.1	XP_008593356.1	gp24-like protein
BBA_00037	NW_007930836.1	115757	115763	7	-	11.6829	2.96e-05	0.375	Distal Intergenic	1	113425	114147	723	2	-1616	19883049	XM_008595134.1	XP_008593356.1	gp24-like protein
BBA_00037	NW_007930836.1	114346	114352	7	-	11.2805	6.57e-05	0.476	Promoter	1	113425	114147	723	2	-205	19883049	XM_008595134.1	XP_008593356.1	gp24-like protein
BBA_00038	NW_007930836.1	117573	117579	7	-	11.6829	2.96e-05	0.375	Promoter	1	116897	117700	804	2	127	19883050	XM_008595135.1	XP_008593357.1	AMME syndrome protein
BBA_00038	NW_007930836.1	117967	117973	7	-	11.6829	2.96e-05	0.375	Promoter	1	116897	117700	804	2	-273	19883050	XM_008595135.1	XP_008593357.1	AMME syndrome protein
BBA_00039	NW_007930836.1	118519	118525	7	+	11.6829	2.96e-05	0.375	Promoter	1	119294	119569	276	1	-769	19883051	XM_008595136.1	XP_008593358.1	uncharacterized protein
BBA_00040	NW_007930836.1	121460	121466	7	-	11.6829	2.96e-05	0.375	Promoter	1	121573	122736	1164	1	-113	19883052	XM_008595137.1	XP_008593359.1	uncharacterized protein
BBA_00041	NW_007930836.1	124519	124525	7	+	11.6829	2.96e-05	0.375	Exon (XM_008595138.1/BBA_00041, exon 3 of 3)	1	123417	124953	1537	1	1102	19883053	XM_008595138.1	XP_008593360.1	WD domain-containing protein
BBA_00047	NW_007930836.1	136718	136724	7	-	11.2805	6.57e-05	0.476	Promoter	1	135407	136672	1266	2	-52	19883059	XM_008595144.1	XP_008593366.1	Cel5b-like protein
BBA_00048	NW_007930836.1	137667	137673	7	+	11.2805	6.57e-05	0.476	Promoter	1	138249	138827	579	1	-576	19883060	XM_008595145.1	XP_008593367.1	uncharacterized protein
BBA_00048	NW_007930836.1	139290	139296	7	+	11.2805	6.57e-05	0.476	Distal Intergenic	1	138249	138827	579	1	1041	19883060	XM_008595145.1	XP_008593367.1	uncharacterized protein
BBA_00049	NW_007930836.1	142290	142296	7	+	11.6829	2.96e-05	0.375	Promoter	1	140006	141980	1975	2	-310	19883061	XM_008595146.1	XP_008593368.1	transporter-like protein
BBA_00049	NW_007930836.1	143219	143225	7	+	11.6829	2.96e-05	0.375	Distal Intergenic	1	140006	141980	1975	2	-1239	19883061	XM_008595146.1	XP_008593368.1	transporter-like protein
BBA_00050	NW_007930836.1	147706	147712	7	+	11.6829	2.96e-05	0.375	Distal Intergenic	1	143876	146215	2340	2	-1491	19883062	XM_008595147.1	XP_008593369.1	Cys2-His2 zinc finger transcription factor ACEI
BBA_00052	NW_007930836.1	151744	151750	7	-	11.2805	6.57e-05	0.476	Exon (XM_008595149.1/BBA_00052, exon 3 of 3)	1	151356	152775	1420	2	1031	19883064	XM_008595149.1	XP_008593371.1	polysaccharide export protein (CAP59)
BBA_00054	NW_007930836.1	157630	157636	7	+	11.2805	6.57e-05	0.476	Promoter	1	157526	158122	597	1	104	19883066	XM_008595151.1	XP_008593373.1	endoribonuclease L-PSP
BBA_00057	NW_007930836.1	163064	163070	7	-	11.2805	6.57e-05	0.476	Promoter	1	162045	163104	1060	2	40	19883069	XM_008595154.1	XP_008593376.1	uncharacterized protein
BBA_00060	NW_007930836.1	169107	169113	7	+	11.6829	2.96e-05	0.375	Promoter	1	168317	172112	3796	1	790	19883072	XM_008595157.1	XP_008593379.1	MutS domain V
BBA_00061	NW_007930836.1	172606	172612	7	-	11.2805	6.57e-05	0.476	Promoter	1	173082	174917	1836	1	-476	19883073	XM_008595158.1	XP_008593380.1	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain, putative
BBA_00061	NW_007930836.1	174436	174442	7	+	11.6829	2.96e-05	0.375	Exon (XM_008595158.1/BBA_00061, exon 1 of 1)	1	173082	174917	1836	1	1354	19883073	XM_008595158.1	XP_008593380.1	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain, putative
BBA_00063	NW_007930836.1	178417	178423	7	-	11.2805	6.57e-05	0.476	Promoter	1	178123	178827	705	2	410	19883075	XM_008595160.1	XP_008593382.1	AMP-binding enzyme, putative
BBA_00063	NW_007930836.1	179638	179644	7	+	11.6829	2.96e-05	0.375	Promoter	1	178123	178827	705	2	-811	19883075	XM_008595160.1	XP_008593382.1	AMP-binding enzyme, putative
BBA_00063	NW_007930836.1	179838	179844	7	-	11.6829	2.96e-05	0.375	Distal Intergenic	1	178123	178827	705	2	-1017	19883075	XM_008595160.1	XP_008593382.1	AMP-binding enzyme, putative
BBA_00064	NW_007930836.1	185054	185060	7	+	11.6829	2.96e-05	0.375	Promoter	1	184120	184979	860	1	934	19883076	XM_008595161.1	XP_008593383.1	uncharacterized protein
BBA_00067	NW_007930836.1	191565	191571	7	+	11.6829	2.96e-05	0.375	Promoter	1	190905	192006	1102	2	435	19883079	XM_008595164.1	XP_008593386.1	2-nitropropane dioxygenase
BBA_00068	NW_007930836.1	197081	197087	7	-	11.6829	2.96e-05	0.375	Promoter	1	194874	196661	1788	2	-426	19883080	XM_008595165.1	XP_008593387.1	vitamin H transporter
BBA_00068	NW_007930836.1	197339	197345	7	-	11.2805	6.57e-05	0.476	Promoter	1	194874	196661	1788	2	-684	19883080	XM_008595165.1	XP_008593387.1	vitamin H transporter
BBA_00069	NW_007930836.1	199542	199548	7	+	11.6829	2.96e-05	0.375	Promoter	1	199580	200518	939	1	-32	19883081	XM_008595166.1	XP_008593388.1	metalloprotease MEP1
BBA_00072	NW_007930836.1	211709	211715	7	+	11.6829	2.96e-05	0.375	Exon (XM_008595169.1/BBA_00072, exon 2 of 5)	1	208955	214143	5189	1	2754	19883084	XM_008595169.1	XP_008593391.1	C6 transcription factor
BBA_00072	NW_007930836.1	206940	206946	7	-	11.6829	2.96e-05	0.375	Exon (XM_008595168.1/BBA_00071, exon 5 of 5)	1	208955	214143	5189	1	-2015	19883084	XM_008595169.1	XP_008593391.1	C6 transcription factor
BBA_00075	NW_007930836.1	221085	221091	7	-	11.6829	2.96e-05	0.375	Distal Intergenic	1	219885	220517	633	1	1206	19883087	XM_008595172.1	XP_008593394.1	uncharacterized protein
BBA_00076	NW_007930836.1	222233	222239	7	-	11.2805	6.57e-05	0.476	Intron (XM_008595173.1/BBA_00076, intron 6 of 6)	1	221936	224429	2494	2	2196	19883088	XM_008595173.1	XP_008593395.1	thiamine biosynthesis protein (Thi-4)
BBA_00079	NW_007930836.1	236080	236086	7	+	11.2805	6.57e-05	0.476	Promoter	1	235076	236668	1593	2	582	19883091	XM_008595176.1	XP_008593398.1	LysR family regulatory protein
BBA_00082	NW_007930836.1	241090	241096	7	-	11.2805	6.57e-05	0.476	Promoter	1	241295	241921	627	1	-205	19883094	XM_008595179.1	XP_008593401.1	uncharacterized protein
BBA_00083	NW_007930836.1	243120	243126	7	+	11.2805	6.57e-05	0.476	Promoter	1	244052	244462	411	1	-926	19883095	XM_008595180.1	XP_008593402.1	uncharacterized protein
BBA_00087	NW_007930836.1	251008	251014	7	-	11.6829	2.96e-05	0.375	Promoter	1	250501	251633	1133	2	625	19883099	XM_008595184.1	XP_008593406.1	uncharacterized protein
BBA_00087	NW_007930836.1	252050	252056	7	+	11.6829	2.96e-05	0.375	Promoter	1	250501	251633	1133	2	-417	19883099	XM_008595184.1	XP_008593406.1	uncharacterized protein
BBA_00088	NW_007930836.1	258788	258794	7	-	11.2805	6.57e-05	0.476	Distal Intergenic	1	254907	257196	2290	2	-1598	19883100	XM_008595185.1	XP_008593407.1	C6 finger domain protein
BBA_00090	NW_007930836.1	266473	266479	7	-	11.6829	2.96e-05	0.375	Promoter	1	264531	266367	1837	2	-112	19883102	XM_008595187.1	XP_008593409.1	aryl-alcohol oxidase/vanillyl-alcohol oxidase
BBA_00096	NW_007930836.1	279174	279180	7	+	11.6829	2.96e-05	0.375	Downstream (<=300bp)	1	280245	282308	2064	1	-1065	19883108	XM_008595193.1	XP_008593415.1	uncharacterized protein
BBA_00098	NW_007930836.1	288779	288785	7	+	11.6829	2.96e-05	0.375	Promoter	1	286081	287781	1701	2	-998	19883110	XM_008595195.1	XP_008593417.1	major facilitator superfamily transporter
BBA_00099	NW_007930836.1	293148	293154	7	-	11.6829	2.96e-05	0.375	Distal Intergenic	1	291414	292137	724	2	-1017	19883111	XM_008595196.1	XP_008593418.1	uncharacterized protein
BBA_00104	NW_007930836.1	303710	303716	7	-	11.6829	2.96e-05	0.375	Promoter	1	303694	304524	831	2	814	19883116	XM_008595201.1	XP_008593423.1	uncharacterized protein
BBA_00105	NW_007930836.1	310738	310744	7	+	11.6829	2.96e-05	0.375	Promoter	1	310431	312301	1871	1	307	19883117	XM_008595202.1	XP_008593424.1	Putative Zn(II)2Cys6 transcription factor
BBA_00105	NW_007930836.1	310967	310973	7	+	11.6829	2.96e-05	0.375	Promoter	1	310431	312301	1871	1	536	19883117	XM_008595202.1	XP_008593424.1	Putative Zn(II)2Cys6 transcription factor
BBA_00106	NW_007930836.1	314147	314153	7	-	11.2805	6.57e-05	0.476	Promoter	1	312370	314077	1708	2	-76	19883118	XM_008595203.1	XP_008593425.1	WD domain-containing protein
BBA_00106	NW_007930836.1	312940	312946	7	-	11.2805	6.57e-05	0.476	Exon (XM_008595203.1/BBA_00106, exon 2 of 2)	1	312370	314077	1708	2	1137	19883118	XM_008595203.1	XP_008593425.1	WD domain-containing protein
BBA_00108	NW_007930836.1	318372	318378	7	-	11.6829	2.96e-05	0.375	Promoter	1	318113	319339	1227	1	265	19883120	XM_008595205.1	XP_008593427.1	uncharacterized protein
BBA_00109	NW_007930836.1	320373	320379	7	-	11.6829	2.96e-05	0.375	Exon (XM_008595206.1/BBA_00109, exon 4 of 4)	1	320322	322014	1693	2	1641	19883121	XM_008595206.1	XP_008593428.1	RfeD protein
BBA_00109	NW_007930836.1	322059	322065	7	-	11.6829	2.96e-05	0.375	Promoter	1	320322	322014	1693	2	-51	19883121	XM_008595206.1	XP_008593428.1	RfeD protein
BBA_00109	NW_007930836.1	320967	320973	7	-	11.6829	2.96e-05	0.375	Exon (XM_008595206.1/BBA_00109, exon 4 of 4)	1	320322	322014	1693	2	1047	19883121	XM_008595206.1	XP_008593428.1	RfeD protein
BBA_00110	NW_007930836.1	324513	324519	7	+	11.6829	2.96e-05	0.375	Distal Intergenic	1	325534	326234	701	2	1715	19883122	XM_008595207.1	XP_008593429.1	uncharacterized protein
BBA_00112	NW_007930836.1	328153	328159	7	+	11.6829	2.96e-05	0.375	Promoter	1	328097	328444	348	2	285	19883124	XM_008595209.1	XP_008593431.1	uncharacterized protein
BBA_00114	NW_007930836.1	331347	331353	7	+	11.6829	2.96e-05	0.375	Promoter	1	331123	332403	1281	1	224	19883126	XM_008595211.1	XP_008593433.1	uncharacterized protein
BBA_00115	NW_007930836.1	333591	333597	7	-	11.6829	2.96e-05	0.375	Promoter	1	332792	333941	1150	2	350	19883127	XM_008595212.1	XP_008593434.1	peflin-like protein
BBA_00115	NW_007930836.1	334205	334211	7	-	11.2805	6.57e-05	0.476	Promoter	1	332792	333941	1150	2	-270	19883127	XM_008595212.1	XP_008593434.1	peflin-like protein
BBA_00116	NW_007930836.1	336477	336483	7	+	11.6829	2.96e-05	0.375	Intron (XM_008595213.1/BBA_00116, intron 3 of 3)	1	335165	337271	2107	1	1312	19883128	XM_008595213.1	XP_008593435.1	ChaC-like protein
BBA_00117	NW_007930836.1	340357	340363	7	+	11.2805	6.57e-05	0.476	Distal Intergenic	1	338056	339025	970	2	-1332	19883129	XM_008595214.1	XP_008593436.1	RNA recognition domain-containing protein
BBA_00117	NW_007930836.1	340968	340974	7	-	11.6829	2.96e-05	0.375	Distal Intergenic	1	338056	339025	970	2	-1949	19883129	XM_008595214.1	XP_008593436.1	RNA recognition domain-containing protein
BBA_00117	NW_007930836.1	342045	342051	7	+	11.2805	6.57e-05	0.476	Distal Intergenic	1	338056	339025	970	2	-3020	19883129	XM_008595214.1	XP_008593436.1	RNA recognition domain-containing protein
BBA_00118	NW_007930836.1	345476	345482	7	-	11.6829	2.96e-05	0.375	Promoter	1	344673	345777	1105	2	301	19883130	XM_008595215.1	XP_008593437.1	HpcH/HpaI aldolase/citrate lyase family protein
BBA_00119	NW_007930836.1	346367	346373	7	+	11.2805	6.57e-05	0.476	Promoter	1	346837	347361	525	1	-464	19883131	XM_008595216.1	XP_008593438.1	golgi apparatus membrane protein TVP23
BBA_00119	NW_007930836.1	347419	347425	7	-	11.2805	6.57e-05	0.476	Promoter	1	346837	347361	525	1	588	19883131	XM_008595216.1	XP_008593438.1	golgi apparatus membrane protein TVP23
BBA_00120	NW_007930836.1	348353	348359	7	+	11.6829	2.96e-05	0.375	Promoter	1	347854	349183	1330	2	824	19883132	XM_008595217.1	XP_008593439.1	uncharacterized protein
BBA_00120	NW_007930836.1	349104	349110	7	-	11.6829	2.96e-05	0.375	Promoter	1	347854	349183	1330	2	79	19883132	XM_008595217.1	XP_008593439.1	uncharacterized protein
BBA_00121	NW_007930836.1	353281	353287	7	-	11.2805	6.57e-05	0.476	Exon (XM_008595218.1/BBA_00121, exon 1 of 1)	1	351113	354688	3576	2	1407	19883133	XM_008595218.1	XP_008593440.1	transmembrane and coiled-coil domain-containing protein
BBA_00121	NW_007930836.1	355500	355506	7	-	11.2805	6.57e-05	0.476	Promoter	1	351113	354688	3576	2	-818	19883133	XM_008595218.1	XP_008593440.1	transmembrane and coiled-coil domain-containing protein
BBA_00121	NW_007930836.1	355456	355462	7	-	11.6829	2.96e-05	0.375	Promoter	1	351113	354688	3576	2	-774	19883133	XM_008595218.1	XP_008593440.1	transmembrane and coiled-coil domain-containing protein
BBA_00124	NW_007930836.1	359630	359636	7	+	11.2805	6.57e-05	0.476	Promoter	1	358719	360065	1347	2	429	19883136	XM_008595221.1	XP_008593443.1	rRNA-processing protein UTP23
BBA_00125	NW_007930836.1	361844	361850	7	-	11.2805	6.57e-05	0.476	Promoter	1	362632	368584	5953	1	-788	19883137	XM_008595222.1	XP_008593444.1	PH domain-containing protein
BBA_00125	NW_007930836.1	365932	365938	7	+	11.6829	2.96e-05	0.375	Intron (XM_008595222.1/BBA_00125, intron 4 of 6)	1	362632	368584	5953	1	3300	19883137	XM_008595222.1	XP_008593444.1	PH domain-containing protein
BBA_00125	NW_007930836.1	361697	361703	7	-	11.2805	6.57e-05	0.476	Promoter	1	362632	368584	5953	1	-935	19883137	XM_008595222.1	XP_008593444.1	PH domain-containing protein
BBA_00126	NW_007930836.1	372510	372516	7	+	11.2805	6.57e-05	0.476	Exon (XM_008595223.1/BBA_00126, exon 3 of 3)	1	369658	373338	3681	1	2852	19883138	XM_008595223.1	XP_008593445.1	protein kinase, putative
BBA_00127	NW_007930836.1	378673	378679	7	-	11.2805	6.57e-05	0.476	Exon (XM_008595225.1/BBA_00128, exon 4 of 4)	1	374371	377320	2950	2	-1359	19883139	XM_008595224.1	XP_008593446.1	uncharacterized protein
BBA_00131	NW_007930836.1	385049	385055	7	-	11.6829	2.96e-05	0.375	Exon (XM_008595228.1/BBA_00131, exon 8 of 8)	1	384809	386272	1464	2	1223	19883143	XM_008595228.1	XP_008593450.1	RNA recognition domain-containing protein
BBA_00136	NW_007930836.1	393858	393864	7	-	11.2805	6.57e-05	0.476	Promoter	1	392507	393532	1026	2	-332	19883148	XM_008595233.1	XP_008593455.1	TH14-3-3 protein
BBA_00136	NW_007930836.1	392583	392589	7	-	11.6829	2.96e-05	0.375	Promoter	1	392507	393532	1026	2	949	19883148	XM_008595233.1	XP_008593455.1	TH14-3-3 protein
BBA_00141	NW_007930836.1	406971	406977	7	-	11.2805	6.57e-05	0.476	Exon (XM_008595238.1/BBA_00141, exon 3 of 3)	1	406623	408684	2062	2	1713	19883153	XM_008595238.1	XP_008593460.1	uncharacterized protein
BBA_00143	NW_007930836.1	412560	412566	7	-	11.6829	2.96e-05	0.375	Downstream (<=300bp)	1	412600	414179	1580	2	1619	19883155	XM_008595240.1	XP_008593462.1	ubiquitin-conjugating enzyme
BBA_00143	NW_007930836.1	412974	412980	7	-	11.2805	6.57e-05	0.476	Intron (XM_008595240.1/BBA_00143, intron 3 of 3)	1	412600	414179	1580	2	1205	19883155	XM_008595240.1	XP_008593462.1	ubiquitin-conjugating enzyme
BBA_00146	NW_007930836.1	423264	423270	7	+	11.6829	2.96e-05	0.375	Promoter	1	421381	423528	2148	2	258	19883158	XM_008595243.1	XP_008593465.1	ELMO/CED-12 family protein
BBA_00147	NW_007930836.1	424960	424966	7	-	11.6829	2.96e-05	0.375	Distal Intergenic	1	425367	426164	798	2	1204	19883159	XM_008595244.1	XP_008593466.1	cutinase-2 protein
BBA_00148	NW_007930836.1	428305	428311	7	+	11.6829	2.96e-05	0.375	Promoter	1	428313	430267	1955	1	-2	19883160	XM_008595245.1	XP_008593467.1	homeobox domain-containing protein
BBA_00149	NW_007930836.1	433285	433291	7	-	11.6829	2.96e-05	0.375	Promoter	1	431727	433778	2052	2	493	19883161	XM_008595246.1	XP_008593468.1	ATP-NAD kinase
BBA_00152	NW_007930836.1	443354	443360	7	-	11.2805	6.57e-05	0.476	Promoter	1	440946	442502	1557	2	-858	19883164	XM_008595249.1	XP_008593471.1	uncharacterized protein
