seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS
NW_007930873.1	1771	1781	11	-	16.5644	4.51e-07	0.266	Distal Intergenic	38	9419	9794	376	1	BBA_08664	-7648
NW_007930845.1	2621	2631	11	-	16.5644	4.51e-07	0.266	Promoter	10	2651	7601	4951	1	BBA_04348	-30
NW_007930906.1	2864	2874	11	-	16.5644	4.51e-07	0.266	Distal Intergenic	71	5035	5947	913	1	BBA_09847	-2171
NW_007930896.1	4682	4692	11	-	16.5644	4.51e-07	0.266	Distal Intergenic	61	2346	3646	1301	2	BBA_09634	-1046
NW_007930879.1	4832	4842	11	+	16.5644	4.51e-07	0.266	Promoter	44	4009	4747	739	2	BBA_09026	-85
NW_007930868.1	5167	5177	11	+	16.5644	4.51e-07	0.266	Distal Intergenic	33	6986	11894	4909	1	BBA_08268	-1809
NW_007930856.1	6779	6789	11	-	16.5644	4.51e-07	0.266	Promoter	21	6902	7900	999	1	BBA_06805	-123
NW_007930952.1	8849	8859	11	+	16.5644	4.51e-07	0.266	Distal Intergenic	117	3473	4220	748	2	BBA_10290	-4629
NW_007930894.1	12589	12599	11	-	16.5644	4.51e-07	0.266	Distal Intergenic	59	14335	16290	1956	1	BBA_09583	-1746
NW_007930903.1	12921	12931	11	+	16.5644	4.51e-07	0.266	Distal Intergenic	68	16968	19186	2219	2	BBA_09786	6255
NW_007930843.1	17489	17499	11	-	16.5644	4.51e-07	0.266	Distal Intergenic	8	15768	16205	438	2	BBA_03635	-1294
NW_007930948.1	17558	17568	11	+	16.5644	4.51e-07	0.266	Distal Intergenic	113	15650	16553	904	2	BBA_10274	-1005
NW_007930873.1	20266	20276	11	-	16.5644	4.51e-07	0.266	Distal Intergenic	38	17489	18904	1416	2	BBA_08667	-1372
NW_007930914.1	21972	21982	11	-	16.5644	4.51e-07	0.266	Promoter	79	19877	21062	1186	2	BBA_09991	-920
NW_007930922.1	22855	22865	11	-	16.5644	4.51e-07	0.266	Distal Intergenic	87	18308	20624	2317	2	BBA_10096	-2241
NW_007930873.1	24194	24204	11	-	16.5644	4.51e-07	0.266	Distal Intergenic	38	17489	18904	1416	2	BBA_08667	-5300
NW_007930902.1	26251	26261	11	+	16.5644	4.51e-07	0.266	Distal Intergenic	67	32790	36154	3365	2	BBA_09781	9893
NW_007930867.1	29996	30006	11	-	16.5644	4.51e-07	0.266	Intron (XM_008603276.1/BBA_08179, intron 4 of 9)	32	24759	32012	7254	2	BBA_08179	2016
NW_007930873.1	33899	33909	11	-	16.5644	4.51e-07	0.266	Distal Intergenic	38	17489	18904	1416	2	BBA_08667	-15005
NW_007930873.1	39030	39040	11	+	16.5644	4.51e-07	0.266	Distal Intergenic	38	54807	58854	4048	1	BBA_08668	-15767
NW_007930873.1	49218	49228	11	-	16.5644	4.51e-07	0.266	Distal Intergenic	38	54807	58854	4048	1	BBA_08668	-5589
NW_007930902.1	59781	59791	11	-	16.5644	4.51e-07	0.266	Intron (XM_008604879.1/BBA_09782, intron 13 of 55)	67	56299	68789	12491	1	BBA_09782	3492
NW_007930864.1	76771	76781	11	-	16.5644	4.51e-07	0.266	Intron (XM_008602996.1/BBA_07899, intron 3 of 3)	29	75340	78518	3179	1	BBA_07899	1441
NW_007930869.1	77100	77110	11	-	16.5644	4.51e-07	0.266	Promoter	34	77982	79424	1443	1	BBA_08363	-882
NW_007930889.1	77453	77463	11	+	16.5644	4.51e-07	0.266	Promoter	54	76492	76779	288	1	BBA_09458	961
NW_007930841.1	89247	89257	11	-	16.5644	4.51e-07	0.266	Promoter	6	87363	89086	1724	2	BBA_02775	-171
NW_007930886.1	110089	110099	11	+	16.5644	4.51e-07	0.266	Distal Intergenic	51	106591	108220	1630	2	BBA_09364	-1869
NW_007930847.1	128873	128883	11	+	16.5644	4.51e-07	0.266	Promoter	12	127156	128498	1343	2	BBA_04943	-375
NW_007930876.1	157814	157824	11	-	16.5644	4.51e-07	0.266	Promoter	41	155765	157135	1371	2	BBA_08885	-689
NW_007930857.1	167906	167916	11	+	16.5644	4.51e-07	0.266	Distal Intergenic	22	160471	163476	3006	2	BBA_06998	-4430
NW_007930851.1	190296	190306	11	-	16.5644	4.51e-07	0.266	Downstream (<=300bp)	16	189000	190190	1191	1	BBA_05864	1306
NW_007930859.1	196831	196841	11	+	16.5644	4.51e-07	0.266	Promoter	24	195115	195992	878	2	BBA_07343	-839
NW_007930842.1	202600	202610	11	-	16.5644	4.51e-07	0.266	Downstream (<=300bp)	7	202864	204250	1387	2	BBA_03276	1650
NW_007930861.1	267001	267011	11	-	16.5644	4.51e-07	0.266	Promoter	26	266702	267647	946	2	BBA_07638	646
NW_007930846.1	271066	271076	11	+	16.5644	4.51e-07	0.266	Distal Intergenic	11	268017	269035	1019	2	BBA_04727	-2031
NW_007930867.1	290048	290058	11	-	16.5644	4.51e-07	0.266	Promoter	32	288558	289133	576	2	BBA_08265	-925
NW_007930851.1	298639	298649	11	+	16.5644	4.51e-07	0.266	Promoter	16	299072	299426	355	2	BBA_05907	777
NW_007930840.1	309145	309155	11	-	16.5644	4.51e-07	0.266	Promoter	5	309262	310158	897	1	BBA_02397	-117
NW_007930862.1	322200	322210	11	+	16.5644	4.51e-07	0.266	Distal Intergenic	27	319397	320470	1074	1	BBA_07769	2803
NW_007930845.1	322682	322692	11	-	16.5644	4.51e-07	0.266	Promoter	10	320114	321758	1645	2	BBA_04448	-934
NW_007930864.1	325594	325604	11	-	16.5644	4.51e-07	0.266	Distal Intergenic	29	323383	324984	1602	1	BBA_07973	2221
NW_007930862.1	335510	335520	11	-	16.5644	4.51e-07	0.266	Distal Intergenic	27	319397	320470	1074	1	BBA_07769	16123
NW_007930862.1	337439	337449	11	+	16.5644	4.51e-07	0.266	Distal Intergenic	27	319397	320470	1074	1	BBA_07769	18042
NW_007930862.1	342962	342972	11	-	16.5644	4.51e-07	0.266	Distal Intergenic	27	319397	320470	1074	1	BBA_07769	23575
NW_007930862.1	344658	344668	11	+	16.5644	4.51e-07	0.266	Distal Intergenic	27	319397	320470	1074	1	BBA_07769	25261
NW_007930862.1	349011	349021	11	-	16.5644	4.51e-07	0.266	Distal Intergenic	27	319397	320470	1074	1	BBA_07769	29624
NW_007930862.1	349676	349686	11	-	16.5644	4.51e-07	0.266	Distal Intergenic	27	319397	320470	1074	1	BBA_07769	30289
NW_007930862.1	352936	352946	11	-	16.5644	4.51e-07	0.266	Distal Intergenic	27	384453	385116	664	1	BBA_07770	-31517
NW_007930861.1	357799	357809	11	+	16.5644	4.51e-07	0.266	Distal Intergenic	26	352639	354537	1899	2	BBA_07665	-3262
NW_007930862.1	362661	362671	11	-	16.5644	4.51e-07	0.266	Distal Intergenic	27	384453	385116	664	1	BBA_07770	-21792
NW_007930862.1	368205	368215	11	+	16.5644	4.51e-07	0.266	Distal Intergenic	27	384453	385116	664	1	BBA_07770	-16238
NW_007930862.1	369326	369336	11	-	16.5644	4.51e-07	0.266	Distal Intergenic	27	384453	385116	664	1	BBA_07770	-15127
NW_007930861.1	371277	371287	11	-	16.5644	4.51e-07	0.266	Distal Intergenic	26	385799	386416	618	2	BBA_07666	15139
NW_007930861.1	378727	378737	11	-	16.5644	4.51e-07	0.266	Distal Intergenic	26	385799	386416	618	2	BBA_07666	7689
NW_007930839.1	386335	386345	11	-	16.5644	4.51e-07	0.266	Distal Intergenic	4	388798	390529	1732	1	BBA_01914	-2463
NW_007930855.1	389935	389945	11	+	16.5644	4.51e-07	0.266	Downstream (<=300bp)	20	388186	389892	1707	1	BBA_06757	1749
NW_007930859.1	390317	390327	11	+	16.5644	4.51e-07	0.266	Promoter	24	390480	391549	1070	1	BBA_07411	-153
NW_007930857.1	411799	411809	11	-	16.5644	4.51e-07	0.266	Promoter	22	409276	411106	1831	2	BBA_07068	-703
NW_007930847.1	432350	432360	11	+	16.5644	4.51e-07	0.266	Distal Intergenic	12	432413	434116	1704	2	BBA_05023	1756
NW_007930856.1	452240	452250	11	-	16.5644	4.51e-07	0.266	Promoter	21	452910	453896	987	1	BBA_06938	-670
NW_007930840.1	458582	458592	11	+	16.5644	4.51e-07	0.266	Promoter	5	457531	458278	748	2	BBA_02436	-304
NW_007930841.1	462341	462351	11	+	16.5644	4.51e-07	0.266	Promoter	6	462897	463901	1005	1	BBA_02889	-546
NW_007930838.1	465180	465190	11	+	16.5644	4.51e-07	0.266	Promoter	3	463266	464618	1353	2	BBA_01383	-562
NW_007930845.1	469057	469067	11	-	16.5644	4.51e-07	0.266	Downstream (<=300bp)	10	467897	468933	1037	1	BBA_04492	1170
NW_007930852.1	494234	494244	11	-	16.5644	4.51e-07	0.266	Distal Intergenic	17	494631	497547	2917	2	BBA_06159	3313
NW_007930839.1	506522	506532	11	-	16.5644	4.51e-07	0.266	Distal Intergenic	4	501209	505129	3921	2	BBA_01947	-1403
NW_007930845.1	572808	572818	11	-	16.5644	4.51e-07	0.266	Promoter	10	573353	575136	1784	1	BBA_04514	-545
NW_007930850.1	623058	623068	11	+	16.5644	4.51e-07	0.266	Promoter	15	621519	622823	1305	2	BBA_05783	-235
NW_007930850.1	623061	623071	11	-	16.5644	4.51e-07	0.266	Promoter	15	621519	622823	1305	2	BBA_05783	-248
NW_007930839.1	642995	643005	11	+	16.5644	4.51e-07	0.266	Promoter	4	642356	643576	1221	2	BBA_01993	571
NW_007930844.1	704082	704092	11	-	16.5644	4.51e-07	0.266	Promoter	9	702512	703225	714	2	BBA_04217	-867
NW_007930843.1	765385	765395	11	-	16.5644	4.51e-07	0.266	Distal Intergenic	8	765840	767022	1183	2	BBA_03878	1637
NW_007930841.1	786764	786774	11	+	16.5644	4.51e-07	0.266	Promoter	6	786983	787975	993	1	BBA_03001	-209
NW_007930838.1	794871	794881	11	+	16.5644	4.51e-07	0.266	Distal Intergenic	3	793379	794546	1168	1	BBA_01481	1492
NW_007930842.1	847507	847517	11	-	16.5644	4.51e-07	0.266	Promoter	7	846563	847345	783	2	BBA_03494	-172
NW_007930837.1	932780	932790	11	-	16.5644	4.51e-07	0.266	Distal Intergenic	2	926588	927681	1094	2	BBA_00936	-5109
NW_007930840.1	942943	942953	11	-	16.5644	4.51e-07	0.266	Promoter	5	940914	942447	1534	2	BBA_02586	-506
NW_007930841.1	1017301	1017311	11	+	16.5644	4.51e-07	0.266	Promoter	6	1016649	1018455	1807	1	BBA_03078	652
NW_007930839.1	1054791	1054801	11	-	16.5644	4.51e-07	0.266	Distal Intergenic	4	1051771	1052479	709	2	BBA_02122	-2322
NW_007930839.1	1054817	1054827	11	+	16.5644	4.51e-07	0.266	Distal Intergenic	4	1051771	1052479	709	2	BBA_02122	-2338
NW_007930839.1	1063990	1064000	11	-	16.5644	4.51e-07	0.266	Downstream (<=300bp)	4	1064006	1065689	1684	2	BBA_02124	1699
NW_007930843.1	1089933	1089943	11	+	16.5644	4.51e-07	0.266	Distal Intergenic	8	1088687	1089307	621	1	BBA_03972	1246
NW_007930843.1	1089936	1089946	11	-	16.5644	4.51e-07	0.266	Distal Intergenic	8	1088687	1089307	621	1	BBA_03972	1259
NW_007930841.1	1284569	1284579	11	-	16.5644	4.51e-07	0.266	Distal Intergenic	6	1286747	1287803	1057	1	BBA_03164	-2178
NW_007930837.1	1372902	1372912	11	+	16.5644	4.51e-07	0.266	Promoter	2	1372308	1373059	752	1	BBA_01052	594
NW_007930837.1	1686589	1686599	11	+	16.5644	4.51e-07	0.266	Distal Intergenic	2	1685275	1686260	986	1	BBA_01163	1314
NW_007930837.1	1790497	1790507	11	-	16.5644	4.51e-07	0.266	Promoter	2	1791100	1791782	683	1	BBA_01189	-603
NW_007930837.1	1849512	1849522	11	+	16.5644	4.51e-07	0.266	Promoter	2	1847959	1849388	1430	2	BBA_01206	-124
NW_007930855.1	277	287	11	+	16.396	9.99e-07	0.266	Distal Intergenic	20	1377	1865	489	2	BBA_06633	1578
NW_007930855.1	278	288	11	-	16.396	9.99e-07	0.266	Distal Intergenic	20	1377	1865	489	2	BBA_06633	1587
NW_007930876.1	627	637	11	+	16.396	9.99e-07	0.266	Distal Intergenic	41	1821	2808	988	1	BBA_08830	-1184
NW_007930876.1	628	638	11	-	16.396	9.99e-07	0.266	Distal Intergenic	41	1821	2808	988	1	BBA_08830	-1193
NW_007930840.1	1743	1753	11	+	16.396	9.99e-07	0.266	Distal Intergenic	5	14020	15579	1560	1	BBA_02310	-12267
NW_007930968.1	2000	2010	11	-	16.396	9.99e-07	0.266	Distal Intergenic	131	4084	5021	938	2	BBA_10328	3021
NW_007930950.1	2351	2361	11	-	16.396	9.99e-07	0.266	Distal Intergenic	115	4710	7470	2761	1	BBA_10281	-2359
NW_007930906.1	2859	2869	11	+	16.396	9.99e-07	0.266	Distal Intergenic	71	5035	5947	913	1	BBA_09847	-2166
NW_007930844.1	2980	2990	11	+	16.396	9.99e-07	0.266	Distal Intergenic	9	8402	10166	1765	2	BBA_03998	7176
NW_007930844.1	2981	2991	11	-	16.396	9.99e-07	0.266	Distal Intergenic	9	8402	10166	1765	2	BBA_03998	7185
NW_007930940.1	3471	3481	11	-	16.396	9.99e-07	0.266	Distal Intergenic	105	5653	6429	777	2	BBA_10236	2958
NW_007930918.1	6406	6416	11	-	16.396	9.99e-07	0.266	Distal Intergenic	83	2173	3970	1798	2	BBA_10040	-2446
NW_007930969.1	6845	6855	11	-	16.396	9.99e-07	0.266	Promoter	132	4689	6173	1485	2	BBA_10331	-682
