locus_tag	seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	distanceToTSS	GeneID	transcript_id	protein_id	product
BBA_00001	NW_007930836.1	5213	5220	8	-	12.0408	3.18e-05	1	Promoter (1-2kb)	1	3335	3683	349	1	1885	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00001	NW_007930836.1	3273	3280	8	-	11.3673	7.4e-05	1	Promoter (<=1kb)	1	3335	3683	349	1	-62	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00002	NW_007930836.1	7316	7323	8	+	11.3673	7.4e-05	1	Promoter (<=1kb)	1	5664	7104	1441	2	-212	19883014	XM_008595099.1	XP_008593321.1	ABC transporter
BBA_00003	NW_007930836.1	9312	9319	8	+	11.2041	8.6e-05	1	Promoter (<=1kb)	1	8108	8869	762	2	-443	19883015	XM_008595100.1	XP_008593322.1	uncharacterized protein
BBA_00003	NW_007930836.1	10478	10485	8	+	11.0816	9.81e-05	1	Promoter (1-2kb)	1	8108	8869	762	2	-1609	19883015	XM_008595100.1	XP_008593322.1	uncharacterized protein
BBA_00004	NW_007930836.1	10981	10988	8	+	11.0816	9.81e-05	1	Promoter (1-2kb)	1	12136	13042	907	1	-1148	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00007	NW_007930836.1	22609	22616	8	+	11.0816	9.81e-05	1	Promoter (<=1kb)	1	23340	25184	1845	1	-724	19883019	XM_008595104.1	XP_008593326.1	iron only hydrogenase large subunit domain-containing protein
BBA_00011	NW_007930836.1	35093	35100	8	+	12.0408	3.18e-05	1	Promoter (2-3kb)	1	33013	35806	2794	1	2080	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00023	NW_007930836.1	70989	70996	8	+	11.0816	9.81e-05	1	Promoter (<=1kb)	1	71296	72546	1251	1	-300	19883035	XM_008595120.1	XP_008593342.1	uncharacterized protein
BBA_00024	NW_007930836.1	76154	76161	8	+	11.9184	4.17e-05	1	Promoter (<=1kb)	1	75584	76846	1263	1	570	19883036	XM_008595121.1	XP_008593343.1	uncharacterized protein
BBA_00024	NW_007930836.1	75746	75753	8	+	11.0816	9.81e-05	1	Promoter (<=1kb)	1	75584	76846	1263	1	162	19883036	XM_008595121.1	XP_008593343.1	uncharacterized protein
BBA_00027	NW_007930836.1	81410	81417	8	-	12.9694	9.9e-06	1	Promoter (1-2kb)	1	80124	81112	989	1	1293	19883039	XM_008595124.1	XP_008593346.1	Mitochondrial glycoprotein
BBA_00030	NW_007930836.1	89213	89220	8	-	11.0816	9.81e-05	1	Promoter (<=1kb)	1	88075	90170	2096	2	957	19883042	XM_008595127.1	XP_008593349.1	AMP-binding enzyme, putative
BBA_00031	NW_007930836.1	92000	92007	8	+	11.0816	9.81e-05	1	Promoter (<=1kb)	1	92358	93023	666	1	-351	19883043	XM_008595128.1	XP_008593350.1	uncharacterized protein
BBA_00032	NW_007930836.1	98838	98845	8	-	12.0408	3.18e-05	1	Promoter (2-3kb)	1	94827	95943	1117	2	-2902	19883044	XM_008595129.1	XP_008593351.1	uncharacterized protein
BBA_00036	NW_007930836.1	110567	110574	8	-	12.0408	3.18e-05	1	Promoter (<=1kb)	1	110439	111308	870	2	741	19883048	XM_008595133.1	XP_008593355.1	Ras family protein
