locus_tag	seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	distanceToTSS	GeneID	transcript_id	protein_id	product
BBA_00001	NW_007930836.1	296	308	13	-	10.1313	7.22e-05	1	Promoter (3-4kb)	1	3335	3683	349	1	-3039	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00005	NW_007930836.1	17347	17359	13	+	10.6061	4.08e-05	1	Promoter (2-3kb)	1	15330	20029	4700	1	2017	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00019	NW_007930836.1	61329	61341	13	+	10.1414	7.1e-05	1	Promoter (2-3kb)	1	57711	58663	953	2	-2666	19883031	XM_008595116.1	XP_008593338.1	tat pathway signal sequence
BBA_00019	NW_007930836.1	61300	61312	13	+	10.3939	5.31e-05	1	Promoter (2-3kb)	1	57711	58663	953	2	-2637	19883031	XM_008595116.1	XP_008593338.1	tat pathway signal sequence
BBA_00025	NW_007930836.1	77410	77422	13	-	10.0101	8.15e-05	1	Promoter (<=1kb)	1	77430	78098	669	2	688	19883037	XM_008595122.1	XP_008593344.1	uncharacterized protein
BBA_00028	NW_007930836.1	84250	84262	13	-	11.5556	1.16e-05	1	Promoter (<=1kb)	1	81860	83583	1724	2	-679	19883040	XM_008595125.1	XP_008593347.1	oxysterol-binding family protein
BBA_00029	NW_007930836.1	85235	85247	13	+	9.86869	9.75e-05	1	Promoter (<=1kb)	1	85654	87786	2133	1	-407	19883041	XM_008595126.1	XP_008593348.1	pumilio-family RNA binding repeat domain-containing protein
BBA_00030	NW_007930836.1	90296	90308	13	+	10.1212	7.29e-05	1	Promoter (<=1kb)	1	88075	90170	2096	2	-126	19883042	XM_008595127.1	XP_008593349.1	AMP-binding enzyme, putative
BBA_00034	NW_007930836.1	108688	108700	13	-	12.4747	1.84e-06	1	Promoter (<=1kb)	1	106279	108060	1782	2	-640	19883046	XM_008595131.1	XP_008593353.1	group II pyridoxal-5-phosphate decarboxylase
BBA_00037	NW_007930836.1	114841	114853	13	+	9.89899	9.44e-05	1	Promoter (<=1kb)	1	113425	114147	723	2	-694	19883049	XM_008595134.1	XP_008593356.1	gp24-like protein
BBA_00041	NW_007930836.1	122741	122753	13	-	10.5354	4.37e-05	1	Promoter (<=1kb)	1	123417	124953	1537	1	-676	19883053	XM_008595138.1	XP_008593360.1	WD domain-containing protein
BBA_00047	NW_007930836.1	136688	136700	13	-	10.8283	3.09e-05	1	Promoter (<=1kb)	1	135407	136672	1266	2	-28	19883059	XM_008595144.1	XP_008593366.1	Cel5b-like protein
BBA_00047	NW_007930836.1	135215	135227	13	-	11.1515	2.11e-05	1	Promoter (1-2kb)	1	135407	136672	1266	2	1457	19883059	XM_008595144.1	XP_008593366.1	Cel5b-like protein
BBA_00049	NW_007930836.1	143744	143756	13	+	10.4646	4.84e-05	1	Promoter (1-2kb)	1	140006	141980	1975	2	-1764	19883061	XM_008595146.1	XP_008593368.1	transporter-like protein
BBA_00050	NW_007930836.1	145702	145714	13	-	9.87879	9.62e-05	1	Promoter (<=1kb)	1	143876	146215	2340	2	513	19883062	XM_008595147.1	XP_008593369.1	Cys2-His2 zinc finger transcription factor ACEI
BBA_00051	NW_007930836.1	148975	148987	13	-	9.9697	8.56e-05	1	Promoter (1-2kb)	1	150227	151027	801	1	-1252	19883063	XM_008595148.1	XP_008593370.1	uncharacterized protein
BBA_00059	NW_007930836.1	165996	166008	13	+	10.6566	3.86e-05	1	Promoter (<=1kb)	1	166586	167842	1257	1	-578	19883071	XM_008595156.1	XP_008593378.1	FAD binding domain containing protein
BBA_00059	NW_007930836.1	166632	166644	13	-	10.202	6.64e-05	1	Promoter (<=1kb)	1	166586	167842	1257	1	58	19883071	XM_008595156.1	XP_008593378.1	FAD binding domain containing protein
BBA_00063	NW_007930836.1	179806	179818	13	-	11.6566	1.05e-05	1	Promoter (<=1kb)	1	178123	178827	705	2	-991	19883075	XM_008595160.1	XP_008593382.1	AMP-binding enzyme, putative
BBA_00064	NW_007930836.1	182596	182608	13	-	10.3939	5.31e-05	1	Promoter (1-2kb)	1	184120	184979	860	1	-1524	19883076	XM_008595161.1	XP_008593383.1	uncharacterized protein
BBA_00067	NW_007930836.1	190617	190629	13	-	9.94949	8.73e-05	1	Promoter (1-2kb)	1	190905	192006	1102	2	1389	19883079	XM_008595164.1	XP_008593386.1	2-nitropropane dioxygenase
BBA_00072	NW_007930836.1	207782	207794	13	-	9.9899	8.38e-05	1	Promoter (1-2kb)	1	208955	214143	5189	1	-1173	19883084	XM_008595169.1	XP_008593391.1	C6 transcription factor
BBA_00072	NW_007930836.1	209008	209020	13	-	10.4242	5.11e-05	1	Promoter (<=1kb)	1	208955	214143	5189	1	65	19883084	XM_008595169.1	XP_008593391.1	C6 transcription factor
BBA_00073	NW_007930836.1	213220	213232	13	-	10.0808	7.61e-05	1	Promoter (1-2kb)	1	214545	215826	1282	1	-1325	19883085	XM_008595170.1	XP_008593392.1	methylitaconate delta2-delta3-isomerase
BBA_00074	NW_007930836.1	217511	217523	13	+	10.4141	5.16e-05	1	Promoter (<=1kb)	1	217819	219812	1994	1	-296	19883086	XM_008595171.1	XP_008593393.1	von Willebrand domain-containing protein
BBA_00082	NW_007930836.1	240902	240914	13	+	10.4242	5.11e-05	1	Promoter (<=1kb)	1	241295	241921	627	1	-381	19883094	XM_008595179.1	XP_008593401.1	uncharacterized protein
BBA_00083	NW_007930836.1	244624	244636	13	+	10.2222	6.39e-05	1	Promoter (<=1kb)	1	244052	244462	411	1	572	19883095	XM_008595180.1	XP_008593402.1	uncharacterized protein
BBA_00089	NW_007930836.1	262812	262824	13	+	11.1717	2.03e-05	1	Promoter (2-3kb)	1	260154	260459	306	2	-2353	19883101	XM_008595186.1	XP_008593408.1	uncharacterized protein
BBA_00089	NW_007930836.1	259058	259070	13	+	9.90909	9.34e-05	1	Promoter (1-2kb)	1	260154	260459	306	2	1389	19883101	XM_008595186.1	XP_008593408.1	uncharacterized protein
BBA_00095	NW_007930836.1	276532	276544	13	-	10.3131	5.73e-05	1	Promoter (<=1kb)	1	277109	278999	1891	1	-577	19883107	XM_008595192.1	XP_008593414.1	oxidoreductase molybdopterin binding domain-containing protein
BBA_00103	NW_007930836.1	302083	302095	13	+	9.89899	9.44e-05	1	Promoter (1-2kb)	1	300312	300997	686	2	-1086	19883115	XM_008595200.1	XP_008593422.1	uncharacterized protein
BBA_00103	NW_007930836.1	301773	301785	13	-	9.9596	8.65e-05	1	Promoter (<=1kb)	1	300312	300997	686	2	-788	19883115	XM_008595200.1	XP_008593422.1	uncharacterized protein
BBA_00108	NW_007930836.1	319678	319690	13	+	11.7677	7.79e-06	1	Promoter (1-2kb)	1	318113	319339	1227	1	1565	19883120	XM_008595205.1	XP_008593427.1	uncharacterized protein
BBA_00110	NW_007930836.1	326283	326295	13	-	11.9697	5.75e-06	1	Promoter (<=1kb)	1	325534	326234	701	2	-61	19883122	XM_008595207.1	XP_008593429.1	uncharacterized protein
BBA_00116	NW_007930836.1	335568	335580	13	-	11.2424	1.82e-05	1	Promoter (<=1kb)	1	335165	337271	2107	1	415	19883128	XM_008595213.1	XP_008593435.1	ChaC-like protein
BBA_00117	NW_007930836.1	337641	337653	13	+	11.1111	2.2e-05	1	Promoter (1-2kb)	1	338056	339025	970	2	1372	19883129	XM_008595214.1	XP_008593436.1	RNA recognition domain-containing protein
BBA_00119	NW_007930836.1	347791	347803	13	+	10.6061	4.08e-05	1	Promoter (<=1kb)	1	346837	347361	525	1	954	19883131	XM_008595216.1	XP_008593438.1	golgi apparatus membrane protein TVP23
BBA_00119	NW_007930836.1	347538	347550	13	+	9.84848	9.94e-05	1	Promoter (<=1kb)	1	346837	347361	525	1	701	19883131	XM_008595216.1	XP_008593438.1	golgi apparatus membrane protein TVP23
BBA_00120	NW_007930836.1	350951	350963	13	+	10.4949	4.66e-05	1	Promoter (1-2kb)	1	347854	349183	1330	2	-1768	19883132	XM_008595217.1	XP_008593439.1	uncharacterized protein
BBA_00139	NW_007930836.1	400173	400185	13	-	10.3939	5.31e-05	1	Promoter (<=1kb)	1	400740	402105	1366	1	-567	19883151	XM_008595236.1	XP_008593458.1	uncharacterized protein
BBA_00142	NW_007930836.1	409936	409948	13	+	11.9697	5.75e-06	1	Promoter (<=1kb)	1	410540	411720	1181	1	-592	19883154	XM_008595239.1	XP_008593461.1	glycosyltransferase family 62
BBA_00143	NW_007930836.1	412451	412463	13	+	9.92929	9.02e-05	1	Promoter (1-2kb)	1	412600	414179	1580	2	1716	19883155	XM_008595240.1	XP_008593462.1	ubiquitin-conjugating enzyme
BBA_00145	NW_007930836.1	420988	421000	13	-	10.1414	7.1e-05	1	Promoter (2-3kb)	1	418157	418687	531	2	-2313	19883157	XM_008595242.1	XP_008593464.1	prenylated Rab acceptor 1
BBA_00146	NW_007930836.1	424169	424181	13	-	10.3737	5.44e-05	1	Promoter (<=1kb)	1	421381	423528	2148	2	-653	19883158	XM_008595243.1	XP_008593465.1	ELMO/CED-12 family protein
BBA_00146	NW_007930836.1	423986	423998	13	+	10.6768	3.77e-05	1	Promoter (<=1kb)	1	421381	423528	2148	2	-458	19883158	XM_008595243.1	XP_008593465.1	ELMO/CED-12 family protein
