seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS
NW_007930930.1	542	550	9	+	15.4587	4.03e-06	0.664	Distal Intergenic	95	7235	8371	1137	2	BBA_10166	7821
NW_007930893.1	1045	1053	9	+	15.4587	4.03e-06	0.664	Distal Intergenic	58	2529	4150	1622	1	BBA_09552	-1476
NW_007930895.1	1073	1081	9	+	15.4587	4.03e-06	0.664	Distal Intergenic	60	2507	4129	1623	1	BBA_09609	-1426
NW_007930938.1	1498	1506	9	+	15.4587	4.03e-06	0.664	Distal Intergenic	103	2161	3621	1461	2	BBA_10225	2115
NW_007930912.1	2042	2050	9	-	15.4587	4.03e-06	0.664	Promoter	77	2422	2943	522	1	BBA_09952	-380
NW_007930866.1	2826	2834	9	+	15.4587	4.03e-06	0.664	Promoter	31	2493	4125	1633	1	BBA_08085	333
NW_007930946.1	3623	3631	9	+	15.4587	4.03e-06	0.664	Exon (XM_008605361.1/BBA_10264, exon 1 of 1)	111	2613	4493	1881	1	BBA_10264	1010
NW_007930918.1	4539	4547	9	-	15.4587	4.03e-06	0.664	Promoter	83	2173	3970	1798	2	BBA_10040	-577
NW_007930930.1	5121	5129	9	-	15.4587	4.03e-06	0.664	Distal Intergenic	95	7235	8371	1137	2	BBA_10166	3250
NW_007930930.1	5259	5267	9	-	15.4587	4.03e-06	0.664	Distal Intergenic	95	7235	8371	1137	2	BBA_10166	3112
NW_007930858.1	5864	5872	9	+	15.4587	4.03e-06	0.664	Promoter	23	238	4924	4687	2	BBA_07103	-940
NW_007930975.1	6178	6186	9	+	15.4587	4.03e-06	0.664	Promoter	137	3525	5746	2222	2	BBA_10340	-432
NW_007930866.1	6854	6862	9	-	15.4587	4.03e-06	0.664	Promoter	31	6977	10780	3804	1	BBA_08087	-123
NW_007930950.1	7950	7958	9	-	15.4587	4.03e-06	0.664	Promoter	115	8611	9467	857	1	BBA_10282	-661
NW_007930848.1	8053	8061	9	-	15.4587	4.03e-06	0.664	Distal Intergenic	13	256	2040	1785	2	BBA_05123	-6021
NW_007930964.1	8054	8062	9	-	15.4587	4.03e-06	0.664	Distal Intergenic	128	4793	6768	1976	2	BBA_10322	-1294
NW_007930896.1	9008	9016	9	+	15.4587	4.03e-06	0.664	Downstream (<=300bp)	61	6826	8923	2098	1	BBA_09636	2182
NW_007930837.1	9615	9623	9	-	15.4587	4.03e-06	0.664	Promoter	2	9189	9839	651	2	BBA_00686	224
NW_007930925.1	10012	10020	9	+	15.4587	4.03e-06	0.664	Promoter	90	7099	9704	2606	2	BBA_10116	-308
NW_007930933.1	10687	10695	9	-	15.4587	4.03e-06	0.664	Promoter	98	10812	12072	1261	1	BBA_10196	-125
NW_007930916.1	11832	11840	9	-	15.4587	4.03e-06	0.664	Promoter	81	11047	12818	1772	1	BBA_10017	793
NW_007930931.1	11982	11990	9	-	15.4587	4.03e-06	0.664	Promoter	96	9956	11801	1846	2	BBA_10175	-189
NW_007930893.1	12465	12473	9	+	15.4587	4.03e-06	0.664	Distal Intergenic	58	13633	14123	491	1	BBA_09555	-1160
NW_007930852.1	12655	12663	9	+	15.4587	4.03e-06	0.664	Promoter	17	13055	13853	799	1	BBA_06023	-392
NW_007930940.1	12990	12998	9	-	15.4587	4.03e-06	0.664	Promoter	105	13635	15388	1754	1	BBA_10240	-645
NW_007930895.1	14366	14374	9	+	15.4587	4.03e-06	0.664	Promoter	60	12579	13763	1185	2	BBA_09614	-603
NW_007930871.1	14556	14564	9	+	15.4587	4.03e-06	0.664	Exon (XM_008603630.1/BBA_08533, exon 1 of 1)	36	11570	12917	1348	1	BBA_08532	2986
NW_007930942.1	15025	15033	9	-	15.4587	4.03e-06	0.664	Promoter	107	15664	17034	1371	1	BBA_10247	-639
NW_007930920.1	16526	16534	9	-	15.4587	4.03e-06	0.664	Exon (XM_008605169.1/BBA_10072, exon 1 of 1)	85	14897	16690	1794	1	BBA_10072	1637
NW_007930890.1	17373	17381	9	+	15.4587	4.03e-06	0.664	Promoter	55	15347	16385	1039	2	BBA_09470	-988
NW_007930910.1	17658	17666	9	-	15.4587	4.03e-06	0.664	Distal Intergenic	75	16310	17183	874	1	BBA_09924	1356
NW_007930908.1	18271	18279	9	-	15.4587	4.03e-06	0.664	Distal Intergenic	73	19061	20153	1093	2	BBA_09895	1882
NW_007930929.1	18990	18998	9	+	15.4587	4.03e-06	0.664	Distal Intergenic	94	20457	22684	2228	1	BBA_10161	-1459
NW_007930838.1	19855	19863	9	+	15.4587	4.03e-06	0.664	Promoter	3	20060	20458	399	1	BBA_01246	-197
NW_007930896.1	23771	23779	9	-	15.4587	4.03e-06	0.664	Distal Intergenic	61	20995	22031	1037	1	BBA_09640	2784
NW_007930892.1	24019	24027	9	+	15.4587	4.03e-06	0.664	Promoter	57	23946	24956	1011	1	BBA_09531	73
NW_007930933.1	24515	24523	9	-	15.4587	4.03e-06	0.664	Exon (XM_008605299.1/BBA_10202, exon 2 of 2)	98	22579	24825	2247	1	BBA_10202	1944
NW_007930874.1	24869	24877	9	+	15.4587	4.03e-06	0.664	Distal Intergenic	39	25283	26355	1073	2	BBA_08720	1478
NW_007930840.1	25397	25405	9	+	15.4587	4.03e-06	0.664	Downstream (<=300bp)	5	22733	25384	2652	1	BBA_02313	2664
NW_007930850.1	25676	25684	9	+	15.4587	4.03e-06	0.664	Promoter	15	22552	25374	2823	2	BBA_05591	-302
NW_007930928.1	26387	26395	9	-	15.4587	4.03e-06	0.664	Promoter	93	24266	26022	1757	2	BBA_10151	-373
NW_007930874.1	29493	29501	9	+	15.4587	4.03e-06	0.664	Intron (XM_008603819.1/BBA_08722, intron 4 of 5)	39	27376	28194	819	2	BBA_08721	-1299
NW_007930856.1	34725	34733	9	+	15.4587	4.03e-06	0.664	Downstream (<=300bp)	21	35055	36968	1914	2	BBA_06814	2235
NW_007930871.1	34726	34734	9	-	15.4587	4.03e-06	0.664	Promoter	36	34629	35381	753	1	BBA_08539	105
NW_007930875.1	35153	35161	9	+	15.4587	4.03e-06	0.664	Promoter	40	34607	36574	1968	1	BBA_08777	546
NW_007930905.1	35541	35549	9	+	15.4587	4.03e-06	0.664	Promoter	70	35105	36667	1563	1	BBA_09836	436
NW_007930904.1	37859	37867	9	-	15.4587	4.03e-06	0.664	Distal Intergenic	69	35721	36167	447	2	BBA_09817	-1700
NW_007930857.1	38890	38898	9	-	15.4587	4.03e-06	0.664	Promoter	22	39322	41978	2657	1	BBA_06963	-432
NW_007930854.1	39489	39497	9	+	15.4587	4.03e-06	0.664	Promoter	19	37397	39238	1842	2	BBA_06424	-251
NW_007930837.1	41011	41019	9	+	15.4587	4.03e-06	0.664	Promoter	2	39681	41387	1707	2	BBA_00694	368
NW_007930847.1	41487	41495	9	-	15.4587	4.03e-06	0.664	Intron (XM_008600013.1/BBA_04916, intron 3 of 5)	12	40417	42211	1795	1	BBA_04916	1078
NW_007930853.1	41722	41730	9	+	15.4587	4.03e-06	0.664	Distal Intergenic	18	42667	43716	1050	2	BBA_06221	1986
NW_007930851.1	41891	41899	9	+	15.4587	4.03e-06	0.664	Promoter	16	41632	42477	846	2	BBA_05815	578
NW_007930890.1	44418	44426	9	+	15.4587	4.03e-06	0.664	Promoter	55	43892	45376	1485	2	BBA_09482	950
NW_007930866.1	47571	47579	9	+	15.4587	4.03e-06	0.664	Downstream (<=300bp)	31	47830	49393	1564	2	BBA_08100	1814
NW_007930853.1	48877	48885	9	+	15.4587	4.03e-06	0.664	Distal Intergenic	18	46988	47808	821	1	BBA_06223	1889
NW_007930879.1	50635	50643	9	+	15.4587	4.03e-06	0.664	Promoter	44	49771	51898	2128	1	BBA_09039	864
NW_007930891.1	51056	51064	9	+	15.4587	4.03e-06	0.664	Distal Intergenic	56	51253	52399	1147	2	BBA_09509	1335
NW_007930851.1	51607	51615	9	+	15.4587	4.03e-06	0.664	Promoter	16	51957	52771	815	1	BBA_05819	-342
NW_007930869.1	52469	52477	9	-	15.4587	4.03e-06	0.664	Promoter	34	53257	54941	1685	1	BBA_08353	-788
NW_007930856.1	52472	52480	9	-	15.4587	4.03e-06	0.664	Promoter	21	52844	54049	1206	1	BBA_06820	-372
NW_007930900.1	53326	53334	9	-	15.4587	4.03e-06	0.664	Promoter	65	53231	54246	1016	1	BBA_09748	103
NW_007930865.1	53933	53941	9	+	15.4587	4.03e-06	0.664	Distal Intergenic	30	52028	52710	683	2	BBA_07995	-1223
NW_007930852.1	54258	54266	9	-	15.4587	4.03e-06	0.664	Distal Intergenic	17	55556	56962	1407	1	BBA_06038	-1298
NW_007930838.1	55041	55049	9	+	15.4587	4.03e-06	0.664	Promoter	3	53224	54065	842	2	BBA_01257	-976
