# SignalP-6.0	Organism: Other	Timestamp: 20250304221836
# ID	Prediction	OTHER	SP(Sec/SPI)	LIPO(Sec/SPII)	TAT(Tat/SPI)	TATLIPO(Tat/SPII)	PILIN(Sec/SPIII)	CS Position
XP_008593321.1 ABC transporter _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000009	0.000000	0.000000	0.000000	0.000000	
XP_008593324.1 ABC transporter transmembrane region _Beauveria bassiana ARSEF 2860_	OTHER	0.999665	0.000326	0.000003	0.000001	0.000001	0.000003	
XP_008593325.1 uncharacterized protein BBA_00006 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000002	0.000000	0.000000	0.000000	0.000000	
XP_008593328.1 uncharacterized protein BBA_00009 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000005	0.000000	0.000000	0.000000	0.000000	
XP_008593331.1 ATP synthase H chain _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593348.1 pumilio-family RNA binding repeat domain-containing protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593350.1 uncharacterized protein BBA_00031 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593361.1 homoserine acetyltransferase family protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000008	0.000000	0.000000	0.000000	0.000000	
XP_008593383.1 uncharacterized protein BBA_00064 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593388.1 metalloprotease MEP1 _Beauveria bassiana ARSEF 2860_	SP	0.000262	0.999102	0.000160	0.000156	0.000146	0.000140	CS pos: 19-20. Pr: 0.7294
XP_008593395.1 thiamine biosynthesis protein _Thi-4_ _Beauveria bassiana ARSEF 2860_	SP	0.000659	0.998483	0.000205	0.000233	0.000206	0.000190	CS pos: 18-19. Pr: 0.9748
XP_008593396.1 tat pathway signal sequence _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000026	0.000000	0.000000	0.000000	0.000000	
XP_008593397.1 uncharacterized protein BBA_00078 _Beauveria bassiana ARSEF 2860_	OTHER	0.999975	0.000055	0.000000	0.000000	0.000000	0.000000	
XP_008593398.1 LysR family regulatory protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593407.1 C6 finger domain protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593408.1 uncharacterized protein BBA_00089 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000014	0.000000	0.000000	0.000000	0.000000	
XP_008593414.1 oxidoreductase molybdopterin binding domain-containing protein _Beauveria bassiana ARSEF 2860_	OTHER	0.998193	0.001770	0.000033	0.000008	0.000004	0.000008	
XP_008593421.1 ATP-binding protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593429.1 uncharacterized protein BBA_00110 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593430.1 uncharacterized protein BBA_00111 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593437.1 HpcH_HpaI aldolase_citrate lyase family protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593439.1 uncharacterized protein BBA_00120 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593444.1 PH domain-containing protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593446.1 uncharacterized protein BBA_00127 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593448.1 ATP synthase subunit E _Beauveria bassiana ARSEF 2860_	OTHER	0.902387	0.096111	0.000691	0.000326	0.000174	0.000311	
XP_008593466.1 cutinase-2 protein _Beauveria bassiana ARSEF 2860_	SP	0.000283	0.999095	0.000156	0.000164	0.000146	0.000140	CS pos: 15-16. Pr: 0.9578
XP_008593468.1 ATP-NAD kinase _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593471.1 uncharacterized protein BBA_00152 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593475.1 LSM domain-containing protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593485.1 TBC domain-containing protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593503.1 Nop14-like family protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593505.1 uncharacterized protein BBA_00186 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593508.1 uncharacterized protein BBA_00189 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593512.1 galactose oxidase precursor _Beauveria bassiana ARSEF 2860_	SP	0.000360	0.998964	0.000175	0.000168	0.000161	0.000151	CS pos: 21-22. Pr: 0.9720
XP_008593516.1 uncharacterized protein BBA_00197 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000013	0.000000	0.000000	0.000000	0.000000	
XP_008593520.1 uncharacterized protein BBA_00201 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593522.1 prolyl oligopeptidase family _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593524.1 uncharacterized protein BBA_00205 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000010	0.000000	0.000000	0.000000	0.000000	
XP_008593526.1 cation diffusion facilitator family transporter _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593538.1 PCI domain-containing protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593540.1 Cytochrome P450 CYP51F1 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593542.1 uncharacterized protein BBA_00223 _Beauveria bassiana ARSEF 2860_	OTHER	0.999757	0.000273	0.000018	0.000001	0.000000	0.000001	
XP_008593550.1 uncharacterized protein BBA_00231 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593554.1 peptidase A4 family protein _Beauveria bassiana ARSEF 2860_	SP	0.000231	0.999123	0.000153	0.000167	0.000151	0.000136	CS pos: 18-19. Pr: 0.9805
XP_008593560.1 Ssu72-like protein _Beauveria bassiana ARSEF 2860_	OTHER	0.999894	0.000153	0.000000	0.000000	0.000000	0.000000	
XP_008593588.1 uncharacterized protein BBA_00269 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593594.1 LSM domain-containing protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593595.1 sphingolipid long chain base sensory protein, putative _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593608.1 uncharacterized protein BBA_00289 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593610.1 COM1 protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593612.1 PIG-P domain-containing protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593614.1 uncharacterized protein BBA_00295 _Beauveria bassiana ARSEF 2860_	OTHER	0.997936	0.002013	0.000041	0.000011	0.000003	0.000009	
XP_008593615.1 RING-8 protein _Beauveria bassiana ARSEF 2860_	OTHER	0.996814	0.003116	0.000029	0.000008	0.000005	0.000029	
XP_008593618.1 uncharacterized protein BBA_00299 _Beauveria bassiana ARSEF 2860_	SP	0.000851	0.998162	0.000264	0.000256	0.000231	0.000213	CS pos: 24-25. Pr: 0.9728
XP_008593622.1 endoglucanase, putative _Beauveria bassiana ARSEF 2860_	OTHER	0.999898	0.000124	0.000001	0.000000	0.000000	0.000003	
XP_008593624.1 Cytochrome P450 CYP628A2 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593636.1 transcription initiation factor IID _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593642.1 inosine-5_-monophosphate dehydrogenase _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593791.1 3-dehydroquinate synthase _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593795.1 SH3 domain-containing protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000005	0.000000	0.000000	0.000000	0.000000	
XP_008593796.1 uncharacterized protein BBA_00477 _Beauveria bassiana ARSEF 2860_	OTHER	0.999990	0.000026	0.000000	0.000000	0.000000	0.000000	
XP_008593797.1 calcineurin-like phosphoesterase _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593804.1 ATP synthase regulation protein NCA2 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593814.1 SNARE protein, putative _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593817.1 RTA1 domain protein, putative _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000003	0.000000	0.000000	0.000000	0.000000	
XP_008593818.1 C6 finger domain protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593819.1 calcineurin-like phosphoesterase _Beauveria bassiana ARSEF 2860_	OTHER	0.999781	0.000238	0.000001	0.000000	0.000000	0.000000	
XP_008593822.1 SUR7 protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593823.1 Serine hydroxymethyltransferase _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
