#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-357210FF97E6A183-2CB86DC041531411
#datatype	hitsStandard Results
#status	0
#Start time	2025-03-08T23:57:27	Run time	0:00:00:47
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#3 - >XP_008593365.1 glucan endo-1,3-beta-glucosidase A1-like protein [Beauveria bassiana ARSEF 2860]	non-specific	185691	35	317	4.54106e-92	274.576	cd02182	GH16_Strep_laminarinase_like	 - 	cl22861
Q#3 - >XP_008593365.1 glucan endo-1,3-beta-glucosidase A1-like protein [Beauveria bassiana ARSEF 2860]	superfamily	473984	35	317	4.54106e-92	274.576	cl22861	LamG superfamily	 - 	 - 
Q#3 - >XP_008593365.1 glucan endo-1,3-beta-glucosidase A1-like protein [Beauveria bassiana ARSEF 2860]	specific	441874	1	317	8.10846e-42	145.517	COG2273	BglS	 - 	cl34454
Q#3 - >XP_008593365.1 glucan endo-1,3-beta-glucosidase A1-like protein [Beauveria bassiana ARSEF 2860]	superfamily	441874	1	317	8.10846e-42	145.517	cl34454	BglS superfamily	 - 	 - 
Q#3 - >XP_008593365.1 glucan endo-1,3-beta-glucosidase A1-like protein [Beauveria bassiana ARSEF 2860]	non-specific	395585	106	263	0.0079777	36.4166	pfam00722	Glyco_hydro_16	 - 	cl22861
Q#8 - >XP_008593466.1 cutinase-2 protein [Beauveria bassiana ARSEF 2860]	non-specific	395860	37	212	9.09703e-43	141.72	pfam01083	Cutinase	 - 	cl21494
Q#8 - >XP_008593466.1 cutinase-2 protein [Beauveria bassiana ARSEF 2860]	superfamily	473884	37	212	9.09703e-43	141.72	cl21494	Abhydrolase superfamily	 - 	 - 
Q#8 - >XP_008593466.1 cutinase-2 protein [Beauveria bassiana ARSEF 2860]	non-specific	440169	97	146	0.00975782	35.6534	COG0400	YpfH	NC	cl43129
Q#8 - >XP_008593466.1 cutinase-2 protein [Beauveria bassiana ARSEF 2860]	superfamily	440169	97	146	0.00975782	35.6534	cl43129	YpfH superfamily	NC	 - 
Q#9 - >XP_008593517.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	specific	187688	41	187	1.62612e-27	104.676	cd09630	CDH_like_cytochrome	 - 	cl14783
Q#9 - >XP_008593517.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	superfamily	472705	41	187	1.62612e-27	104.676	cl14783	DOMON_like superfamily	 - 	 - 
Q#9 - >XP_008593517.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	non-specific	435066	50	187	1.44742e-15	72.6486	pfam16010	CDH-cyt	 - 	cl14783
Q#10 - >XP_008593554.1 peptidase A4 family protein [Beauveria bassiana ARSEF 2860]	specific	240449	45	240	1.90263e-60	189.078	cd13426	Peptidase_G1	 - 	cl03371
Q#10 - >XP_008593554.1 peptidase A4 family protein [Beauveria bassiana ARSEF 2860]	superfamily	446078	45	240	1.90263e-60	189.078	cl03371	Peptidase_G1_like superfamily	 - 	 - 
Q#10 - >XP_008593554.1 peptidase A4 family protein [Beauveria bassiana ARSEF 2860]	specific	426460	46	239	1.13572e-59	187.085	pfam01828	Peptidase_A4	 - 	cl03371
Q#11 - >XP_008593573.1 uncharacterized protein BBA_00254 [Beauveria bassiana ARSEF 2860]	non-specific	437103	20	130	5.64509e-16	68.7558	pfam19271	Nis1	 - 	cl44706
Q#11 - >XP_008593573.1 uncharacterized protein BBA_00254 [Beauveria bassiana ARSEF 2860]	superfamily	437103	20	130	5.64509e-16	68.7558	cl44706	Nis1 superfamily	 - 	 - 
Q#12 - >XP_008593586.1 ubiquitin-protein ligase Sel1/Ubx2 [Beauveria bassiana ARSEF 2860]	specific	440553	273	511	1.0057e-33	129.663	COG0790	TPR	 - 	cl34042
Q#12 - >XP_008593586.1 ubiquitin-protein ligase Sel1/Ubx2 [Beauveria bassiana ARSEF 2860]	superfamily	440553	273	511	1.0057e-33	129.663	cl34042	TPR superfamily	 - 	 - 
Q#12 - >XP_008593586.1 ubiquitin-protein ligase Sel1/Ubx2 [Beauveria bassiana ARSEF 2860]	specific	440553	119	244	6.13572e-21	92.6839	COG0790	TPR	N	cl34042
Q#12 - >XP_008593586.1 ubiquitin-protein ligase Sel1/Ubx2 [Beauveria bassiana ARSEF 2860]	superfamily	440553	119	244	6.13572e-21	92.6839	cl34042	TPR superfamily	N	 - 
Q#12 - >XP_008593586.1 ubiquitin-protein ligase Sel1/Ubx2 [Beauveria bassiana ARSEF 2860]	specific	214772	174	209	7.495e-06	43.3164	smart00671	SEL1	 - 	cl29229
Q#12 - >XP_008593586.1 ubiquitin-protein ligase Sel1/Ubx2 [Beauveria bassiana ARSEF 2860]	superfamily	452945	174	209	7.495e-06	43.3164	cl29229	Sel1 superfamily	 - 	 - 
Q#12 - >XP_008593586.1 ubiquitin-protein ligase Sel1/Ubx2 [Beauveria bassiana ARSEF 2860]	specific	429881	174	208	6.72939e-05	40.5827	pfam08238	Sel1	 - 	cl29229
Q#12 - >XP_008593586.1 ubiquitin-protein ligase Sel1/Ubx2 [Beauveria bassiana ARSEF 2860]	specific	214772	636	666	0.000113739	39.8496	smart00671	SEL1	 - 	cl29229
