locus_tag	seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	distanceToTSS	GeneID	transcript_id	protein_id	product
BBA_00010	NW_007930836.1	30506	30516	11	-	15.4364	4.95e-06	0.281	Promoter	1	30265	32130	1866	1	251	19883022	XM_008595107.1	XP_008593329.1	uncharacterized protein
BBA_00031	NW_007930836.1	91928	91938	11	-	15.1697	8.75e-06	0.305	Promoter	1	92358	93023	666	1	-430	19883043	XM_008595128.1	XP_008593350.1	uncharacterized protein
BBA_00035	NW_007930836.1	109264	109274	11	+	15.1697	8.75e-06	0.305	Promoter	1	109584	109859	276	1	-310	19883047	XM_008595132.1	XP_008593354.1	uncharacterized protein
BBA_00037	NW_007930836.1	113925	113935	11	+	15.4485	1.83e-06	0.243	Promoter	1	113425	114147	723	2	212	19883049	XM_008595134.1	XP_008593356.1	gp24-like protein
BBA_00047	NW_007930836.1	137339	137349	11	+	15.1697	8.75e-06	0.305	Promoter	1	135407	136672	1266	2	-667	19883059	XM_008595144.1	XP_008593366.1	Cel5b-like protein
BBA_00064	NW_007930836.1	183200	183210	11	+	15.4364	4.95e-06	0.281	Promoter	1	184120	184979	860	1	-910	19883076	XM_008595161.1	XP_008593383.1	uncharacterized protein
BBA_00068	NW_007930836.1	196799	196809	11	+	15.1697	8.75e-06	0.305	Promoter	1	194874	196661	1788	2	-138	19883080	XM_008595165.1	XP_008593387.1	vitamin H transporter
BBA_00071	NW_007930836.1	205085	205095	11	+	15.4364	4.95e-06	0.281	Promoter	1	204827	207269	2443	1	258	19883083	XM_008595168.1	XP_008593390.1	nitrate assimilation regulatory protein nirA
BBA_00074	NW_007930836.1	217367	217377	11	+	15.4364	4.95e-06	0.281	Promoter	1	217819	219812	1994	1	-442	19883086	XM_008595171.1	XP_008593393.1	von Willebrand domain-containing protein
BBA_00076	NW_007930836.1	222604	222614	11	+	15.4364	4.95e-06	0.281	Exon (XM_008595173.1/BBA_00076, exon 5 of 7)	1	221936	224429	2494	2	1815	19883088	XM_008595173.1	XP_008593395.1	thiamine biosynthesis protein (Thi-4)
BBA_00110	NW_007930836.1	325750	325760	11	-	15.1697	8.75e-06	0.305	Promoter	1	325534	326234	701	2	484	19883122	XM_008595207.1	XP_008593429.1	uncharacterized protein
BBA_00121	NW_007930836.1	353215	353225	11	+	15.4485	1.83e-06	0.243	Exon (XM_008595218.1/BBA_00121, exon 1 of 1)	1	351113	354688	3576	2	1463	19883133	XM_008595218.1	XP_008593440.1	transmembrane and coiled-coil domain-containing protein
BBA_00124	NW_007930836.1	360034	360044	11	-	15.4364	4.95e-06	0.281	Promoter	1	358719	360065	1347	2	31	19883136	XM_008595221.1	XP_008593443.1	rRNA-processing protein UTP23
BBA_00125	NW_007930836.1	362473	362483	11	-	15.4364	4.95e-06	0.281	Promoter	1	362632	368584	5953	1	-159	19883137	XM_008595222.1	XP_008593444.1	PH domain-containing protein
BBA_00139	NW_007930836.1	401164	401174	11	-	15.1697	8.75e-06	0.305	Promoter	1	400740	402105	1366	1	434	19883151	XM_008595236.1	XP_008593458.1	uncharacterized protein
BBA_00146	NW_007930836.1	423768	423778	11	-	15.1697	8.75e-06	0.305	Promoter	1	421381	423528	2148	2	-250	19883158	XM_008595243.1	XP_008593465.1	ELMO/CED-12 family protein
BBA_00149	NW_007930836.1	433256	433266	11	+	15.7152	1.1e-06	0.236	Promoter	1	431727	433778	2052	2	512	19883161	XM_008595246.1	XP_008593468.1	ATP-NAD kinase
