"seqnames","start","end","width","strand","score","p_value","q_value","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","distanceToTSS","GeneID","transcript_id","protein_id"
"NW_007930864.1",176,183,8,"+",6.52841,1.21e-05,1,"Promoter (<=1kb)",29,320,1176,857,1,"BBA_07879",-137,NA,NA,NA
"NW_007930943.1",697,704,8,"-",6.52841,1.21e-05,1,"Promoter (<=1kb)",108,1015,2051,1037,1,"BBA_10248",-318,NA,NA,NA
"NW_007930949.1",1725,1732,8,"+",6.52841,1.21e-05,1,"Promoter (<=1kb)",114,1394,1825,432,2,"BBA_10276",93,NA,NA,NA
"NW_007930944.1",1890,1897,8,"+",6.52841,1.21e-05,1,"Promoter (2-3kb)",109,2595,4756,2162,2,"BBA_10253",2859,NA,NA,NA
"NW_007930869.1",2551,2558,8,"+",6.52841,1.21e-05,1,"Promoter (<=1kb)",34,3081,4112,1032,1,"BBA_08333",-523,NA,NA,NA
"NW_007930870.1",2878,2885,8,"+",6.52841,1.21e-05,1,"Promoter (<=1kb)",35,2041,3617,1577,1,"BBA_08438",837,NA,NA,NA
"NW_007930924.1",3482,3489,8,"-",6.52841,1.21e-05,1,"Promoter (<=1kb)",89,3155,5230,2076,1,"BBA_10107",334,NA,NA,NA
"NW_007930845.1",4394,4401,8,"-",6.52841,1.21e-05,1,"Promoter (1-2kb)",10,2651,7601,4951,1,"BBA_04348",1750,NA,NA,NA
"NW_007930865.1",4860,4867,8,"+",6.52841,1.21e-05,1,"Promoter (<=1kb)",30,3206,4513,1308,2,"BBA_07979",-347,NA,NA,NA
"NW_007930925.1",4908,4915,8,"+",6.52841,1.21e-05,1,"Promoter (<=1kb)",90,5846,6946,1101,1,"BBA_10115",-931,NA,NA,NA
"NW_007930877.1",4932,4939,8,"-",6.52841,1.21e-05,1,"Promoter (1-2kb)",42,2294,3574,1281,2,"BBA_08897",-1365,NA,NA,NA
"NW_007930879.1",5820,5827,8,"-",6.52841,1.21e-05,1,"Promoter (1-2kb)",44,4009,4747,739,2,"BBA_09026",-1080,NA,NA,NA
"NW_007930903.1",6201,6208,8,"-",6.52841,1.21e-05,1,"Promoter (1-2kb)",68,5064,7854,2791,1,"BBA_09785",1144,NA,NA,NA
"NW_007930939.1",7062,7069,8,"+",6.52841,1.21e-05,1,"Promoter (1-2kb)",104,5200,5713,514,1,"BBA_10232",1862,NA,NA,NA
"NW_007930940.1",7374,7381,8,"-",6.52841,1.21e-05,1,"Promoter (<=1kb)",105,6813,7324,512,1,"BBA_10237",568,NA,NA,NA
"NW_007930868.1",10437,10444,8,"-",6.52841,1.21e-05,1,"Promoter (3-4kb)",33,6986,11894,4909,1,"BBA_08268",3458,NA,NA,NA
"NW_007930841.1",10845,10852,8,"-",6.52841,1.21e-05,1,"Promoter (<=1kb)",6,10813,12522,1710,1,"BBA_02751",39,NA,NA,NA
"NW_007930855.1",12432,12439,8,"-",6.52841,1.21e-05,1,"Promoter (<=1kb)",20,12396,14084,1689,1,"BBA_06637",43,NA,NA,NA
"NW_007930843.1",13417,13424,8,"+",6.52841,1.21e-05,1,"Promoter (<=1kb)",8,10285,12869,2585,2,"BBA_03633",-548,NA,NA,NA
"NW_007930926.1",13690,13697,8,"+",6.52841,1.21e-05,1,"Promoter (2-3kb)",91,15821,16126,306,1,"BBA_10128",-2124,NA,NA,NA
"NW_007930926.1",14209,14216,8,"+",6.52841,1.21e-05,1,"Promoter (1-2kb)",91,15821,16126,306,1,"BBA_10128",-1605,NA,NA,NA
"NW_007930888.1",14773,14780,8,"-",6.52841,1.21e-05,1,"Promoter (<=1kb)",53,14690,15312,623,1,"BBA_09401",90,NA,NA,NA
"NW_007930921.1",15344,15351,8,"-",6.52841,1.21e-05,1,"Exon (XM_008605184.1/BBA_10087, exon 7 of 21)",86,9123,19969,10847,1,"BBA_10087",6228,NA,NA,NA
"NW_007930913.1",15727,15734,8,"+",6.52841,1.21e-05,1,"Promoter (<=1kb)",78,15400,16449,1050,1,"BBA_09973",327,NA,NA,NA
"NW_007930838.1",16683,16690,8,"+",6.52841,1.21e-05,1,"Promoter (2-3kb)",3,15803,18712,2910,2,"BBA_01245",2022,NA,NA,NA
"NW_007930896.1",16843,16850,8,"+",6.52841,1.21e-05,1,"Promoter (<=1kb)",61,15930,16946,1017,2,"BBA_09638",96,NA,NA,NA
"NW_007930943.1",17764,17771,8,"-",6.52841,1.21e-05,1,"Promoter (<=1kb)",108,18721,19743,1023,1,"BBA_10251",-957,NA,NA,NA
"NW_007930852.1",18133,18140,8,"+",6.52841,1.21e-05,1,"Promoter (1-2kb)",17,16676,17674,999,1,"BBA_06026",1457,NA,NA,NA
