locus_tag	seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	distanceToTSS	GeneID	transcript_id	protein_id	product
BBA_00007	NW_007930836.1	23657	23666	10	+	8.92361	3.08e-05	0.65	Promoter (<=1kb)	1	23340	25184	1845	1	317	19883019	XM_008595104.1	XP_008593326.1	iron only hydrogenase large subunit domain-containing protein
BBA_00013	NW_007930836.1	40331	40340	10	-	8.48611	8.11e-05	0.72	Promoter (<=1kb)	1	38580	39928	1349	2	-412	19883025	XM_008595110.1	XP_008593332.1	cellobiose dehydrogenase, putative
BBA_00013	NW_007930836.1	41799	41808	10	-	8.93056	2.95e-05	0.648	Promoter (1-2kb)	1	38580	39928	1349	2	-1880	19883025	XM_008595110.1	XP_008593332.1	cellobiose dehydrogenase, putative
BBA_00014	NW_007930836.1	45386	45395	10	-	8.84722	3.69e-05	0.663	Promoter (1-2kb)	1	42774	44348	1575	2	-1047	19883026	XM_008595111.1	XP_008593333.1	serine/threonine-protein kinase psk1
BBA_00014	NW_007930836.1	42273	42282	10	-	9.02083	2.45e-05	0.616	Promoter (2-3kb)	1	42774	44348	1575	2	2075	19883026	XM_008595111.1	XP_008593333.1	serine/threonine-protein kinase psk1
BBA_00015	NW_007930836.1	47803	47812	10	-	8.79167	3.88e-05	0.67	Promoter (<=1kb)	1	45678	47093	1416	2	-719	19883027	XM_008595112.1	XP_008593334.1	Transcription regulator cyclin
BBA_00015	NW_007930836.1	47885	47894	10	+	9.18056	1.5e-05	0.615	Promoter (<=1kb)	1	45678	47093	1416	2	-792	19883027	XM_008595112.1	XP_008593334.1	Transcription regulator cyclin
BBA_00015	NW_007930836.1	45725	45734	10	-	9.02083	2.45e-05	0.616	Promoter (1-2kb)	1	45678	47093	1416	2	1368	19883027	XM_008595112.1	XP_008593334.1	Transcription regulator cyclin
BBA_00020	NW_007930836.1	62675	62684	10	+	9.23611	1.26e-05	0.605	Promoter (1-2kb)	1	63451	64529	1079	2	1845	19883032	XM_008595117.1	XP_008593339.1	glycerate dehydrogenase
BBA_00020	NW_007930836.1	65442	65451	10	+	8.625	5.9e-05	0.705	Promoter (<=1kb)	1	63451	64529	1079	2	-913	19883032	XM_008595117.1	XP_008593339.1	glycerate dehydrogenase
BBA_00024	NW_007930836.1	74160	74169	10	+	8.68056	5.41e-05	0.699	Promoter (1-2kb)	1	75584	76846	1263	1	-1415	19883036	XM_008595121.1	XP_008593343.1	uncharacterized protein
BBA_00024	NW_007930836.1	76621	76630	10	+	9.03472	2.1e-05	0.616	Promoter (1-2kb)	1	75584	76846	1263	1	1037	19883036	XM_008595121.1	XP_008593343.1	uncharacterized protein
BBA_00025	NW_007930836.1	78274	78283	10	+	8.9375	2.88e-05	0.643	Promoter (<=1kb)	1	77430	78098	669	2	-176	19883037	XM_008595122.1	XP_008593344.1	uncharacterized protein
BBA_00025	NW_007930836.1	77845	77854	10	-	8.70833	5.21e-05	0.692	Promoter (<=1kb)	1	77430	78098	669	2	253	19883037	XM_008595122.1	XP_008593344.1	uncharacterized protein
BBA_00033	NW_007930836.1	100499	100508	10	-	9.18056	1.5e-05	0.615	Promoter (1-2kb)	1	102128	105545	3418	1	-1629	19883045	XM_008595130.1	XP_008593352.1	uncharacterized protein
BBA_00033	NW_007930836.1	104113	104122	10	-	8.40972	9.79e-05	0.752	Promoter (1-2kb)	1	102128	105545	3418	1	1994	19883045	XM_008595130.1	XP_008593352.1	uncharacterized protein
BBA_00037	NW_007930836.1	115910	115919	10	-	8.50694	7.96e-05	0.718	Promoter (1-2kb)	1	113425	114147	723	2	-1772	19883049	XM_008595134.1	XP_008593356.1	gp24-like protein
BBA_00037	NW_007930836.1	114979	114988	10	+	8.86806	3.59e-05	0.663	Promoter (<=1kb)	1	113425	114147	723	2	-832	19883049	XM_008595134.1	XP_008593356.1	gp24-like protein
BBA_00042	NW_007930836.1	124920	124929	10	+	8.47222	8.3e-05	0.725	Promoter (<=1kb)	1	125824	127043	1220	1	-895	19883054	XM_008595139.1	XP_008593361.1	homoserine acetyltransferase family protein
BBA_00044	NW_007930836.1	129708	129717	10	-	9.69444	3.02e-06	0.508	Promoter (<=1kb)	1	129300	130070	771	2	362	19883056	XM_008595141.1	XP_008593363.1	uncharacterized protein
BBA_00048	NW_007930836.1	139039	139048	10	+	8.40972	9.79e-05	0.752	Promoter (<=1kb)	1	138249	138827	579	1	790	19883060	XM_008595145.1	XP_008593367.1	uncharacterized protein
BBA_00048	NW_007930836.1	138263	138272	10	+	9.23611	1.26e-05	0.605	Promoter (<=1kb)	1	138249	138827	579	1	14	19883060	XM_008595145.1	XP_008593367.1	uncharacterized protein
BBA_00049	NW_007930836.1	142231	142240	10	-	8.75	4.54e-05	0.678	Promoter (<=1kb)	1	140006	141980	1975	2	-260	19883061	XM_008595146.1	XP_008593368.1	transporter-like protein
BBA_00049	NW_007930836.1	142129	142138	10	-	8.50694	7.96e-05	0.718	Promoter (<=1kb)	1	140006	141980	1975	2	-158	19883061	XM_008595146.1	XP_008593368.1	transporter-like protein
BBA_00050	NW_007930836.1	144732	144741	10	+	8.50694	7.96e-05	0.718	Promoter (1-2kb)	1	143876	146215	2340	2	1474	19883062	XM_008595147.1	XP_008593369.1	Cys2-His2 zinc finger transcription factor ACEI
BBA_00052	NW_007930836.1	154256	154265	10	+	8.59028	6.37e-05	0.715	Promoter (1-2kb)	1	151356	152775	1420	2	-1481	19883064	XM_008595149.1	XP_008593371.1	polysaccharide export protein (CAP59)
BBA_00052	NW_007930836.1	153913	153922	10	+	8.59028	6.37e-05	0.715	Promoter (1-2kb)	1	151356	152775	1420	2	-1138	19883064	XM_008595149.1	XP_008593371.1	polysaccharide export protein (CAP59)
BBA_00053	NW_007930836.1	156695	156704	10	-	8.72222	4.96e-05	0.686	Promoter (<=1kb)	1	153461	155881	2421	2	-823	19883065	XM_008595150.1	XP_008593372.1	glycosyltransferase family 39
BBA_00055	NW_007930836.1	159405	159414	10	-	9.3125	9.71e-06	0.605	Promoter (<=1kb)	1	158251	159473	1223	2	68	19883067	XM_008595152.1	XP_008593374.1	ARP2/3 actin-organizing complex subunit Sop2
BBA_00060	NW_007930836.1	169508	169517	10	-	9.13889	1.62e-05	0.616	Promoter (1-2kb)	1	168317	172112	3796	1	1200	19883072	XM_008595157.1	XP_008593379.1	MutS domain V
BBA_00061	NW_007930836.1	172839	172848	10	+	8.47917	8.23e-05	0.724	Promoter (<=1kb)	1	173082	174917	1836	1	-234	19883073	XM_008595158.1	XP_008593380.1	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain, putative
BBA_00061	NW_007930836.1	173933	173942	10	-	8.625	5.9e-05	0.705	Promoter (<=1kb)	1	173082	174917	1836	1	860	19883073	XM_008595158.1	XP_008593380.1	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain, putative
