seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS
NW_007930840.1	1000662	1000675	14	+	19.9362	2.24e-08	0.296	Promoter (<=1kb)	5	998538	999953	1416	2	BBA_02598	-709
NW_007930857.1	445949	445962	14	+	19.922	2.53e-08	0.296	Promoter (3-4kb)	22	449571	451862	2292	1	BBA_07079	-3609
NW_007930837.1	481454	481467	14	+	19.922	2.53e-08	0.296	Promoter (<=1kb)	2	479019	481035	2017	2	BBA_00825	-419
NW_007930843.1	695238	695251	14	-	19.922	2.53e-08	0.296	Promoter (1-2kb)	8	696665	698932	2268	1	BBA_03855	-1427
NW_007930839.1	983735	983748	14	+	19.922	2.53e-08	0.296	Promoter (<=1kb)	4	982979	986935	3957	1	BBA_02106	756
NW_007930896.1	83222	83235	14	-	19.6596	3.68e-08	0.301	Promoter (<=1kb)	61	82282	83820	1539	2	BBA_09661	598
NW_007930853.1	253088	253101	14	-	19.6454	3.92e-08	0.301	Promoter (1-2kb)	18	250809	251924	1116	2	BBA_06278	-1177
NW_007930927.1	2473	2486	14	-	19.617	4.11e-08	0.301	Promoter (<=1kb)	92	1801	2865	1065	1	BBA_10134	685
NW_007930881.1	96820	96833	14	-	19.3121	6.12e-08	0.361	Promoter (<=1kb)	46	97012	97539	528	2	BBA_09157	719
NW_007930885.1	67987	68000	14	-	19.2979	6.59e-08	0.361	Promoter (<=1kb)	50	67615	68323	709	1	BBA_09310	385
NW_007930838.1	1153297	1153310	14	-	19.2837	6.79e-08	0.361	Promoter (1-2kb)	3	1151901	1152357	457	1	BBA_01585	1409
NW_007930907.1	28929	28942	14	+	19.078	8.37e-08	0.389	Promoter (<=1kb)	72	28788	29492	705	1	BBA_09875	141
NW_007930863.1	313646	313659	14	+	19.0496	9.32e-08	0.389	Promoter (<=1kb)	28	313847	317677	3831	1	BBA_07873	-188
NW_007930841.1	314320	314333	14	+	19.0213	9.66e-08	0.389	Promoter (2-3kb)	6	312201	314688	2488	1	BBA_02847	2119
NW_007930837.1	419160	419173	14	-	18.9858	1.08e-07	0.389	Promoter (<=1kb)	2	416931	419053	2123	2	BBA_00806	-120
NW_007930856.1	177787	177800	14	+	18.9574	1.12e-07	0.389	Promoter (1-2kb)	21	175838	181487	5650	1	BBA_06859	1949
NW_007930871.1	97571	97584	14	+	18.7801	1.25e-07	0.389	Promoter (3-4kb)	36	94088	101695	7608	1	BBA_08558	3483
NW_007930845.1	86868	86881	14	+	18.7518	1.3e-07	0.389	Promoter (<=1kb)	10	87334	88972	1639	1	BBA_04376	-453
NW_007930868.1	163081	163094	14	-	18.7234	1.36e-07	0.389	Promoter (4-5kb)	33	156600	158586	1987	2	BBA_08302	-4508
NW_007930869.1	107303	107316	14	+	18.7021	1.39e-07	0.389	Promoter (1-2kb)	34	104318	105414	1097	2	BBA_08372	-1889
NW_007930841.1	173934	173947	14	-	18.695	1.41e-07	0.389	Promoter (1-2kb)	6	173162	175300	2139	2	BBA_02808	1366
NW_007930838.1	1444893	1444906	14	+	18.539	1.57e-07	0.389	Promoter (<=1kb)	3	1443571	1444439	869	2	BBA_01683	-454
NW_007930879.1	52971	52984	14	-	18.461	1.72e-07	0.389	Promoter (1-2kb)	44	52528	54849	2322	2	BBA_09040	1878
NW_007930852.1	413559	413572	14	-	18.4184	1.79e-07	0.389	Promoter (<=1kb)	17	408557	413851	5295	2	BBA_06137	292
NW_007930843.1	817193	817206	14	+	18.4043	1.85e-07	0.389	Promoter (1-2kb)	8	819087	820094	1008	1	BBA_03892	-1881
NW_007930898.1	43162	43175	14	+	18.3759	1.95e-07	0.389	Promoter (<=1kb)	63	43353	45917	2565	1	BBA_09698	-178
NW_007930877.1	56197	56210	14	+	18.3475	1.99e-07	0.389	Promoter (1-2kb)	42	55767	57626	1860	2	BBA_08911	1416
NW_007930839.1	109217	109230	14	-	18.2695	2.08e-07	0.389	Promoter (<=1kb)	4	109097	109831	735	1	BBA_01819	133
NW_007930877.1	21662	21675	14	+	18.2553	2.16e-07	0.389	Promoter (<=1kb)	42	21844	23587	1744	1	BBA_08904	-169
NW_007930848.1	174010	174023	14	+	18.2553	2.16e-07	0.389	Promoter (<=1kb)	13	173765	174909	1145	1	BBA_05171	245
NW_007930850.1	602503	602516	14	+	18.2057	2.26e-07	0.389	Promoter (1-2kb)	15	602403	603518	1116	2	BBA_05777	1002
NW_007930873.1	74241	74254	14	+	18.1418	2.49e-07	0.389	Promoter (3-4kb)	38	77277	77546	270	1	BBA_08670	-3023
NW_007930912.1	43893	43906	14	-	18.1135	2.54e-07	0.389	Promoter (<=1kb)	77	43649	44483	835	2	BBA_09965	590
NW_007930865.1	55712	55725	14	+	18.0638	2.68e-07	0.389	Promoter (1-2kb)	30	54277	56889	2613	2	BBA_07996	1164
NW_007930841.1	589942	589955	14	-	18.0638	2.68e-07	0.389	Promoter (<=1kb)	6	590099	591405	1307	1	BBA_02936	-157
NW_007930837.1	951572	951585	14	-	18.0426	2.75e-07	0.389	Promoter (<=1kb)	2	951016	952294	1279	2	BBA_00940	722
NW_007930886.1	108715	108728	14	-	18.0355	2.8e-07	0.389	Promoter (<=1kb)	51	106591	108220	1630	2	BBA_09364	-508
NW_007930853.1	200816	200829	14	-	18.0142	2.86e-07	0.389	Promoter (<=1kb)	18	200296	201774	1479	2	BBA_06267	958
NW_007930836.1	268013	268026	14	+	17.9504	2.9e-07	0.389	Promoter (<=1kb)	1	267128	270120	2993	1	BBA_00091	885
NW_007930841.1	797087	797100	14	+	17.9291	2.95e-07	0.389	Promoter (<=1kb)	6	796619	797347	729	1	BBA_03006	468
