locus_tag	GeneID	transcript_id	protein_id	product
BBA_00002	19883014	XM_008595099.1	XP_008593321.1	ABC transporter
BBA_00017	19883029	XM_008595114.1	XP_008593336.1	ABC transporter
BBA_00020	19883032	XM_008595117.1	XP_008593339.1	glycerate dehydrogenase
BBA_00026	19883038	XM_008595123.1	XP_008593345.1	uncharacterized protein
BBA_00029	19883041	XM_008595126.1	XP_008593348.1	pumilio-family RNA binding repeat domain-containing protein
BBA_00030	19883042	XM_008595127.1	XP_008593349.1	AMP-binding enzyme, putative
BBA_00032	19883044	XM_008595129.1	XP_008593351.1	uncharacterized protein
BBA_00046	19883058	XM_008595143.1	XP_008593365.1	glucan endo-1,3-beta-glucosidase A1-like protein
BBA_00048	19883060	XM_008595145.1	XP_008593367.1	uncharacterized protein
BBA_00049	19883061	XM_008595146.1	XP_008593368.1	transporter-like protein
BBA_00054	19883066	XM_008595151.1	XP_008593373.1	endoribonuclease L-PSP
BBA_00057	19883069	XM_008595154.1	XP_008593376.1	uncharacterized protein
BBA_00062	19883074	XM_008595159.1	XP_008593381.1	cellobiose dehydrogenase
BBA_00064	19883076	XM_008595161.1	XP_008593383.1	uncharacterized protein
BBA_00067	19883079	XM_008595164.1	XP_008593386.1	2-nitropropane dioxygenase
BBA_00068	19883080	XM_008595165.1	XP_008593387.1	vitamin H transporter
BBA_00070	19883082	XM_008595167.1	XP_008593389.1	uncharacterized protein
BBA_00071	19883083	XM_008595168.1	XP_008593390.1	nitrate assimilation regulatory protein nirA
BBA_00074	19883086	XM_008595171.1	XP_008593393.1	von Willebrand domain-containing protein
BBA_00075	19883087	XM_008595172.1	XP_008593394.1	uncharacterized protein
BBA_00078	19883090	XM_008595175.1	XP_008593397.1	uncharacterized protein
BBA_00085	19883097	XM_008595182.1	XP_008593404.1	Orf2-like protein
BBA_00088	19883100	XM_008595185.1	XP_008593407.1	C6 finger domain protein
BBA_00090	19883102	XM_008595187.1	XP_008593409.1	aryl-alcohol oxidase/vanillyl-alcohol oxidase
BBA_00094	19883106	XM_008595191.1	XP_008593413.1	major facilitator superfamily transporter
BBA_00102	19883114	XM_008595199.1	XP_008593421.1	ATP-binding protein
BBA_00105	19883117	XM_008595202.1	XP_008593424.1	Putative Zn(II)2Cys6 transcription factor
BBA_00116	19883128	XM_008595213.1	XP_008593435.1	ChaC-like protein
BBA_00118	19883130	XM_008595215.1	XP_008593437.1	HpcH/HpaI aldolase/citrate lyase family protein
BBA_00136	19883148	XM_008595233.1	XP_008593455.1	TH14-3-3 protein
BBA_00137	19883149	XM_008595234.1	XP_008593456.1	mitochondrial ATPase inhibitor, putative
BBA_00140	19883152	XM_008595237.1	XP_008593459.1	eukaryotic translation initiation factor 2 subunit gamma
BBA_00142	19883154	XM_008595239.1	XP_008593461.1	glycosyltransferase family 62
BBA_00145	19883157	XM_008595242.1	XP_008593464.1	prenylated Rab acceptor 1
BBA_00146	19883158	XM_008595243.1	XP_008593465.1	ELMO/CED-12 family protein
