seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS
NW_007930970.1	308	315	8	-	9.64286	1.21e-05	0.963	Promoter (3-4kb)	133	3697	3940	244	1	BBA_10332	-3389
NW_007930943.1	462	469	8	-	9.64286	1.21e-05	0.963	Promoter (<=1kb)	108	1015	2051	1037	1	BBA_10248	-553
NW_007930873.1	502	509	8	+	9.64286	1.21e-05	0.963	Distal Intergenic	38	9419	9794	376	1	BBA_08664	-8910
NW_007930960.1	629	636	8	+	9.64286	1.21e-05	0.963	Promoter (<=1kb)	124	239	1378	1140	1	BBA_10309	390
NW_007930966.1	957	964	8	+	9.64286	1.21e-05	0.963	Promoter (<=1kb)	130	899	2183	1285	1	BBA_10324	58
NW_007930838.1	1179	1186	8	-	9.64286	1.21e-05	0.963	Promoter (3-4kb)	3	2920	4480	1561	2	BBA_01240	3301
NW_007930897.1	1651	1658	8	-	9.64286	1.21e-05	0.963	Promoter (<=1kb)	62	482	1761	1280	2	BBA_09662	110
NW_007930861.1	1692	1699	8	+	9.64286	1.21e-05	0.963	Promoter (<=1kb)	26	2648	4957	2310	1	BBA_07557	-949
NW_007930974.1	2112	2119	8	-	9.64286	1.21e-05	0.963	Promoter (2-3kb)	136	3463	4804	1342	2	BBA_10338	2692
NW_007930959.1	2228	2235	8	+	9.64286	1.21e-05	0.963	Promoter (<=1kb)	123	2348	3447	1100	1	BBA_10307	-113
NW_007930966.1	2262	2269	8	-	9.64286	1.21e-05	0.963	Promoter (1-2kb)	130	899	2183	1285	1	BBA_10324	1370
NW_007930892.1	2403	2410	8	+	9.64286	1.21e-05	0.963	Promoter (<=1kb)	57	1584	3152	1569	1	BBA_09525	819
NW_007930857.1	2680	2687	8	-	9.64286	1.21e-05	0.963	Promoter (1-2kb)	22	2692	4239	1548	2	BBA_06955	1559
NW_007930848.1	2930	2937	8	-	9.64286	1.21e-05	0.963	Promoter (<=1kb)	13	256	2040	1785	2	BBA_05123	-897
NW_007930916.1	2973	2980	8	+	9.64286	1.21e-05	0.963	Promoter (1-2kb)	81	1612	3539	1928	1	BBA_10013	1361
NW_007930916.1	2997	3004	8	+	9.64286	1.21e-05	0.963	Promoter (1-2kb)	81	1612	3539	1928	1	BBA_10013	1385
NW_007930951.1	3924	3931	8	-	9.64286	1.21e-05	0.963	Promoter (<=1kb)	116	3042	3728	687	1	BBA_10285	889
NW_007930877.1	4659	4666	8	-	9.64286	1.21e-05	0.963	Promoter (1-2kb)	42	2294	3574	1281	2	BBA_08897	-1092
NW_007930959.1	5410	5417	8	-	9.64286	1.21e-05	0.963	Promoter (<=1kb)	123	3695	5126	1432	2	BBA_10308	-291
NW_007930886.1	5864	5871	8	+	9.64286	1.21e-05	0.963	Promoter (1-2kb)	51	3992	4975	984	1	BBA_09328	1872
NW_007930901.1	6153	6160	8	+	9.64286	1.21e-05	0.963	Promoter (<=1kb)	66	6586	7038	453	1	BBA_09753	-426
NW_007930839.1	6965	6972	8	+	9.64286	1.21e-05	0.963	Promoter (<=1kb)	4	5209	6574	1366	2	BBA_01780	-391
NW_007930873.1	7532	7539	8	+	9.64286	1.21e-05	0.963	Promoter (1-2kb)	38	9419	9794	376	1	BBA_08664	-1880
NW_007930888.1	7786	7793	8	+	9.64286	1.21e-05	0.963	Promoter (1-2kb)	53	8436	9146	711	2	BBA_09398	1353
NW_007930854.1	8210	8217	8	+	9.64286	1.21e-05	0.963	Promoter (<=1kb)	19	7715	10798	3084	1	BBA_06417	495
NW_007930933.1	8216	8223	8	+	9.64286	1.21e-05	0.963	Promoter (<=1kb)	98	7525	8731	1207	1	BBA_10194	691
NW_007930937.1	8829	8836	8	+	9.64286	1.21e-05	0.963	Distal Intergenic	102	13919	14842	924	1	BBA_10223	-5083
NW_007930937.1	8979	8986	8	+	9.64286	1.21e-05	0.963	Promoter (4-5kb)	102	13919	14842	924	1	BBA_10223	-4933
NW_007930896.1	9203	9210	8	+	9.64286	1.21e-05	0.963	Promoter (2-3kb)	61	6826	8923	2098	1	BBA_09636	2377
NW_007930838.1	9417	9424	8	-	9.64286	1.21e-05	0.963	Promoter (<=1kb)	3	7915	9218	1304	2	BBA_01243	-206
NW_007930912.1	9541	9548	8	+	9.64286	1.21e-05	0.963	Promoter (2-3kb)	77	8997	11610	2614	2	BBA_09954	2062
NW_007930872.1	10111	10118	8	-	9.64286	1.21e-05	0.963	Promoter (<=1kb)	37	6000	10461	4462	2	BBA_08610	350
NW_007930901.1	10173	10180	8	+	9.64286	1.21e-05	0.963	Promoter (1-2kb)	66	8992	10787	1796	1	BBA_09754	1181
NW_007930896.1	10191	10198	8	-	9.64286	1.21e-05	0.963	Promoter (1-2kb)	61	9338	11806	2469	2	BBA_09637	1615
NW_007930899.1	10321	10328	8	-	9.64286	1.21e-05	0.963	Promoter (<=1kb)	64	9519	10785	1267	2	BBA_09716	464
NW_007930936.1	10570	10577	8	-	9.64286	1.21e-05	0.963	Promoter (1-2kb)	101	9502	10835	1334	1	BBA_10219	1075
NW_007930913.1	10688	10695	8	+	9.64286	1.21e-05	0.963	Promoter (<=1kb)	78	8038	10918	2881	2	BBA_09970	223
NW_007930945.1	11096	11103	8	-	9.64286	1.21e-05	0.963	Promoter (<=1kb)	110	8796	10157	1362	2	BBA_10260	-946
NW_007930917.1	11982	11989	8	+	9.64286	1.21e-05	0.963	Promoter (2-3kb)	82	9526	12065	2540	1	BBA_10031	2456
NW_007930888.1	12364	12371	8	+	9.64286	1.21e-05	0.963	Promoter (<=1kb)	53	12678	13364	687	2	BBA_09400	993
NW_007930885.1	12490	12497	8	+	9.64286	1.21e-05	0.963	Promoter (2-3kb)	50	9843	12745	2903	1	BBA_09290	2647
NW_007930943.1	12780	12787	8	-	9.64286	1.21e-05	0.963	Promoter (1-2kb)	108	13466	13839	374	2	BBA_10250	1059
NW_007930895.1	12984	12991	8	-	9.64286	1.21e-05	0.963	Promoter (<=1kb)	60	12579	13763	1185	2	BBA_09614	779
NW_007930867.1	13092	13099	8	-	9.64286	1.21e-05	0.963	Promoter (<=1kb)	32	13343	15006	1664	1	BBA_08175	-251
NW_007930943.1	13356	13363	8	+	9.64286	1.21e-05	0.963	Promoter (<=1kb)	108	13466	13839	374	2	BBA_10250	476
NW_007930932.1	13681	13688	8	-	9.64286	1.21e-05	0.963	Promoter (<=1kb)	97	13332	14193	862	2	BBA_10188	512
NW_007930856.1	14637	14644	8	+	9.64286	1.21e-05	0.963	Promoter (<=1kb)	21	15441	16354	914	1	BBA_06807	-797
NW_007930928.1	15170	15177	8	-	9.64286	1.21e-05	0.963	Promoter (<=1kb)	93	14821	15682	862	2	BBA_10148	512
NW_007930877.1	15558	15565	8	+	9.64286	1.21e-05	0.963	Promoter (<=1kb)	42	15164	15985	822	1	BBA_08902	394
NW_007930855.1	15659	15666	8	+	9.64286	1.21e-05	0.963	Promoter (3-4kb)	20	12396	14084	1689	1	BBA_06637	3263
NW_007930903.1	15893	15900	8	-	9.64286	1.21e-05	0.963	Promoter (3-4kb)	68	16968	19186	2219	2	BBA_09786	3293
NW_007930843.1	15912	15919	8	-	9.64286	1.21e-05	0.963	Promoter (<=1kb)	8	15768	16205	438	2	BBA_03635	293
NW_007930887.1	16756	16763	8	-	9.64286	1.21e-05	0.963	Promoter (<=1kb)	52	17253	18978	1726	1	BBA_09372	-497
NW_007930938.1	17232	17239	8	-	9.64286	1.21e-05	0.963	Promoter (1-2kb)	103	18287	18883	597	1	BBA_10229	-1055
NW_007930839.1	17327	17334	8	-	9.64286	1.21e-05	0.963	Promoter (<=1kb)	4	16442	17911	1470	2	BBA_01783	584
NW_007930902.1	17341	17348	8	-	9.64286	1.21e-05	0.963	Promoter (2-3kb)	67	14231	14848	618	2	BBA_09780	-2500
NW_007930837.1	17588	17595	8	+	9.64286	1.21e-05	0.963	Promoter (<=1kb)	2	17083	17944	862	1	BBA_00689	505
NW_007930876.1	17759	17766	8	-	9.64286	1.21e-05	0.963	Promoter (<=1kb)	41	18724	19386	663	1	BBA_08840	-965
NW_007930902.1	17761	17768	8	-	9.64286	1.21e-05	0.963	Promoter (2-3kb)	67	14231	14848	618	2	BBA_09780	-2920
NW_007930869.1	17869	17876	8	+	9.64286	1.21e-05	0.963	Promoter (<=1kb)	34	18452	22338	3887	1	BBA_08339	-576
NW_007930938.1	18142	18149	8	-	9.64286	1.21e-05	0.963	Promoter (<=1kb)	103	18287	18883	597	1	BBA_10229	-145
NW_007930840.1	18575	18582	8	+	9.64286	1.21e-05	0.963	Promoter (<=1kb)	5	19137	21109	1973	1	BBA_02312	-555
NW_007930889.1	18836	18843	8	-	9.64286	1.21e-05	0.963	Promoter (2-3kb)	54	16783	19893	3111	1	BBA_09435	2060
NW_007930933.1	19115	19122	8	-	9.64286	1.21e-05	0.963	Promoter (<=1kb)	98	19140	20675	1536	1	BBA_10201	-25
NW_007930923.1	19344	19351	8	-	9.64286	1.21e-05	0.963	Promoter (2-3kb)	88	21929	22903	975	1	BBA_10104	-2585
NW_007930907.1	19980	19987	8	+	9.64286	1.21e-05	0.963	Promoter (1-2kb)	72	18302	21415	3114	1	BBA_09871	1678
NW_007930898.1	20093	20100	8	-	9.64286	1.21e-05	0.963	Promoter (<=1kb)	63	18472	19507	1036	2	BBA_09691	-593
NW_007930904.1	20162	20169	8	+	9.64286	1.21e-05	0.963	Promoter (<=1kb)	69	18381	21025	2645	2	BBA_09812	856
NW_007930848.1	20916	20923	8	+	9.64286	1.21e-05	0.963	Promoter (2-3kb)	13	18441	25028	6588	1	BBA_05125	2475
NW_007930838.1	21563	21570	8	-	9.64286	1.21e-05	0.963	Promoter (1-2kb)	3	21076	22978	1903	2	BBA_01247	1415
NW_007930918.1	21909	21916	8	-	9.64286	1.21e-05	0.963	Promoter (<=1kb)	83	20941	22940	2000	1	BBA_10042	975
NW_007930910.1	21932	21939	8	+	9.64286	1.21e-05	0.963	Promoter (<=1kb)	75	21063	21587	525	1	BBA_09926	869
NW_007930895.1	22316	22323	8	-	9.64286	1.21e-05	0.963	Promoter (4-5kb)	60	22047	26342	4296	2	BBA_09617	4026
NW_007930915.1	22634	22641	8	+	9.64286	1.21e-05	0.963	Promoter (1-2kb)	80	23864	24799	936	1	BBA_10007	-1223
NW_007930921.1	22850	22857	8	-	9.64286	1.21e-05	0.963	Promoter (<=1kb)	86	20152	21858	1707	2	BBA_10088	-999
NW_007930915.1	23079	23086	8	-	9.64286	1.21e-05	0.963	Promoter (<=1kb)	80	23864	24799	936	1	BBA_10007	-785
NW_007930910.1	23385	23392	8	-	9.64286	1.21e-05	0.963	Promoter (1-2kb)	75	23172	25075	1904	2	BBA_09927	1690
NW_007930932.1	23693	23700	8	-	9.64286	1.21e-05	0.963	Promoter (2-3kb)	97	26229	27812	1584	1	BBA_10191	-2536
