seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS
NW_007930858.1	213727	213747	21	-	17.7443	1.5e-08	0.81	Promoter (<=1kb)	23	213278	215244	1967	1	BBA_07175	469
NW_007930855.1	261305	261325	21	+	17.0909	4.34e-08	0.81	Promoter (<=1kb)	20	260608	261085	478	1	BBA_06720	697
NW_007930873.1	19048	19068	21	+	16.8864	5.92e-08	0.81	Promoter (<=1kb)	38	17489	18904	1416	2	BBA_08667	-144
NW_007930861.1	365446	365466	21	+	16.8409	6.36e-08	0.81	Distal Intergenic	26	352639	354537	1899	2	BBA_07665	-10909
NW_007930855.1	29154	29174	21	+	16.7557	7.23e-08	0.81	Promoter (<=1kb)	20	28323	28897	575	2	BBA_06642	-257
NW_007930840.1	4898	4918	21	-	16.5795	9.38e-08	0.81	Distal Intergenic	5	14020	15579	1560	1	BBA_02310	-9122
NW_007930850.1	295890	295910	21	-	16.483	1.08e-07	0.81	Promoter (<=1kb)	15	295986	297385	1400	1	BBA_05671	-96
NW_007930902.1	25031	25051	21	+	16.4773	1.09e-07	0.81	Distal Intergenic	67	14231	14848	618	2	BBA_09780	-10183
NW_007930875.1	22659	22679	21	-	16.3068	1.39e-07	0.931	Promoter (1-2kb)	40	23960	29346	5387	1	BBA_08774	-1301
NW_007930838.1	515163	515183	21	+	16.017	2.07e-07	1	Promoter (<=1kb)	3	514913	518308	3396	1	BBA_01396	250
NW_007930877.1	157163	157183	21	+	15.7727	2.87e-07	1	Promoter (3-4kb)	42	159461	161124	1664	2	BBA_08944	3941
NW_007930981.1	1779	1799	21	-	15.6591	3.35e-07	1	Promoter (1-2kb)	141	2901	4346	1446	1	BBA_10346	-1122
NW_007930846.1	273770	273790	21	+	15.6591	3.35e-07	1	Promoter (4-5kb)	11	268017	269035	1019	2	BBA_04727	-4735
NW_007930847.1	707929	707949	21	-	15.6591	3.35e-07	1	Promoter (<=1kb)	12	708666	710256	1591	1	BBA_05112	-737
NW_007930869.1	208489	208509	21	+	15.5455	3.88e-07	1	Promoter (<=1kb)	34	207967	208507	541	2	BBA_08412	0
NW_007930849.1	607	627	21	-	15.517	4.02e-07	1	Distal Intergenic	14	9576	10574	999	1	BBA_05341	-8969
NW_007930858.1	32	52	21	+	15.5057	4.08e-07	1	Promoter (4-5kb)	23	238	4924	4687	2	BBA_07103	4872
NW_007930839.1	454174	454194	21	+	15.5057	4.08e-07	1	Promoter (<=1kb)	4	453763	455696	1934	1	BBA_01931	411
NW_007930862.1	322339	322359	21	+	15.4432	4.43e-07	1	Promoter (2-3kb)	27	319397	320470	1074	1	BBA_07769	2942
