seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS
NW_007930846.1	84397	84408	12	+	20.3429	6.85e-08	0.306	Exon (XM_008599773.1/BBA_04676, exon 2 of 5)	11	83525	85986	2462	2	BBA_04676	1578
NW_007930873.1	167132	167143	12	-	19.7	1.25e-07	0.306	Promoter	38	164661	166385	1725	2	BBA_08703	-758
NW_007930848.1	457483	457494	12	+	19.7	1.25e-07	0.306	Promoter	13	456551	457454	904	2	BBA_05257	-29
NW_007930844.1	706180	706191	12	-	19.7	1.25e-07	0.306	Promoter	9	704278	705642	1365	2	BBA_04218	-549
NW_007930836.1	1200396	1200407	12	-	19.7	1.25e-07	0.306	Distal Intergenic	1	1201832	1203745	1914	1	BBA_00391	-1436
NW_007930836.1	1536435	1536446	12	-	19.7	1.25e-07	0.306	Promoter	1	1536528	1537961	1434	1	BBA_00508	-93
NW_007930858.1	188693	188704	12	+	18.5571	1.81e-07	0.306	Promoter	23	188716	189114	399	2	BBA_07166	410
NW_007930863.1	202194	202205	12	-	18.5571	1.81e-07	0.306	Promoter	28	201681	205223	3543	1	BBA_07837	524
NW_007930846.1	545368	545379	12	-	18.5571	1.81e-07	0.306	Exon (XM_008599905.1/BBA_04808, exon 3 of 3)	11	543983	546726	2744	2	BBA_04808	1358
NW_007930841.1	820496	820507	12	+	18.5571	1.81e-07	0.306	Distal Intergenic	6	822190	822714	525	1	BBA_03014	-1683
NW_007930850.1	76445	76456	12	-	18.0571	3.5e-07	0.306	Distal Intergenic	15	71201	71998	798	2	BBA_05604	-4458
NW_007930861.1	158065	158076	12	+	18.0571	3.5e-07	0.306	Exon (XM_008602700.1/BBA_07603, exon 5 of 6)	26	157125	160160	3036	2	BBA_07603	2084
NW_007930844.1	197429	197440	12	+	18.0571	3.5e-07	0.306	Exon (XM_008599157.1/BBA_04060, exon 8 of 8)	9	195943	196686	744	1	BBA_04059	1486
NW_007930838.1	695602	695613	12	-	18.0571	3.5e-07	0.306	Exon (XM_008596540.1/BBA_01443, exon 2 of 2)	3	695249	697329	2081	2	BBA_01443	1727
NW_007930841.1	1332132	1332143	12	+	18.0571	3.5e-07	0.306	Promoter	6	1331837	1333138	1302	1	BBA_03178	295
NW_007930890.1	43394	43405	12	-	17.9143	3.96e-07	0.306	Distal Intergenic	55	43892	45376	1485	2	BBA_09482	1982
NW_007930840.1	116124	116135	12	+	17.9143	3.96e-07	0.306	Distal Intergenic	5	117270	118857	1588	1	BBA_02340	-1135
NW_007930836.1	125376	125387	12	+	17.9143	3.96e-07	0.306	Promoter	1	125824	127043	1220	1	BBA_00042	-437
NW_007930840.1	151131	151142	12	-	17.9143	3.96e-07	0.306	Promoter	5	151482	151973	492	1	BBA_02352	-351
NW_007930875.1	176518	176529	12	-	17.9143	3.96e-07	0.306	Promoter	40	176831	177277	447	1	BBA_08825	-313
NW_007930861.1	301240	301251	12	-	17.9143	3.96e-07	0.306	Promoter	26	301570	302825	1256	1	BBA_07651	-330
NW_007930860.1	374133	374144	12	-	17.9143	3.96e-07	0.306	Distal Intergenic	25	368406	369586	1181	2	BBA_07544	-4558
NW_007930844.1	417169	417180	12	-	17.9143	3.96e-07	0.306	Promoter	9	417343	421863	4521	1	BBA_04131	-174
